step,bs_id,candidate_user_count,threshold_changed,oma_changed,noma_changed,cluster_changed,top_two_tie,threshold_map,oma_map,noma_map,cluster_map
11,BS1,4,True,True,True,True,False,"{""0.50"": 262612.6244886118, ""0.65"": 290292.0947371589, ""0.80"": 431032.32619065885, ""0.95"": 585905.1527947776}","{""0.50"": [""S3"", ""S4""], ""0.65"": [""S3"", ""S4""], ""0.80"": [""S3""], ""0.95"": [""S3""]}","{""0.50"": [""S1"", ""S2""], ""0.65"": [""S1"", ""S2""], ""0.80"": [""S4"", ""S1"", ""S2""], ""0.95"": [""S4"", ""S1"", ""S2""]}","{""0.50"": [[""S1"", ""S2""]], ""0.65"": [[""S1"", ""S2""]], ""0.80"": [[""S4"", ""S1""], [""S2""]], ""0.95"": [[""S4"", ""S1""], [""S2""]]}"
11,BS2,4,True,True,True,True,False,"{""0.50"": 420816.10558784456, ""0.65"": 480285.53222812654, ""0.80"": 760668.3259566119, ""0.95"": 1068665.290571122}","{""0.50"": [""S5"", ""S6""], ""0.65"": [""S5"", ""S6""], ""0.80"": [""S5""], ""0.95"": [""S5""]}","{""0.50"": [""S8"", ""S7""], ""0.65"": [""S8"", ""S7""], ""0.80"": [""S6"", ""S8"", ""S7""], ""0.95"": [""S6"", ""S8"", ""S7""]}","{""0.50"": [[""S8"", ""S7""]], ""0.65"": [[""S8"", ""S7""]], ""0.80"": [[""S6"", ""S8""], [""S7""]], ""0.95"": [[""S6"", ""S8""], [""S7""]]}"
12,BS1,4,True,True,True,True,False,"{""0.50"": 354580.92331107106, ""0.65"": 408239.4146917714, ""0.80"": 519657.2240889218, ""0.95"": 638294.9482381283}","{""0.50"": [""S2"", ""S3""], ""0.65"": [""S2"", ""S3""], ""0.80"": [""S3""], ""0.95"": [""S3""]}","{""0.50"": [""S4"", ""S1""], ""0.65"": [""S4"", ""S1""], ""0.80"": [""S2"", ""S4"", ""S1""], ""0.95"": [""S2"", ""S4"", ""S1""]}","{""0.50"": [[""S4"", ""S1""]], ""0.65"": [[""S4"", ""S1""]], ""0.80"": [[""S2"", ""S4""], [""S1""]], ""0.95"": [[""S2"", ""S4""], [""S1""]]}"
12,BS2,4,True,True,True,True,False,"{""0.50"": 428415.28279502643, ""0.65"": 454521.800105335, ""0.80"": 513782.5611615065, ""0.95"": 577187.6026859106}","{""0.50"": [""S5"", ""S8""], ""0.65"": [""S5"", ""S8""], ""0.80"": [""S8""], ""0.95"": [""S8""]}","{""0.50"": [""S7"", ""S6""], ""0.65"": [""S7"", ""S6""], ""0.80"": [""S5"", ""S7"", ""S6""], ""0.95"": [""S5"", ""S7"", ""S6""]}","{""0.50"": [[""S7"", ""S6""]], ""0.65"": [[""S7"", ""S6""]], ""0.80"": [[""S5"", ""S7""], [""S6""]], ""0.95"": [[""S5"", ""S7""], [""S6""]]}"
13,BS1,4,True,True,True,True,False,"{""0.50"": 468522.93563463306, ""0.65"": 500457.0598313493, ""0.80"": 559702.8649468581, ""0.95"": 622362.6301772159}","{""0.50"": [""S1"", ""S2""], ""0.65"": [""S1"", ""S2""], ""0.80"": [""S2""], ""0.95"": [""S2""]}","{""0.50"": [""S3"", ""S4""], ""0.65"": [""S3"", ""S4""], ""0.80"": [""S1"", ""S3"", ""S4""], ""0.95"": [""S1"", ""S3"", ""S4""]}","{""0.50"": [[""S3"", ""S4""]], ""0.65"": [[""S3"", ""S4""]], ""0.80"": [[""S1"", ""S3""], [""S4""]], ""0.95"": [[""S1"", ""S3""], [""S4""]]}"
13,BS2,4,True,True,True,True,False,"{""0.50"": 469308.184165529, ""0.65"": 476468.8618509332, ""0.80"": 512048.2391047033, ""0.95"": 551179.953804519}","{""0.50"": [""S5"", ""S8""], ""0.65"": [""S5"", ""S8""], ""0.80"": [""S5""], ""0.95"": [""S5""]}","{""0.50"": [""S6"", ""S7""], ""0.65"": [""S6"", ""S7""], ""0.80"": [""S8"", ""S6"", ""S7""], ""0.95"": [""S8"", ""S6"", ""S7""]}","{""0.50"": [[""S6"", ""S7""]], ""0.65"": [[""S6"", ""S7""]], ""0.80"": [[""S8"", ""S6""], [""S7""]], ""0.95"": [[""S8"", ""S6""], [""S7""]]}"
14,BS1,4,True,True,True,True,False,"{""0.50"": 570546.7815446205, ""0.65"": 684866.28892561, ""0.80"": 806344.7789839215, ""0.95"": 928718.1418768981}","{""0.50"": [""S2"", ""S3""], ""0.65"": [""S2"", ""S3""], ""0.80"": [""S3""], ""0.95"": [""S3""]}","{""0.50"": [""S4"", ""S1""], ""0.65"": [""S4"", ""S1""], ""0.80"": [""S2"", ""S4"", ""S1""], ""0.95"": [""S2"", ""S4"", ""S1""]}","{""0.50"": [[""S4"", ""S1""]], ""0.65"": [[""S4"", ""S1""]], ""0.80"": [[""S2"", ""S4""], [""S1""]], ""0.95"": [[""S2"", ""S4""], [""S1""]]}"
14,BS2,4,True,True,True,True,False,"{""0.50"": 579519.8110526396, ""0.65"": 599049.4317691528, ""0.80"": 610524.2032630208, ""0.95"": 620992.1186040584}","{""0.50"": [""S7"", ""S8""], ""0.65"": [""S7"", ""S8""], ""0.80"": [""S7""], ""0.95"": [""S7""]}","{""0.50"": [""S5"", ""S6""], ""0.65"": [""S5"", ""S6""], ""0.80"": [""S8"", ""S5"", ""S6""], ""0.95"": [""S8"", ""S5"", ""S6""]}","{""0.50"": [[""S5"", ""S6""]], ""0.65"": [[""S5"", ""S6""]], ""0.80"": [[""S8"", ""S5""], [""S6""]], ""0.95"": [[""S8"", ""S5""], [""S6""]]}"
15,BS1,4,True,True,True,True,False,"{""0.50"": 340235.3033923581, ""0.65"": 389898.75712071767, ""0.80"": 695875.9197370387, ""0.95"": 1033892.295964354}","{""0.50"": [""S2"", ""S3""], ""0.65"": [""S2"", ""S3""], ""0.80"": [""S2""], ""0.95"": [""S2""]}","{""0.50"": [""S1"", ""S4""], ""0.65"": [""S1"", ""S4""], ""0.80"": [""S3"", ""S1"", ""S4""], ""0.95"": [""S3"", ""S1"", ""S4""]}","{""0.50"": [[""S1"", ""S4""]], ""0.65"": [[""S1"", ""S4""]], ""0.80"": [[""S3"", ""S1""], [""S4""]], ""0.95"": [[""S3"", ""S1""], [""S4""]]}"
15,BS2,4,True,True,True,True,False,"{""0.50"": 656637.0488181656, ""0.65"": 894227.8047423831, ""0.80"": 959184.2662057466, ""0.95"": 1002561.4408615034}","{""0.50"": [""S5"", ""S8""], ""0.65"": [""S5"", ""S8""], ""0.80"": [""S5""], ""0.95"": [""S5""]}","{""0.50"": [""S6"", ""S7""], ""0.65"": [""S6"", ""S7""], ""0.80"": [""S8"", ""S6"", ""S7""], ""0.95"": [""S8"", ""S6"", ""S7""]}","{""0.50"": [[""S6"", ""S7""]], ""0.65"": [[""S6"", ""S7""]], ""0.80"": [[""S8"", ""S6""], [""S7""]], ""0.95"": [[""S8"", ""S6""], [""S7""]]}"
16,BS1,4,True,True,True,True,False,"{""0.50"": 356779.2810713737, ""0.65"": 425130.3807006491, ""0.80"": 513828.66341717483, ""0.95"": 605070.3440196066}","{""0.50"": [""S1"", ""S2""], ""0.65"": [""S1"", ""S2""], ""0.80"": [""S2""], ""0.95"": [""S2""]}","{""0.50"": [""S4"", ""S3""], ""0.65"": [""S4"", ""S3""], ""0.80"": [""S1"", ""S4"", ""S3""], ""0.95"": [""S1"", ""S4"", ""S3""]}","{""0.50"": [[""S4"", ""S3""]], ""0.65"": [[""S4"", ""S3""]], ""0.80"": [[""S1"", ""S4""], [""S3""]], ""0.95"": [[""S1"", ""S4""], [""S3""]]}"
16,BS2,4,True,True,True,True,False,"{""0.50"": 734190.108996787, ""0.65"": 735404.508460444, ""0.80"": 887338.6276382476, ""0.95"": 1058112.7117803192}","{""0.50"": [""S6"", ""S8""], ""0.65"": [""S6"", ""S8""], ""0.80"": [""S8""], ""0.95"": [""S8""]}","{""0.50"": [""S5"", ""S7""], ""0.65"": [""S5"", ""S7""], ""0.80"": [""S6"", ""S5"", ""S7""], ""0.95"": [""S6"", ""S5"", ""S7""]}","{""0.50"": [[""S5"", ""S7""]], ""0.65"": [[""S5"", ""S7""]], ""0.80"": [[""S6"", ""S5""], [""S7""]], ""0.95"": [[""S6"", ""S5""], [""S7""]]}"
17,BS1,4,True,True,True,True,False,"{""0.50"": 483666.4893202817, ""0.65"": 581335.7732464905, ""0.80"": 603512.6889986262, ""0.95"": 616253.0587290027}","{""0.50"": [""S1"", ""S3""], ""0.65"": [""S1"", ""S3""], ""0.80"": [""S1""], ""0.95"": [""S1""]}","{""0.50"": [""S2"", ""S4""], ""0.65"": [""S2"", ""S4""], ""0.80"": [""S3"", ""S2"", ""S4""], ""0.95"": [""S3"", ""S2"", ""S4""]}","{""0.50"": [[""S2"", ""S4""]], ""0.65"": [[""S2"", ""S4""]], ""0.80"": [[""S3"", ""S2""], [""S4""]], ""0.95"": [[""S3"", ""S2""], [""S4""]]}"
17,BS2,4,True,True,True,True,False,"{""0.50"": 711994.1652098339, ""0.65"": 712510.3113354666, ""0.80"": 790586.096819388, ""0.95"": 878356.8372230952}","{""0.50"": [""S7"", ""S8""], ""0.65"": [""S7"", ""S8""], ""0.80"": [""S8""], ""0.95"": [""S8""]}","{""0.50"": [""S6"", ""S5""], ""0.65"": [""S6"", ""S5""], ""0.80"": [""S7"", ""S6"", ""S5""], ""0.95"": [""S7"", ""S6"", ""S5""]}","{""0.50"": [[""S6"", ""S5""]], ""0.65"": [[""S6"", ""S5""]], ""0.80"": [[""S7"", ""S6""], [""S5""]], ""0.95"": [[""S7"", ""S6""], [""S5""]]}"
18,BS1,4,True,True,True,True,False,"{""0.50"": 485858.0330183096, ""0.65"": 528163.7529418927, ""0.80"": 541166.4331802025, ""0.95"": 550506.2334578531}","{""0.50"": [""S3"", ""S4""], ""0.65"": [""S3"", ""S4""], ""0.80"": [""S4""], ""0.95"": [""S4""]}","{""0.50"": [""S1"", ""S2""], ""0.65"": [""S1"", ""S2""], ""0.80"": [""S3"", ""S1"", ""S2""], ""0.95"": [""S3"", ""S1"", ""S2""]}","{""0.50"": [[""S1"", ""S2""]], ""0.65"": [[""S1"", ""S2""]], ""0.80"": [[""S3"", ""S1""], [""S2""]], ""0.95"": [[""S3"", ""S1""], [""S2""]]}"
18,BS2,4,True,True,True,True,False,"{""0.50"": 708710.0166908454, ""0.65"": 785908.9314295499, ""0.80"": 808778.9841060914, ""0.95"": 824857.9290248626}","{""0.50"": [""S5"", ""S7""], ""0.65"": [""S5"", ""S7""], ""0.80"": [""S7""], ""0.95"": [""S7""]}","{""0.50"": [""S6"", ""S8""], ""0.65"": [""S6"", ""S8""], ""0.80"": [""S5"", ""S6"", ""S8""], ""0.95"": [""S5"", ""S6"", ""S8""]}","{""0.50"": [[""S6"", ""S8""]], ""0.65"": [[""S6"", ""S8""]], ""0.80"": [[""S5"", ""S6""], [""S8""]], ""0.95"": [[""S5"", ""S6""], [""S8""]]}"
19,BS1,4,True,True,True,True,False,"{""0.50"": 359556.4441940653, ""0.65"": 431287.7614883197, ""0.80"": 479076.28729134524, ""0.95"": 523871.964157967}","{""0.50"": [""S1"", ""S3""], ""0.65"": [""S1"", ""S3""], ""0.80"": [""S3""], ""0.95"": [""S3""]}","{""0.50"": [""S2"", ""S4""], ""0.65"": [""S2"", ""S4""], ""0.80"": [""S1"", ""S2"", ""S4""], ""0.95"": [""S1"", ""S2"", ""S4""]}","{""0.50"": [[""S2"", ""S4""]], ""0.65"": [[""S2"", ""S4""]], ""0.80"": [[""S1"", ""S2""], [""S4""]], ""0.95"": [[""S1"", ""S2""], [""S4""]]}"
19,BS2,4,True,True,True,True,False,"{""0.50"": 524130.52127479744, ""0.65"": 700408.5426524121, ""0.80"": 780640.3943779491, ""0.95"": 848866.4748969761}","{""0.50"": [""S5"", ""S8""], ""0.65"": [""S5"", ""S8""], ""0.80"": [""S5""], ""0.95"": [""S5""]}","{""0.50"": [""S6"", ""S7""], ""0.65"": [""S6"", ""S7""], ""0.80"": [""S8"", ""S6"", ""S7""], ""0.95"": [""S8"", ""S6"", ""S7""]}","{""0.50"": [[""S6"", ""S7""]], ""0.65"": [[""S6"", ""S7""]], ""0.80"": [[""S8"", ""S6""], [""S7""]], ""0.95"": [[""S8"", ""S6""], [""S7""]]}"
