epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_min_theta_updates_per_epoch,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_counterfactual_adv,hierarchical_actor_separate_theta_route_backbones,0.0010442659659020137,0.0011329662811476737,0.0007897949108155444,0.0005064064768833175,0.0,0.0016340454167220742,0.18103562089022573,0.4062206906499443,0.30764385975057434,0.2600712696030253,0.03,0.015,0,10,10,0,0,0,0,0.0,14,0,0.0,0.014391368853726558,4,14,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_counterfactual_adv,hierarchical_actor_separate_theta_route_backbones,0.0010795160714122984,0.001980258801874394,-0.00011108464807168477,-0.001284001998202358,0.0,0.0008971385541372001,0.31835953452819116,0.45305052269192536,0.6149200500258101,0.4218568493153848,0.03,0.015,0,9,9,0,0,0,0,0.0,18,0,0.0,0.01993606187817123,9,18,0.4983333349227905,0.4983333349227905,0.5,0.0
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_counterfactual_adv,hierarchical_actor_separate_theta_route_backbones,0.0014469797197307344,0.002325638260706054,-0.0006403681672964012,-0.0015973916469032273,0.0,0.0007990283993422054,0.3211735590625544,0.6053081279252629,0.6111719255875373,0.551876165497994,0.03,0.015,0,9,9,0,0,0,0,0.0,17,0,0.0,0.020674263948903364,8,17,0.5008333325386047,0.5008333325386047,0.5,0.0
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_counterfactual_adv,hierarchical_actor_separate_theta_route_backbones,4.122751003402906e-05,0.0033106737692529956,0.0006467074223716432,-0.002550163170477996,0.0,0.0007432168640661985,0.3635642024288141,0.5736995709979975,0.6672471128310683,0.5322139953374141,0.03,0.015,0,9,9,0,0,0,0,0.0,15,0,0.0,0.022785437107086182,6,15,0.4975000023841858,0.4975000023841858,0.5,0.0
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_counterfactual_adv,hierarchical_actor_separate_theta_route_backbones,0.0024200067034851397,0.0033368406755685366,-0.0017133246672326801,-0.002581975992036271,0.0,0.0007855717429063387,0.32414004713146305,0.588195841704553,0.6090381065269111,0.5528917890122323,0.03,0.015,0,8,8,0,0,0,0,0.0,17,0,0.0,0.019800715805853113,9,17,0.48875001072883606,0.48875001072883606,0.5,0.0
