rank,start_check_epoch,max_epochs,patience,run_dir,epochs_completed,best_reward,final_reward,best_epoch,reward_gap,reward_gap_abs,final_critic_loss,avg_theta_last10
1,1,6,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_01_max_06_pat_03_20260315_184803_217230,5,-1097.932896504716,-1173.9939380385952,1,-76.06104153387923,76.06104153387923,27260.58012695313,0.505646599422966
2,1,8,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_01_max_08_pat_03_20260315_184833_796672,5,-1097.932896504716,-1173.9939380385952,1,-76.06104153387923,76.06104153387923,27260.58012695313,0.505646599422966
3,2,6,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_02_max_06_pat_03_20260315_184931_448156,5,-1097.932896504716,-1173.9939380385952,1,-76.06104153387923,76.06104153387923,27260.58012695313,0.505646599422966
4,2,8,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_02_max_08_pat_03_20260315_185000_242639,5,-1097.932896504716,-1173.9939380385952,1,-76.06104153387923,76.06104153387923,27260.58012695313,0.505646599422966
5,3,6,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_03_max_06_pat_02_20260315_185056_384381,5,-1097.932896504716,-1173.9939380385952,1,-76.06104153387923,76.06104153387923,27260.58012695313,0.505646599422966
6,3,8,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_03_max_08_pat_02_20260315_185130_413883,5,-1097.932896504716,-1173.9939380385952,1,-76.06104153387923,76.06104153387923,27260.58012695313,0.505646599422966
7,1,4,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_01_max_04_pat_02_20260315_184716_100022,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
8,1,4,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_01_max_04_pat_03_20260315_184731_819964,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
9,1,6,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_01_max_06_pat_02_20260315_184747_882468,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
10,1,8,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_01_max_08_pat_02_20260315_184819_323344,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
11,2,4,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_02_max_04_pat_02_20260315_184848_527268,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
12,2,4,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_02_max_04_pat_03_20260315_184903_089310,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
13,2,6,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_02_max_06_pat_02_20260315_184916_810069,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
14,2,8,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_02_max_08_pat_02_20260315_184946_523124,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
15,3,4,2,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_03_max_04_pat_02_20260315_185015_053773,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
16,3,4,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_03_max_04_pat_03_20260315_185034_398371,4,-1097.932896504716,-1180.592252928454,1,-82.65935642373802,82.65935642373802,27738.26884765625,0.5048155662133205
17,3,6,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_03_max_06_pat_03_20260315_185113_995320,6,-1097.932896504716,-1183.368120935989,1,-85.43522443127313,85.43522443127313,28902.260546875,0.5060339437912182
18,3,8,3,checkpoints\fast_scheduler_dense_stopping_search_20260315_184716\start_03_max_08_pat_03_20260315_185146_795306,6,-1097.932896504716,-1183.368120935989,1,-85.43522443127313,85.43522443127313,28902.260546875,0.5060339437912182
