epoch,reward_mode,num_sensors,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,episode_raw_reward_delay_term,episode_raw_reward_energy_term,episode_raw_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy
0,raw_total,8,-1168.500449336584,1145.3611627036107,189.53718292909718,9618962293.719048,4.235352520821005,0.06831213743259683,1145.3611627036107,9.476859146454862,13.662427486519366,1145.3611627036107,9.476859146454862,13.662427486519366,0.4993145959047142,100,-0.11108594872057438,27515.42294921875,30.14955496788025
1,raw_total,8,-1098.0806754121104,1075.562969525167,181.29136641274866,9136894796.353445,4.170472645554819,0.06726568783152931,1075.562969525167,9.064568320637434,13.45313756630586,1075.562969525167,9.064568320637434,13.45313756630586,0.5039331819381636,100,-0.11230198843404651,25750.959375,30.219048023223877
2,raw_total,8,-1203.4201674175556,1179.7424661927957,189.29100433746626,9608478589.606216,4.4060768124448915,0.07106575503943376,1179.7424661927957,9.464550216873313,14.21315100788675,1179.7424661927957,9.464550216873313,14.21315100788675,0.5061832188100822,100,-0.0639171960297972,29948.885791015626,30.259170484542846
3,raw_total,8,-1178.515080327591,1155.0564137816607,188.33056634495915,9505912150.026783,4.353062850891765,0.07021069114341556,1155.0564137816607,9.416528317247952,14.042138228683113,1155.0564137816607,9.416528317247952,14.042138228683113,0.5049297980318643,100,-0.15170357530005277,27608.806201171876,30.289133882522584
4,raw_total,8,-1172.8068996934662,1149.0945191555425,190.32400336781524,9585584443.551033,4.400815914555206,0.07098090184766463,1149.0945191555425,9.516200168390759,14.196180369532925,1149.0945191555425,9.516200168390759,14.196180369532925,0.5045524097648499,100,-0.10245578004978598,27245.607275390626,30.3625027179718
