bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.253490447998047,33.732730865478516,-1.3656835556030273,32.732730865478516,0.9800000190734863,0
high_positive,1,2.8978378772735596,18.59627914428711,2.922961473464966,17.59627914428711,1.0,1
mid_positive,1,2.089493751525879,90222984.0,18.317794799804688,90222984.0,1.0,1
near_zero,1,0.24463669955730438,7310.32666015625,8.897043228149414,7309.32666015625,1.0,1
negative,97,-19.87207794189453,353894.6875,-2.434965133666992,353893.6875,1.0,1
high_positive,3,14.758612632751465,3319850.0,11.614524841308594,3319849.0,1.0,2
mid_positive,6,7.696559906005859,1820361.125,7.646023273468018,1820360.125,1.0,2
near_zero,2,-0.07433754205703735,120.68914794921875,3.0701699256896973,119.68914794921875,1.0,2
negative,89,-19.490589141845703,365605.5625,-5.235853672027588,365604.5625,0.9887640476226807,2
high_positive,5,30.349742889404297,250418.59375,7.330042839050293,250417.59375,1.0,3
mid_positive,12,7.465188503265381,1660017.375,4.4625935554504395,1660016.125,0.9166666865348816,3
near_zero,7,-0.5807561874389648,1254088.0,4.990653038024902,1254087.0,1.0,3
negative,76,-22.14552116394043,646862.3125,-0.43663567304611206,646861.25,0.9868420958518982,3
high_positive,4,35.008323669433594,97664.921875,8.000811576843262,97663.921875,1.0,4
mid_positive,11,14.75351333618164,53753636.0,7.87837028503418,53753628.0,1.0,4
near_zero,4,-0.2156352698802948,2221225.5,8.62182331085205,2221224.5,1.0,4
negative,81,-16.4248104095459,49232.06640625,-3.9016776084899902,49231.06640625,0.9876543283462524,4
