epoch,reward_mode,value_target_mode,value_loss_mode,num_sensors,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,running_return_mean,running_return_std,popart_mean,popart_std,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,prediction_target_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean
0,per_sensor,popart_return_norm,huber,8,-158.01718021777742,1145.3611627036107,189.53718292909718,9618962293.719048,4.235352520821005,0.06831213743259683,143.17014533795134,1.1846073933068577,13.662427486519366,0.4993145959047142,100,-0.11066824526060373,1.8684077277779578,30.150162982940675,-22.157121658325195,6.349564075469971,1.5556811661099346e-07,0.9999999403953552,-22.157121658325195,6.349564016198339,-22.157121658325195,6.349564016198339,-17.610990524291992,0.10700134932994843,0.7159751653671265,0.016851769760251045,0.00288546085357666,0.0940386950969696,0.016851771622896194,0.9999997615814209,1.5097349882125854,-0.5097352266311646,0.4059785008430481,0.65336012840271,-0.24738162755966187,-0.11900536715984344,0.9179268479347229,0.007867655716836452,0.0017065461724996567,0.27058693766593933,3.4813268184661865,0.23065341956837576,2.7887555197348113,checkpoints\dense_critic_diagnosis_20260316_145336\critic_diagnosis_20260316_145345_206518\prediction_target_payload_epoch_00.csv,-17.59896469116211,0.08681578189134598,-17.790145874023438,-17.414337158203125,0.3758087158203125,0.1310715675354004,0.10078839212656021
1,per_sensor,popart_return_norm,huber,8,-149.03219423135351,1075.686830910353,181.13501109816846,9137270115.544636,4.166166429940698,0.06719623274097897,134.4608538637941,1.1320938193635526,13.439246548195793,0.5023296206479968,100,-0.11787068052217364,0.5897592287510633,30.156291007995605,-33.65523910522461,9.486961364746094,-0.5801175236701965,0.9572959542274475,-27.906180381774902,9.910165412680989,-27.906180381774902,9.910165412680989,-36.52619552612305,0.06428549438714981,-0.8698151111602783,0.006486831698566675,0.00017601251602172852,0.0163765549659729,0.0067762029357254505,0.9164155721664429,1.0001789331436157,-0.08376336097717285,0.35246410965919495,0.343960165977478,0.008503943681716919,-0.13601212203502655,0.9737401008605957,0.001995149301365018,0.0006319564417935908,0.33307716250419617,2.8040823936462402,0.03426109390222374,2.215714187105605,checkpoints\dense_critic_diagnosis_20260316_145336\critic_diagnosis_20260316_145345_206518\prediction_target_payload_epoch_01.csv,-36.528404235839844,0.052954286336898804,-36.6431999206543,-36.413124084472656,0.23007583618164062,0.07650470733642578,0.06143954396247864
2,per_sensor,popart_return_norm,huber,8,-163.10749274555775,1181.8768808521756,189.34248963473638,9609900907.304956,4.398742544433798,0.0709474603940935,147.73461010652196,1.1833905602171022,14.189492078818699,0.5056666386341017,100,-0.05398202515207231,0.44471259973943233,30.1770218372345,-48.29623031616211,13.5128755569458,-0.919121265411377,0.9136788845062256,-34.702863693237305,14.789523035022324,-34.702863693237305,14.789523035022324,-52.76224136352539,0.05780380591750145,-1.2210923433303833,0.0039084292948246,0.0003075599670410156,0.038097478449344635,0.004277683794498444,0.8348090648651123,0.9257389903068542,-0.09092992544174194,0.32528552412986755,0.3231179416179657,0.0021675825119018555,-0.13829529285430908,0.9791737794876099,0.0012131057446822524,0.000436179805546999,0.31904834508895874,2.333989143371582,0.016517560713471137,2.271651158346782,checkpoints\dense_critic_diagnosis_20260316_145336\critic_diagnosis_20260316_145345_206518\prediction_target_payload_epoch_02.csv,-52.74345779418945,0.058538444340229034,-52.8681640625,-52.61529541015625,0.25286865234375,0.08378028869628906,0.06787266582250595
3,per_sensor,popart_return_norm,huber,8,-159.64728533718878,1155.2196694092404,188.4533533630217,9506026662.898937,4.360767892779623,0.07033496601257458,144.40245867615505,1.177833458518886,14.066993202514917,0.5061208727886067,100,-0.14987168423831462,0.35787491481751205,30.199590158462524,-59.175437927246094,16.1846866607666,-0.9927430152893066,0.8753870725631714,-40.8210072517395,18.48860617945919,-40.8210072517395,18.48860617945919,-60.15135192871094,0.05364472419023514,-1.045527458190918,0.00290150148794055,-0.0009506940841674805,-0.14175188541412354,0.003314535366371274,0.7663025856018066,0.7698173522949219,-0.0035147666931152344,0.2992042303085327,0.2939906716346741,0.005213558673858643,-0.13873210549354553,0.9805018901824951,0.000989244319498539,0.0003499477752484381,0.2902745306491852,2.1961445808410645,0.006961706973650618,1.1588586270375383,checkpoints\dense_critic_diagnosis_20260316_145336\critic_diagnosis_20260316_145345_206518\prediction_target_payload_epoch_03.csv,-60.13319778442383,0.059709303081035614,-60.260231018066406,-59.998233795166016,0.2619972229003906,0.08673763275146484,0.06922632455825806
4,per_sensor,popart_return_norm,huber,8,-159.10720050853226,1149.4159132771883,190.38231277007307,9584456177.029325,4.4144997871619145,0.0712016094703534,143.67698915964854,1.1898894548129575,14.240321894070679,0.5059348898121672,100,-0.10906617799773813,0.29063094574958087,30.257809925079346,-64.07544708251953,17.691604614257812,-0.9049803018569946,0.8606180548667908,-45.47189521789551,20.556859199379353,-45.47189521789551,20.556859199379353,-65.28187561035156,0.06456787139177322,-0.9636679291725159,0.00314093055203557,-0.0002913475036621094,-0.03807961568236351,0.003649621969088912,0.740663468837738,0.7443234324455261,-0.003659963607788086,0.29128971695899963,0.2856789827346802,0.005610734224319458,-0.13893936574459076,0.9810686707496643,0.0010628277668729424,0.00033837652881629765,0.28303083777427673,2.2002439498901367,0.004669191628185757,0.84688585266356,checkpoints\dense_critic_diagnosis_20260316_145336\critic_diagnosis_20260316_145345_206518\prediction_target_payload_epoch_04.csv,-65.27001953125,0.06101762875914574,-65.40269470214844,-65.12954711914062,0.2731475830078125,0.08846092224121094,0.0707012340426445
