epoch,policy_surrogate_mode,actor_structure_mode,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_clip_fraction,route_clip_fraction,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,2.38418573772492e-09,1.0,4.967053879312289e-09,0.9999999403953552,2496.0,0.0,-0.0035163371358066797,-0.001019829767756164,0.2900253236293793,0.4937500059604645,0.012419871985912323,0.5200000405311584,0.5200000405311584
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-3.973643192267673e-09,0.9999999403953552,-5.693578053467263e-09,0.9999999403953552,2345.0,0.0,0.01022604200989008,0.003784246975556016,0.37005943059921265,0.5589583516120911,0.19402983784675598,0.48854169249534607,0.48854169249534607
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0,0.9999999403953552,4.067805203789021e-09,1.0,2110.0,0.0,0.010970900766551495,0.013987653888761997,1.2749764919281006,0.46291667222976685,0.24834123253822327,0.43958333134651184,0.43958333134651184
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0,1.0,1.1818162448662406e-08,1.0,1856.0,0.0,0.009462309069931507,0.011374158784747124,1.2020477056503296,0.3804166615009308,0.3184267282485962,0.3866666853427887,0.3866666853427887
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,2.781550101360608e-09,0.9999998807907104,-2.667620568885809e-09,0.9999999403953552,1430.0,0.0,0.008588595315814018,0.02058565430343151,2.3968563079833984,0.22958333790302277,0.3440559506416321,0.2979166805744171,0.2979166805744171
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,2.38418573772492e-09,1.0,4.548526000291986e-09,1.0,1258.0,0.0,0.00882406160235405,0.01777692511677742,2.014594316482544,0.14104166626930237,0.28616851568222046,0.26208335161209106,0.26208335161209106
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-5.563100202721216e-09,0.9999998807907104,-4.428827971025839e-09,1.0,1292.0,0.0,0.006635443307459354,0.010401883162558079,1.567622184753418,0.132708340883255,0.22523219883441925,0.2691666781902313,0.2691666781902313
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-3.1789144649962964e-09,1.0,-2.3683965899579107e-09,1.0,1208.0,0.0,0.010660365223884583,0.01965152472257614,1.8434176445007324,0.11520833522081375,0.1986754983663559,0.2516666650772095,0.2516666650772095
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-6.357828929992593e-09,1.0,-4.563034838866997e-09,1.0,1254.0,0.0,0.0038043286185711622,0.013945413753390312,3.6656603813171387,0.11520833522081375,0.1850079745054245,0.26125001907348633,0.26125001907348633
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,3.1789144649962964e-09,1.0,-3.784421942487626e-10,1.0,1260.0,0.0,0.005874418653547764,-0.001418780186213553,0.24151799082756042,0.13458333909511566,0.1428571492433548,0.26250001788139343,0.26250001788139343
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.1126200405442432e-08,1.0,4.588649460401939e-09,0.9999999403953552,1247.0,0.0,0.003315255744382739,0.018868479877710342,5.69139289855957,0.11520833522081375,0.16680032014846802,0.25979167222976685,0.25979167222976685
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-6.357828929992593e-09,0.9999999403953552,-4.820594590171368e-09,0.9999999403953552,1187.0,0.0,0.0035903931129723787,0.016309093683958054,4.542412757873535,0.11833333969116211,0.15669755637645721,0.2472916692495346,0.2472916692495346
