block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04782109335064888,0.016583401709794998,0.09050367027521133,0.02010193280875683,1.0,0.0,1.0,1.0,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,1.0,0.0,1.0,1.0,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,0.22468306124210358,0.3002805709838867,1.0678813457489014,-0.5831922888755798,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.33000001311302185,0.25999999046325684,0.21153846383094788,0.3125,0.9855757355690002,0.08902686089277267,1.2395275831222534,0.04904754087328911,0.8283854126930237,-0.014424212276935577,0.08902686089277267,0
1,3,6,3,dispatch_decision_block,0.03366798907518387,0.019945256412029266,0.10503822565078735,0.00552834989503026,1.0,0.0,1.0,1.0,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,1.0,0.0,1.0,1.0,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,-0.19935955107212067,0.45704174041748047,1.3524415493011475,-1.2992609739303589,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.5199999809265137,0.38999998569488525,0.375,0.4038461446762085,0.9980308413505554,0.13420361280441284,1.5836058855056763,0.021599965170025826,0.9921103715896606,-0.0019691651687026024,0.13420361280441284,0
2,6,9,3,dispatch_decision_block,0.03660427778959274,0.020874684676527977,0.1090344563126564,0.0026836595498025417,1.0,0.0,1.0,1.0,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,1.0,0.0,1.0,1.0,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,-0.2723279893398285,0.4597250521183014,1.2364400625228882,-1.409485936164856,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.5099999904632568,0.18000000715255737,0.1764705926179886,0.18367347121238708,0.998971700668335,0.08039076626300812,1.2443935871124268,-0.059358030557632446,0.8298347592353821,-0.0010283023584634066,0.08039076626300812,0
3,9,12,3,dispatch_decision_block,0.04721590876579285,0.015607881359755993,0.10466673970222473,0.0171921718865633,1.0,0.0,1.0,1.0,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,1.0,0.0,1.0,1.0,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,-0.06009325012564659,0.2575213611125946,0.6664257645606995,-0.7219579815864563,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,0.3199999928474426,0.28999999165534973,0.3333333432674408,0.25,0.9876267313957214,0.11156290769577026,1.2702395915985107,0.15244761109352112,1.0457969903945923,-0.012373297475278378,0.11156290769577026,0
4,12,15,3,dispatch_decision_block,0.04501453787088394,0.017107686027884483,0.09733086824417114,0.017252624034881592,1.0,0.0,1.0,1.0,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,1.0,0.0,1.0,1.0,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,0.1442018300294876,0.28286585211753845,1.0742883682250977,-0.7184722423553467,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,0.2199999988079071,0.3799999952316284,0.375,0.38461539149284363,0.988318681716919,0.11410407721996307,1.2860710620880127,0.04616055637598038,1.0685228109359741,-0.011681309901177883,0.11410407721996307,0
5,15,18,3,dispatch_decision_block,0.03271276131272316,0.022620374336838722,0.10764503479003906,5.662378299575721e-08,1.0,0.0,1.0,1.0,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,1.0,0.0,1.0,1.0,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,0.08438897877931595,0.49470722675323486,1.3042242527008057,-0.956857442855835,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,0.5099999904632568,0.20000000298023224,0.20408163964748383,0.19607843458652496,1.0110063552856445,0.08714953809976578,1.2989988327026367,0.02907853201031685,1.0680562257766724,0.011006317101418972,0.08714953809976578,0
6,18,21,3,dispatch_decision_block,0.031388502568006516,0.020413139835000038,0.09705528616905212,5.662378299575721e-08,1.0,0.0,1.0,1.0,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,1.0,0.0,1.0,1.0,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,-0.032010842114686966,0.44140467047691345,1.2179672718048096,-1.0538740158081055,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,0.5099999904632568,0.30000001192092896,0.29411765933036804,0.30612245202064514,1.0037955045700073,0.10009489953517914,1.3657418489456177,0.13068874180316925,0.8514053225517273,0.003795456839725375,0.10009489953517914,0
7,21,24,3,dispatch_decision_block,0.04995422810316086,0.0124885318800807,0.08992408961057663,0.023244164884090424,1.0,0.0,1.0,1.0,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,1.0,0.0,1.0,1.0,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,0.10275417566299438,0.21281109750270844,0.890168309211731,-0.4893217384815216,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,0.18000000715255737,0.3400000035762787,0.3962264060974121,0.27659574151039124,0.9733902215957642,0.11566124111413956,1.2411198616027832,0.09455913305282593,1.1616246700286865,-0.026609793305397034,0.11566124111413956,0
8,24,27,3,dispatch_decision_block,0.04848972335457802,0.017696890980005264,0.09502094238996506,0.02045363560318947,1.0,0.0,1.0,1.0,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,1.0,0.0,1.0,1.0,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,0.2748313248157501,0.3879895508289337,1.3831241130828857,-0.889498233795166,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,0.4099999964237213,0.15000000596046448,0.19565217196941376,0.1111111119389534,0.9884918332099915,0.07693217694759369,1.1676303148269653,0.11507418006658554,1.0164790153503418,-0.011508204974234104,0.07693217694759369,0
9,27,30,3,dispatch_decision_block,0.03366353362798691,0.021263601258397102,0.10661318898200989,0.000364392384653911,1.0,0.0,1.0,1.0,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,1.0,0.0,1.0,1.0,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,0.020236356183886528,0.48034775257110596,1.4115965366363525,-1.4213734865188599,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,0.5199999809265137,0.25,0.239130437374115,0.25925925374031067,0.9985988736152649,0.09523491561412811,1.3030011653900146,0.040404729545116425,0.825766384601593,-0.0014010375598445535,0.09523491561412811,0
