sample_id,block_id,sensor_id,task_id,score_local,score_bs1,score_bs2,best_joint_action_under_score,best_joint_action_under_score_index,best_joint_score,actual_theta_decision,actual_route_decision,actual_joint_action,actual_joint_action_index,selected_joint_score,selected_joint_reward_proxy,A_theta,A_route,advantage,return,theta_true_gap,route_true_gap,joint_action_match_under_score,joint_score_margin,best_minus_selected_score,best_minus_second_best_score,best_offload_score,joint_selected_is_best,induced_joint_action_from_A,induced_joint_action_from_A_index,induced_joint_match_under_score,pi_old_local,pi_old_offload,pi_old_bs1_conditional,pi_old_bs2_conditional,selected_score_bucket,advantage_bucket,return_bucket,theta_gap_bucket,route_gap_bucket
0,0,0,0,-1.0,-1.0,-1.0,local,0,-1.0,0,-1,local,0,-1.0,-0.08636248111724854,-0.6549059152603149,-0.21003732085227966,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-1.0,1,local,0,1,0.6698377132415771,0.33016231656074524,0.6094597578048706,0.3905402719974518,"(-2.33, -0.981]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,1,0,1,-0.8770135641098022,-0.8770135641098022,-0.8770135641098022,local,0,-0.8770135641098022,0,-1,local,0,-0.8770135641098022,0.38500356674194336,-0.467016339302063,-0.2153858244419098,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-0.8770135641098022,1,local,0,1,0.5462760925292969,0.4537239372730255,0.5980684757232666,0.401931494474411,"(-0.981, -0.721]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,2,0,2,-0.8770135641098022,-0.8770135641098022,-0.8770135641098022,local,0,-0.8770135641098022,0,-1,local,0,-0.8770135641098022,0.2742621898651123,0.06522180885076523,-0.3410612940788269,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-0.8770135641098022,1,bs2,2,0,0.5296530723571777,0.4703468978404999,0.5695961117744446,0.4304038882255554,"(-0.981, -0.721]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,3,1,0,-1.0,-1.0,-1.0,local,0,-1.0,0,-1,local,0,-1.0,-0.17916536331176758,-0.21574881672859192,0.7438888549804688,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-1.0,1,local,0,1,0.6068742275238037,0.3931257724761963,0.3413192927837372,0.6586806774139404,"(-2.33, -0.981]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,4,1,1,-0.523809552192688,-0.523809552192688,-0.523809552192688,local,0,-0.523809552192688,1,0,bs1,1,-0.523809552192688,-0.2118965983390808,-0.025539159774780273,-0.09530854225158691,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-0.523809552192688,1,local,0,1,0.2062244415283203,0.7937755584716797,0.6418985724449158,0.35810136795043945,"(-0.562, -0.366]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,5,1,2,-0.0,-0.0,-0.0,local,0,-0.0,0,-1,local,0,-0.0,-0.04445453733205795,-0.49712488055229187,-0.3468901515007019,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-0.0,1,local,0,1,0.5932939052581787,0.4067061245441437,0.6880096793174744,0.31199032068252563,"(-0.366, 0.0]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,6,2,0,-0.0,-0.0,-0.0,local,0,-0.0,0,-1,local,0,-0.0,-0.09117268025875092,-0.14313995838165283,0.4123387336730957,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-0.0,1,local,0,1,0.5018306374549866,0.4981693625450134,0.4789656400680542,0.5210344195365906,"(-0.366, 0.0]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,7,2,1,-0.523809552192688,-0.523809552192688,-0.523809552192688,local,0,-0.523809552192688,1,0,bs1,1,-0.523809552192688,-0.28541475534439087,-0.6867306232452393,-0.1036129891872406,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-0.523809552192688,1,local,0,1,0.4808863401412964,0.5191136598587036,0.5553092956542969,0.4446907341480255,"(-0.562, -0.366]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,8,2,2,-1.0,-1.0,-1.0,local,0,-1.0,1,1,bs2,2,-1.0,0.10377532243728638,-0.08254265785217285,0.015986084938049316,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-1.0,1,local,0,1,0.4277735948562622,0.5722264051437378,0.4513055384159088,0.5486944913864136,"(-2.33, -0.981]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,9,3,0,-1.166961908340454,-1.166961908340454,-1.166961908340454,local,0,-1.166961908340454,0,-1,local,0,-1.166961908340454,1.0347024202346802,-0.09114491939544678,-0.13189876079559326,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-1.166961908340454,1,local,0,1,0.5145262479782104,0.48547375202178955,0.7468628287315369,0.2531372010707855,"(-2.33, -0.981]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,10,3,1,-1.166961908340454,-1.166961908340454,-1.166961908340454,local,0,-1.166961908340454,1,1,bs2,2,-1.166961908340454,0.923560619354248,-0.35627126693725586,0.7832208871841431,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-1.166961908340454,1,local,0,1,0.4160306453704834,0.5839693546295166,0.4934256970882416,0.5065742135047913,"(-2.33, -0.981]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,11,3,2,-1.0,-1.0,-1.0,local,0,-1.0,1,0,bs1,1,-1.0,0.29151540994644165,-0.07654732465744019,0.046325474977493286,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-1.0,1,local,0,1,0.27565276622772217,0.7243472337722778,0.6056458353996277,0.3943541944026947,"(-2.33, -0.981]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,12,4,0,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,local,0,-0.5333333611488342,1,1,bs2,2,-0.5333333611488342,-0.6279094815254211,-0.36426442861557007,0.10939633846282959,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-0.5333333611488342,1,local,0,1,0.24868643283843994,0.7513135671615601,0.36139872670173645,0.6386011838912964,"(-0.562, -0.366]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,13,4,1,-0.43335583806037903,-0.43335583806037903,-0.43335583806037903,local,0,-0.43335583806037903,1,1,bs2,2,-0.43335583806037903,-0.013215899467468262,-0.33790522813796997,0.44221237301826477,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-0.43335583806037903,1,local,0,1,0.42441004514694214,0.5755899548530579,0.3653271198272705,0.6346729397773743,"(-0.562, -0.366]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,14,4,2,-0.43335583806037903,-0.43335583806037903,-0.43335583806037903,local,0,-0.43335583806037903,0,-1,local,0,-0.43335583806037903,0.17818978428840637,-1.0110825300216675,0.6976177096366882,-16.65115737915039,-42.561866760253906,0.0,0.0,1,0.0,0.0,0.0,-0.43335583806037903,1,local,0,1,0.5265605449676514,0.47343942523002625,0.2398800253868103,0.7601199746131897,"(-0.562, -0.366]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,15,5,0,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,local,0,-0.5333333611488342,1,0,bs1,1,-0.5333333611488342,-0.619191586971283,-0.32611513137817383,0.5332955121994019,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-0.5333333611488342,1,local,0,1,0.2727242708206177,0.7272757291793823,0.8755358457565308,0.12446417659521103,"(-0.562, -0.366]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,16,5,1,-0.523809552192688,-0.523809552192688,-0.523809552192688,local,0,-0.523809552192688,1,1,bs2,2,-0.523809552192688,-0.9719104766845703,-0.10140460729598999,-0.12062317132949829,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-0.523809552192688,1,local,0,1,0.41347014904022217,0.5865298509597778,0.22157858312129974,0.7784213423728943,"(-0.562, -0.366]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
0,17,5,2,-0.3152870237827301,-0.3152870237827301,-0.3152870237827301,local,0,-0.3152870237827301,1,0,bs1,1,-0.3152870237827301,-0.41665413975715637,-0.6714828610420227,-0.17685329914093018,-16.65115737915039,-42.561866760253906,0.0,0.0,0,0.0,0.0,0.0,-0.3152870237827301,1,local,0,1,0.44419342279434204,0.555806577205658,0.5797321200370789,0.42026787996292114,"(-0.366, 0.0]","(-17.803, -12.42]","(-44.738, -39.66]","(-0.128, 0.0263]","(-0.0132, 0.00561]"
