sample_id,block_id,best_joint_action_under_score,actual_joint_action,joint_action_match_under_score,selected_joint_score,best_joint_score,best_minus_selected_score,advantage,return
1,11,local,bs2,0,-0.7336310744285583,-0.4642857015132904,0.26934537291526794,-22.19625473022461,-43.03369903564453
1,12,local,local,1,-0.7100950479507446,-0.7100950479507446,0.0,-22.19625473022461,-43.03369903564453
1,13,local,bs1,0,-0.41386929154396057,-0.0,0.41386929154396057,-22.19625473022461,-43.03369903564453
1,14,local,local,1,-0.25516605377197266,-0.25516605377197266,0.0,-22.19625473022461,-43.03369903564453
1,15,local,bs1,0,-1.1525249481201172,-0.6210760474205017,0.5314489006996155,-22.19625473022461,-43.03369903564453
1,16,local,local,1,-1.053637146949768,-1.053637146949768,0.0,-22.19625473022461,-43.03369903564453
1,17,local,bs1,0,-0.7319411635398865,-0.3363088071346283,0.3956323564052582,-22.19625473022461,-43.03369903564453
1,18,local,bs2,0,-0.2544863224029541,-0.0,0.2544863224029541,-22.19625473022461,-43.03369903564453
1,19,local,local,1,-1.0665104389190674,-1.0665104389190674,0.0,-22.19625473022461,-43.03369903564453
1,20,local,bs2,0,-0.5149075984954834,-0.2980230748653412,0.2168845236301422,-22.19625473022461,-43.03369903564453
1,21,local,local,1,-0.24580149352550507,-0.24580149352550507,0.0,-22.19625473022461,-43.03369903564453
1,22,local,local,1,-0.4582669734954834,-0.4582669734954834,0.0,-22.19625473022461,-43.03369903564453
1,23,local,bs2,0,-0.6299237608909607,-0.35873958468437195,0.27118417620658875,-22.19625473022461,-43.03369903564453
2,0,local,bs1,0,-0.9708425402641296,-0.6815385818481445,0.2893039584159851,-60.63336181640625,-44.73743438720703
2,1,local,bs1,0,-0.4945126473903656,-0.2667246460914612,0.22778800129890442,-60.63336181640625,-44.73743438720703
2,2,local,bs1,0,-0.37235334515571594,-0.13178417086601257,0.24056917428970337,-60.63336181640625,-44.73743438720703
2,3,local,bs1,0,-0.8093406558036804,-0.633764922618866,0.17557573318481445,-60.63336181640625,-44.73743438720703
2,4,local,local,1,-1.0,-1.0,0.0,-60.63336181640625,-44.73743438720703
2,5,local,bs1,0,-1.1407581567764282,-0.9983597993850708,0.14239835739135742,-60.63336181640625,-44.73743438720703
2,6,local,local,1,-0.9784976840019226,-0.9784976840019226,0.0,-60.63336181640625,-44.73743438720703
2,7,local,bs1,0,-1.341579794883728,-1.1102229356765747,0.23135685920715332,-60.63336181640625,-44.73743438720703
2,8,local,local,1,-0.5371947288513184,-0.5371947288513184,0.0,-60.63336181640625,-44.73743438720703
2,9,local,bs1,0,-0.5621116161346436,-0.40226125717163086,0.1598503589630127,-60.63336181640625,-44.73743438720703
2,10,local,bs1,0,-0.5641343593597412,-0.31693997979164124,0.24719437956809998,-60.63336181640625,-44.73743438720703
2,11,local,bs2,0,-0.5842556357383728,-0.4642857015132904,0.1199699342250824,-60.63336181640625,-44.73743438720703
2,12,local,local,1,-1.0925354957580566,-1.0925354957580566,0.0,-60.63336181640625,-44.73743438720703
2,13,local,local,1,-0.5722328424453735,-0.5722328424453735,0.0,-60.63336181640625,-44.73743438720703
2,14,local,local,1,-0.610543429851532,-0.610543429851532,0.0,-60.63336181640625,-44.73743438720703
2,15,local,bs2,0,-1.2087531089782715,-1.0,0.20875310897827148,-60.63336181640625,-44.73743438720703
2,16,local,local,1,-0.523809552192688,-0.523809552192688,0.0,-60.63336181640625,-44.73743438720703
2,17,local,local,1,-0.7243267297744751,-0.7243267297744751,0.0,-60.63336181640625,-44.73743438720703
2,18,local,local,1,-0.7314868569374084,-0.7314868569374084,0.0,-60.63336181640625,-44.73743438720703
2,19,local,local,1,-0.5909970998764038,-0.5909970998764038,0.0,-60.63336181640625,-44.73743438720703
2,20,local,local,1,-0.573492169380188,-0.573492169380188,0.0,-60.63336181640625,-44.73743438720703
2,21,local,local,1,-0.2109258770942688,-0.2109258770942688,0.0,-60.63336181640625,-44.73743438720703
2,22,local,local,1,-0.24963074922561646,-0.24963074922561646,0.0,-60.63336181640625,-44.73743438720703
2,23,local,bs1,0,-0.7473065257072449,-0.5302666425704956,0.21703988313674927,-60.63336181640625,-44.73743438720703
3,0,local,bs2,0,-0.7251913547515869,-0.5659750699996948,0.1592162847518921,-20.834651947021484,-44.60771179199219
3,1,local,local,1,-0.10724078118801117,-0.10724078118801117,0.0,-20.834651947021484,-44.60771179199219
3,2,local,bs1,0,-0.169834166765213,-0.028461871668696404,0.14137229323387146,-20.834651947021484,-44.60771179199219
3,3,local,bs2,0,-0.7008368968963623,-0.5794311165809631,0.12140578031539917,-20.834651947021484,-44.60771179199219
3,4,local,bs2,0,-0.5497068166732788,-0.2857142984867096,0.2639925181865692,-20.834651947021484,-44.60771179199219
3,5,local,bs1,0,-0.12666286528110504,-0.015174091793596745,0.11148877441883087,-20.834651947021484,-44.60771179199219
3,6,local,local,1,-0.0905943438410759,-0.0905943438410759,0.0,-20.834651947021484,-44.60771179199219
3,7,local,bs1,0,-0.9181283712387085,-0.34257811307907104,0.5755502581596375,-20.834651947021484,-44.60771179199219
3,8,local,local,1,-0.6417289972305298,-0.6417289972305298,0.0,-20.834651947021484,-44.60771179199219
3,9,local,local,1,-0.28843656182289124,-0.28843656182289124,0.0,-20.834651947021484,-44.60771179199219
3,10,local,local,1,-0.45382630825042725,-0.45382630825042725,0.0,-20.834651947021484,-44.60771179199219
3,11,local,bs1,0,-0.6014877557754517,-0.4642857015132904,0.13720205426216125,-20.834651947021484,-44.60771179199219
3,12,local,local,1,-1.0122689008712769,-1.0122689008712769,0.0,-20.834651947021484,-44.60771179199219
3,13,local,bs1,0,-1.041942834854126,-0.6257295608520508,0.4162132740020752,-20.834651947021484,-44.60771179199219
3,14,local,bs2,0,-0.6859067678451538,-0.5369243025779724,0.1489824652671814,-20.834651947021484,-44.60771179199219
3,15,local,bs1,0,-1.2716577053070068,-1.1184403896331787,0.15321731567382812,-20.834651947021484,-44.60771179199219
3,16,local,bs2,0,-0.8854950666427612,-0.6483073234558105,0.23718774318695068,-20.834651947021484,-44.60771179199219
3,17,local,local,1,-0.6120665073394775,-0.6120665073394775,0.0,-20.834651947021484,-44.60771179199219
3,18,local,bs1,0,-0.7858700156211853,-0.6285998821258545,0.1572701334953308,-20.834651947021484,-44.60771179199219
3,19,local,bs2,0,-0.8490758538246155,-0.523809552192688,0.3252663016319275,-20.834651947021484,-44.60771179199219
3,20,local,local,1,-0.4220726788043976,-0.4220726788043976,0.0,-20.834651947021484,-44.60771179199219
3,21,local,local,1,-0.8620966672897339,-0.8620966672897339,0.0,-20.834651947021484,-44.60771179199219
3,22,local,local,1,-1.2103177309036255,-1.2103177309036255,0.0,-20.834651947021484,-44.60771179199219
3,23,local,local,1,-0.5151397585868835,-0.5151397585868835,0.0,-20.834651947021484,-44.60771179199219
4,0,local,bs1,0,-0.7420320510864258,-0.5351908802986145,0.20684117078781128,-21.331762313842773,-44.50141906738281
4,1,local,local,1,-0.2321835458278656,-0.2321835458278656,0.0,-21.331762313842773,-44.50141906738281
4,2,local,bs2,0,-0.17759236693382263,-0.011539101600646973,0.16605326533317566,-21.331762313842773,-44.50141906738281
4,3,local,bs1,0,-0.7300293445587158,-0.5399975776672363,0.1900317668914795,-21.331762313842773,-44.50141906738281
4,4,local,local,1,-0.42306363582611084,-0.42306363582611084,0.0,-21.331762313842773,-44.50141906738281
4,5,local,bs1,0,-0.4647229313850403,-0.3620988428592682,0.1026240885257721,-21.331762313842773,-44.50141906738281
4,6,local,local,1,-0.3887422978878021,-0.3887422978878021,0.0,-21.331762313842773,-44.50141906738281
4,7,local,bs1,0,-0.7225491404533386,-0.3352218568325043,0.38732728362083435,-21.331762313842773,-44.50141906738281
4,8,local,local,1,-1.133620023727417,-1.133620023727417,0.0,-21.331762313842773,-44.50141906738281
4,9,local,local,1,-0.41004133224487305,-0.41004133224487305,0.0,-21.331762313842773,-44.50141906738281
4,10,local,bs2,0,-0.6733506917953491,-0.37037229537963867,0.30297839641571045,-21.331762313842773,-44.50141906738281
4,11,local,local,1,-1.0467356443405151,-1.0467356443405151,0.0,-21.331762313842773,-44.50141906738281
4,12,local,local,1,-1.0009158849716187,-1.0009158849716187,0.0,-21.331762313842773,-44.50141906738281
4,13,local,bs1,0,-1.0279426574707031,-0.6694344282150269,0.35850822925567627,-21.331762313842773,-44.50141906738281
4,14,local,local,1,-0.7489665746688843,-0.7489665746688843,0.0,-21.331762313842773,-44.50141906738281
4,15,local,bs1,0,-1.3709747791290283,-1.1021382808685303,0.26883649826049805,-21.331762313842773,-44.50141906738281
4,16,local,local,1,-0.38746654987335205,-0.38746654987335205,0.0,-21.331762313842773,-44.50141906738281
4,17,local,local,1,-0.16958065330982208,-0.16958065330982208,0.0,-21.331762313842773,-44.50141906738281
4,18,local,local,1,-0.19746406376361847,-0.19746406376361847,0.0,-21.331762313842773,-44.50141906738281
4,19,local,local,1,-0.2857142984867096,-0.2857142984867096,0.0,-21.331762313842773,-44.50141906738281
4,20,local,bs2,0,-0.8085519671440125,-0.5887778401374817,0.21977412700653076,-21.331762313842773,-44.50141906738281
4,21,local,bs1,0,-0.2177693098783493,-0.0,0.2177693098783493,-21.331762313842773,-44.50141906738281
4,22,local,bs2,0,-0.375396192073822,-0.31848078966140747,0.05691540241241455,-21.331762313842773,-44.50141906738281
4,23,local,bs1,0,-0.6670367121696472,-0.6247525811195374,0.04228413105010986,-21.331762313842773,-44.50141906738281
5,0,local,local,1,-0.751230776309967,-0.751230776309967,0.0,-29.689767837524414,-44.627296447753906
5,1,local,bs2,0,-0.852359414100647,-0.2722325026988983,0.5801268815994263,-29.689767837524414,-44.627296447753906
5,2,local,local,1,-0.32951268553733826,-0.32951268553733826,0.0,-29.689767837524414,-44.627296447753906
5,3,local,bs1,0,-0.9035186767578125,-0.5767260789871216,0.3267925977706909,-29.689767837524414,-44.627296447753906
5,4,local,local,1,-0.5349189639091492,-0.5349189639091492,0.0,-29.689767837524414,-44.627296447753906
5,5,local,bs1,0,-0.26403945684432983,-0.10909651219844818,0.15494294464588165,-29.689767837524414,-44.627296447753906
5,6,local,bs2,0,-0.3675227761268616,-0.09258417785167694,0.27493858337402344,-29.689767837524414,-44.627296447753906
5,7,local,local,1,-0.8566716313362122,-0.8566716313362122,0.0,-29.689767837524414,-44.627296447753906
5,8,local,local,1,-0.5488563179969788,-0.5488563179969788,0.0,-29.689767837524414,-44.627296447753906
5,9,local,local,1,-0.930888831615448,-0.930888831615448,0.0,-29.689767837524414,-44.627296447753906
5,10,local,local,1,-0.792515218257904,-0.792515218257904,0.0,-29.689767837524414,-44.627296447753906
5,11,local,local,1,-0.5343539118766785,-0.5343539118766785,0.0,-29.689767837524414,-44.627296447753906
5,12,local,local,1,-1.0001025199890137,-1.0001025199890137,0.0,-29.689767837524414,-44.627296447753906
5,13,local,bs1,0,-1.1340487003326416,-0.7980562448501587,0.3359924554824829,-29.689767837524414,-44.627296447753906
5,14,local,bs1,0,-0.9502308368682861,-0.8290616273880005,0.12116920948028564,-29.689767837524414,-44.627296447753906
5,15,local,bs2,0,-1.319844126701355,-1.135610580444336,0.18423354625701904,-29.689767837524414,-44.627296447753906
5,16,local,local,1,-0.2907591462135315,-0.2907591462135315,0.0,-29.689767837524414,-44.627296447753906
5,17,local,bs1,0,-0.19921979308128357,-0.03390185534954071,0.16531793773174286,-29.689767837524414,-44.627296447753906
5,18,local,local,1,-0.0,-0.0,0.0,-29.689767837524414,-44.627296447753906
5,19,local,bs2,0,-0.7532495260238647,-0.4185110032558441,0.33473852276802063,-29.689767837524414,-44.627296447753906
5,20,local,local,1,-0.5575247406959534,-0.5575247406959534,0.0,-29.689767837524414,-44.627296447753906
5,21,local,local,1,-0.3151435852050781,-0.3151435852050781,0.0,-29.689767837524414,-44.627296447753906
5,22,local,bs1,0,-0.9520764350891113,-0.572543740272522,0.37953269481658936,-29.689767837524414,-44.627296447753906
5,23,local,bs2,0,-0.9212523698806763,-0.7128994464874268,0.2083529233932495,-29.689767837524414,-44.627296447753906
6,0,local,local,1,-1.1903187036514282,-1.1903187036514282,0.0,-18.568431854248047,-44.20024108886719
6,1,local,bs1,0,-0.7887618541717529,-0.5213382244110107,0.2674236297607422,-18.568431854248047,-44.20024108886719
6,2,local,bs1,0,-0.6794906854629517,-0.46588367223739624,0.21360701322555542,-18.568431854248047,-44.20024108886719
6,3,local,local,1,-1.085652470588684,-1.085652470588684,0.0,-18.568431854248047,-44.20024108886719
6,4,local,local,1,-0.5238683819770813,-0.5238683819770813,0.0,-18.568431854248047,-44.20024108886719
6,5,local,bs2,0,-0.18294048309326172,-0.020932763814926147,0.16200771927833557,-18.568431854248047,-44.20024108886719
6,6,local,bs2,0,-0.16187699139118195,-0.0,0.16187699139118195,-18.568431854248047,-44.20024108886719
6,7,local,local,1,-0.6372933983802795,-0.6372933983802795,0.0,-18.568431854248047,-44.20024108886719
6,8,local,local,1,-1.0452511310577393,-1.0452511310577393,0.0,-18.568431854248047,-44.20024108886719
6,9,local,local,1,-0.7399411201477051,-0.7399411201477051,0.0,-18.568431854248047,-44.20024108886719
6,10,local,local,1,-0.7417038679122925,-0.7417038679122925,0.0,-18.568431854248047,-44.20024108886719
6,11,local,local,1,-1.1609477996826172,-1.1609477996826172,0.0,-18.568431854248047,-44.20024108886719
6,12,local,local,1,-1.0430508852005005,-1.0430508852005005,0.0,-18.568431854248047,-44.20024108886719
6,13,local,bs1,0,-1.2997552156448364,-0.9475845694541931,0.3521706461906433,-18.568431854248047,-44.20024108886719
6,14,local,local,1,-1.1505956649780273,-1.1505956649780273,0.0,-18.568431854248047,-44.20024108886719
6,15,local,bs1,0,-1.423096776008606,-1.168432354927063,0.25466442108154297,-18.568431854248047,-44.20024108886719
6,16,local,local,1,-0.2876819968223572,-0.2876819968223572,0.0,-18.568431854248047,-44.20024108886719
6,17,local,local,1,-0.7853691577911377,-0.7853691577911377,0.0,-18.568431854248047,-44.20024108886719
6,18,local,bs1,0,-0.9981191158294678,-0.7786555290222168,0.21946358680725098,-18.568431854248047,-44.20024108886719
6,19,local,local,1,-0.4271405339241028,-0.4271405339241028,0.0,-18.568431854248047,-44.20024108886719
6,20,local,local,1,-0.548157274723053,-0.548157274723053,0.0,-18.568431854248047,-44.20024108886719
6,21,local,bs1,0,-0.950742781162262,-0.5761223435401917,0.3746204376220703,-18.568431854248047,-44.20024108886719
6,22,local,local,1,-0.6141312122344971,-0.6141312122344971,0.0,-18.568431854248047,-44.20024108886719
6,23,local,bs2,0,-1.0331112146377563,-0.7452220320701599,0.28788918256759644,-18.568431854248047,-44.20024108886719
7,0,local,local,1,-1.1350845098495483,-1.1350845098495483,0.0,-18.231754302978516,-43.53334045410156
7,1,local,local,1,-1.3441132307052612,-1.3441132307052612,0.0,-18.231754302978516,-43.53334045410156
7,2,local,local,1,-1.2469335794448853,-1.2469335794448853,0.0,-18.231754302978516,-43.53334045410156
7,3,local,bs2,0,-1.2542668581008911,-1.0778675079345703,0.1763993501663208,-18.231754302978516,-43.53334045410156
7,4,local,bs1,0,-0.9660664796829224,-0.5886616110801697,0.3774048686027527,-18.231754302978516,-43.53334045410156
7,5,local,local,1,-0.9930810928344727,-0.9930810928344727,0.0,-18.231754302978516,-43.53334045410156
7,6,local,bs1,0,-1.201051115989685,-0.9299768209457397,0.2710742950439453,-18.231754302978516,-43.53334045410156
7,7,local,local,1,-0.6630898714065552,-0.6630898714065552,0.0,-18.231754302978516,-43.53334045410156
7,8,local,local,1,-0.632276713848114,-0.632276713848114,0.0,-18.231754302978516,-43.53334045410156
7,9,local,bs2,0,-0.4853725731372833,-0.23309704661369324,0.2522755265235901,-18.231754302978516,-43.53334045410156
7,10,local,bs2,0,-0.646849513053894,-0.39404597878456116,0.2528035342693329,-18.231754302978516,-43.53334045410156
7,11,local,bs2,0,-0.8587517142295837,-0.6218885183334351,0.23686319589614868,-18.231754302978516,-43.53334045410156
7,12,local,bs2,0,-1.3051031827926636,-1.082594633102417,0.22250854969024658,-18.231754302978516,-43.53334045410156
7,13,local,bs1,0,-0.7158564329147339,-0.23966622352600098,0.4761902093887329,-18.231754302978516,-43.53334045410156
7,14,local,local,1,-0.4378522038459778,-0.4378522038459778,0.0,-18.231754302978516,-43.53334045410156
7,15,local,bs2,0,-1.464796543121338,-1.2020623683929443,0.26273417472839355,-18.231754302978516,-43.53334045410156
7,16,local,local,1,-0.418930321931839,-0.418930321931839,0.0,-18.231754302978516,-43.53334045410156
7,17,local,local,1,-0.14087845385074615,-0.14087845385074615,0.0,-18.231754302978516,-43.53334045410156
7,18,local,bs2,0,-0.2957445979118347,-0.0,0.2957445979118347,-18.231754302978516,-43.53334045410156
7,19,local,bs2,0,-0.7238560914993286,-0.3676512539386749,0.3562048375606537,-18.231754302978516,-43.53334045410156
7,20,local,bs1,0,-0.8969758749008179,-0.7048748135566711,0.19210106134414673,-18.231754302978516,-43.53334045410156
7,21,local,bs1,0,-1.262147068977356,-1.014433741569519,0.24771332740783691,-18.231754302978516,-43.53334045410156
7,22,local,local,1,-1.2425434589385986,-1.2425434589385986,0.0,-18.231754302978516,-43.53334045410156
7,23,local,local,1,-0.5795249938964844,-0.5795249938964844,0.0,-18.231754302978516,-43.53334045410156
8,0,local,bs1,0,-1.2738734483718872,-1.0439176559448242,0.229955792427063,-28.414318084716797,-43.506591796875
8,1,local,bs1,0,-0.6554383039474487,-0.5105167627334595,0.14492154121398926,-28.414318084716797,-43.506591796875
8,2,local,bs1,0,-0.5132418274879456,-0.3677178621292114,0.14552396535873413,-28.414318084716797,-43.506591796875
8,3,local,local,1,-1.0,-1.0,0.0,-28.414318084716797,-43.506591796875
8,4,local,local,1,-0.5844939947128296,-0.5844939947128296,0.0,-28.414318084716797,-43.506591796875
8,5,local,local,1,-0.4285396635532379,-0.4285396635532379,0.0,-28.414318084716797,-43.506591796875
8,6,local,local,1,-0.5336676836013794,-0.5336676836013794,0.0,-28.414318084716797,-43.506591796875
8,7,local,bs1,0,-1.0418407917022705,-0.7151166200637817,0.32672417163848877,-28.414318084716797,-43.506591796875
8,8,local,local,1,-0.597463846206665,-0.597463846206665,0.0,-28.414318084716797,-43.506591796875
8,9,local,local,1,-0.3029155135154724,-0.3029155135154724,0.0,-28.414318084716797,-43.506591796875
8,10,local,bs2,0,-0.4947429299354553,-0.3029155135154724,0.1918274164199829,-28.414318084716797,-43.506591796875
8,11,local,local,1,-0.4828636050224304,-0.4828636050224304,0.0,-28.414318084716797,-43.506591796875
8,12,local,local,1,-1.2366695404052734,-1.2366695404052734,0.0,-28.414318084716797,-43.506591796875
8,13,local,local,1,-0.6152474284172058,-0.6152474284172058,0.0,-28.414318084716797,-43.506591796875
8,14,local,bs2,0,-0.9030554294586182,-0.5580044388771057,0.34505099058151245,-28.414318084716797,-43.506591796875
8,15,local,bs1,0,-1.3068554401397705,-1.0493321418762207,0.2575232982635498,-28.414318084716797,-43.506591796875
8,16,local,local,1,-0.2912190854549408,-0.2912190854549408,0.0,-28.414318084716797,-43.506591796875
8,17,local,local,1,-0.23385149240493774,-0.23385149240493774,0.0,-28.414318084716797,-43.506591796875
8,18,local,local,1,-0.0,-0.0,0.0,-28.414318084716797,-43.506591796875
8,19,local,bs2,0,-0.5656315684318542,-0.3463424742221832,0.21928909420967102,-28.414318084716797,-43.506591796875
8,20,local,local,1,-0.5632035732269287,-0.5632035732269287,0.0,-28.414318084716797,-43.506591796875
8,21,local,local,1,-0.2870737314224243,-0.2870737314224243,0.0,-28.414318084716797,-43.506591796875
8,22,local,local,1,-0.2188282608985901,-0.2188282608985901,0.0,-28.414318084716797,-43.506591796875
8,23,local,local,1,-0.6393411159515381,-0.6393411159515381,0.0,-28.414318084716797,-43.506591796875
9,0,local,bs2,0,-1.2391681671142578,-1.0,0.2391681671142578,-26.164844512939453,-43.767822265625
9,1,local,local,1,-0.8907064199447632,-0.8907064199447632,0.0,-26.164844512939453,-43.767822265625
9,2,local,bs1,0,-1.1352880001068115,-0.9527567625045776,0.1825312376022339,-26.164844512939453,-43.767822265625
9,3,local,bs2,0,-1.2203274965286255,-1.1207817792892456,0.09954571723937988,-26.164844512939453,-43.767822265625
9,4,local,local,1,-0.5718624591827393,-0.5718624591827393,0.0,-26.164844512939453,-43.767822265625
9,5,local,bs1,0,-0.4685206413269043,-0.32825931906700134,0.14026132225990295,-26.164844512939453,-43.767822265625
9,6,local,local,1,-0.35574743151664734,-0.35574743151664734,0.0,-26.164844512939453,-43.767822265625
9,7,local,bs2,0,-0.7719943523406982,-0.6361979842185974,0.13579636812210083,-26.164844512939453,-43.767822265625
9,8,local,bs2,0,-0.4149443209171295,-0.28402653336524963,0.13091778755187988,-26.164844512939453,-43.767822265625
9,9,local,bs1,0,-0.4661133289337158,-0.25084933638572693,0.2152639925479889,-26.164844512939453,-43.767822265625
9,10,local,bs2,0,-0.4981324374675751,-0.31078943610191345,0.18734300136566162,-26.164844512939453,-43.767822265625
9,11,local,local,1,-0.33295249938964844,-0.33295249938964844,0.0,-26.164844512939453,-43.767822265625
9,12,local,bs2,0,-0.7389622330665588,-0.5843204855918884,0.1546417474746704,-26.164844512939453,-43.767822265625
9,13,local,local,1,-0.08202289044857025,-0.08202289044857025,0.0,-26.164844512939453,-43.767822265625
9,14,local,bs2,0,-0.2375655174255371,-0.10176072269678116,0.13580480217933655,-26.164844512939453,-43.767822265625
9,15,local,local,1,-0.6291901469230652,-0.6291901469230652,0.0,-26.164844512939453,-43.767822265625
9,16,local,local,1,-0.28637000918388367,-0.28637000918388367,0.0,-26.164844512939453,-43.767822265625
9,17,local,bs2,0,-0.5480174422264099,-0.40651360154151917,0.14150384068489075,-26.164844512939453,-43.767822265625
9,18,local,local,1,-0.5083967447280884,-0.5083967447280884,0.0,-26.164844512939453,-43.767822265625
9,19,local,local,1,-0.3370775282382965,-0.3370775282382965,0.0,-26.164844512939453,-43.767822265625
9,20,local,local,1,-0.31713736057281494,-0.31713736057281494,0.0,-26.164844512939453,-43.767822265625
9,21,local,bs1,0,-0.5428099632263184,-0.30782076716423035,0.234989196062088,-26.164844512939453,-43.767822265625
9,22,local,local,1,-0.3808911144733429,-0.3808911144733429,0.0,-26.164844512939453,-43.767822265625
9,23,local,bs2,0,-0.5370364189147949,-0.41068848967552185,0.12634792923927307,-26.164844512939453,-43.767822265625
10,0,local,local,1,-1.169821858406067,-1.169821858406067,0.0,-18.582624435424805,-43.619178771972656
10,1,local,bs2,0,-2.2539443969726562,-1.8546983003616333,0.39924609661102295,-18.582624435424805,-43.619178771972656
10,2,local,bs2,0,-2.1845293045043945,-1.9318244457244873,0.2527048587799072,-18.582624435424805,-43.619178771972656
10,3,local,bs1,0,-1.3902491331100464,-1.0891443490982056,0.3011047840118408,-18.582624435424805,-43.619178771972656
10,4,local,local,1,-0.6553723216056824,-0.6553723216056824,0.0,-18.582624435424805,-43.619178771972656
10,5,local,local,1,-0.8876215815544128,-0.8876215815544128,0.0,-18.582624435424805,-43.619178771972656
10,6,local,local,1,-1.0198084115982056,-1.0198084115982056,0.0,-18.582624435424805,-43.619178771972656
10,7,local,bs1,0,-0.9794400930404663,-0.6030710339546204,0.37636905908584595,-18.582624435424805,-43.619178771972656
10,8,local,local,1,-0.5984835624694824,-0.5984835624694824,0.0,-18.582624435424805,-43.619178771972656
10,9,local,local,1,-0.06687166541814804,-0.06687166541814804,0.0,-18.582624435424805,-43.619178771972656
10,10,local,bs2,0,-0.5066177845001221,-0.08604546636343002,0.42057231068611145,-18.582624435424805,-43.619178771972656
10,11,local,local,1,-0.7355024814605713,-0.7355024814605713,0.0,-18.582624435424805,-43.619178771972656
10,12,local,bs1,0,-0.9902804493904114,-0.6991912126541138,0.2910892367362976,-18.582624435424805,-43.619178771972656
10,13,local,local,1,-0.06830983608961105,-0.06830983608961105,0.0,-18.582624435424805,-43.619178771972656
10,14,local,bs1,0,-0.3359904885292053,-0.09267793595790863,0.2433125525712967,-18.582624435424805,-43.619178771972656
10,15,local,local,1,-0.5418980717658997,-0.5418980717658997,0.0,-18.582624435424805,-43.619178771972656
