sample_id,block_id,best_joint_action_under_score,actual_joint_action,joint_action_match_under_score,selected_joint_score,best_joint_score,best_minus_selected_score,advantage,return
0,0,local,local,1,-1.0,-1.0,0.0,-16.65115737915039,-42.561866760253906
0,1,local,local,1,-0.8770135641098022,-0.8770135641098022,0.0,-16.65115737915039,-42.561866760253906
0,2,local,local,1,-0.8770135641098022,-0.8770135641098022,0.0,-16.65115737915039,-42.561866760253906
0,3,local,local,1,-1.0,-1.0,0.0,-16.65115737915039,-42.561866760253906
0,4,local,bs1,0,-0.523809552192688,-0.523809552192688,0.0,-16.65115737915039,-42.561866760253906
0,5,local,local,1,-0.0,-0.0,0.0,-16.65115737915039,-42.561866760253906
0,6,local,local,1,-0.0,-0.0,0.0,-16.65115737915039,-42.561866760253906
0,7,local,bs1,0,-0.523809552192688,-0.523809552192688,0.0,-16.65115737915039,-42.561866760253906
0,8,local,bs2,0,-1.0,-1.0,0.0,-16.65115737915039,-42.561866760253906
0,9,local,local,1,-1.166961908340454,-1.166961908340454,0.0,-16.65115737915039,-42.561866760253906
0,10,local,bs2,0,-1.166961908340454,-1.166961908340454,0.0,-16.65115737915039,-42.561866760253906
0,11,local,bs1,0,-1.0,-1.0,0.0,-16.65115737915039,-42.561866760253906
0,12,local,bs2,0,-0.5333333611488342,-0.5333333611488342,0.0,-16.65115737915039,-42.561866760253906
0,13,local,bs2,0,-0.43335583806037903,-0.43335583806037903,0.0,-16.65115737915039,-42.561866760253906
0,14,local,local,1,-0.43335583806037903,-0.43335583806037903,0.0,-16.65115737915039,-42.561866760253906
0,15,local,bs1,0,-0.5333333611488342,-0.5333333611488342,0.0,-16.65115737915039,-42.561866760253906
0,16,local,bs2,0,-0.523809552192688,-0.523809552192688,0.0,-16.65115737915039,-42.561866760253906
0,17,local,bs1,0,-0.3152870237827301,-0.3152870237827301,0.0,-16.65115737915039,-42.561866760253906
0,18,local,local,1,-0.3152870237827301,-0.3152870237827301,0.0,-16.65115737915039,-42.561866760253906
0,19,local,local,1,-0.523809552192688,-0.523809552192688,0.0,-16.65115737915039,-42.561866760253906
0,20,local,local,1,-1.0,-1.0,0.0,-16.65115737915039,-42.561866760253906
0,21,local,bs1,0,-1.4566283226013184,-1.4566283226013184,0.0,-16.65115737915039,-42.561866760253906
0,22,local,local,1,-1.4566283226013184,-1.4566283226013184,0.0,-16.65115737915039,-42.561866760253906
0,23,local,bs2,0,-1.0,-1.0,0.0,-16.65115737915039,-42.561866760253906
1,0,local,local,1,-1.0863624811172485,-1.0863624811172485,0.0,-22.19625473022461,-43.03369903564453
1,1,local,bs1,0,-0.7206674218177795,-0.4920099973678589,0.22865742444992065,-22.19625473022461,-43.03369903564453
1,2,local,local,1,-0.6027513742446899,-0.6027513742446899,0.0,-22.19625473022461,-43.03369903564453
1,3,local,local,1,-1.1791653633117676,-1.1791653633117676,0.0,-22.19625473022461,-43.03369903564453
1,4,local,bs2,0,-0.7684085369110107,-0.523809552192688,0.24459898471832275,-22.19625473022461,-43.03369903564453
1,5,local,bs1,0,-0.28565242886543274,-0.04445453733205795,0.2411978840827942,-22.19625473022461,-43.03369903564453
1,6,local,bs2,0,-0.39841026067733765,-0.09117268025875092,0.30723756551742554,-22.19625473022461,-43.03369903564453
1,7,local,local,1,-0.5762344002723694,-0.5762344002723694,0.0,-22.19625473022461,-43.03369903564453
1,8,local,bs2,0,-0.8962246775627136,-0.5867409110069275,0.30948376655578613,-22.19625473022461,-43.03369903564453
1,9,local,local,1,-0.13225947320461273,-0.13225947320461273,0.0,-22.19625473022461,-43.03369903564453
1,10,local,local,1,-0.04046539589762688,-0.04046539589762688,0.0,-22.19625473022461,-43.03369903564453
