sample_id,block_id,selected_joint_score,best_joint_score,return,selected_joint_reward_proxy
0,0,-1.0,-1.0,-42.561866760253906,-0.08636248111724854
0,1,-0.8770135641098022,-0.8770135641098022,-42.561866760253906,0.38500356674194336
0,2,-0.8770135641098022,-0.8770135641098022,-42.561866760253906,0.2742621898651123
0,3,-1.0,-1.0,-42.561866760253906,-0.17916536331176758
0,4,-0.523809552192688,-0.523809552192688,-42.561866760253906,-0.2118965983390808
0,5,-0.0,-0.0,-42.561866760253906,-0.04445453733205795
0,6,-0.0,-0.0,-42.561866760253906,-0.09117268025875092
0,7,-0.523809552192688,-0.523809552192688,-42.561866760253906,-0.28541475534439087
0,8,-1.0,-1.0,-42.561866760253906,0.10377532243728638
0,9,-1.166961908340454,-1.166961908340454,-42.561866760253906,1.0347024202346802
0,10,-1.166961908340454,-1.166961908340454,-42.561866760253906,0.923560619354248
0,11,-1.0,-1.0,-42.561866760253906,0.29151540994644165
0,12,-0.5333333611488342,-0.5333333611488342,-42.561866760253906,-0.6279094815254211
0,13,-0.43335583806037903,-0.43335583806037903,-42.561866760253906,-0.013215899467468262
0,14,-0.43335583806037903,-0.43335583806037903,-42.561866760253906,0.17818978428840637
0,15,-0.5333333611488342,-0.5333333611488342,-42.561866760253906,-0.619191586971283
0,16,-0.523809552192688,-0.523809552192688,-42.561866760253906,-0.9719104766845703
0,17,-0.3152870237827301,-0.3152870237827301,-42.561866760253906,-0.41665413975715637
0,18,-0.3152870237827301,-0.3152870237827301,-42.561866760253906,0.3152870237827301
0,19,-0.523809552192688,-0.523809552192688,-42.561866760253906,-0.5427008867263794
0,20,-1.0,-1.0,-42.561866760253906,0.7019768953323364
0,21,-1.4566283226013184,-1.4566283226013184,-42.561866760253906,0.8674570918083191
0,22,-1.4566283226013184,-1.4566283226013184,-42.561866760253906,0.998361349105835
0,23,-1.0,-1.0,-42.561866760253906,0.3700762391090393
1,0,-1.0863624811172485,-1.0863624811172485,-43.03369903564453,0.404823899269104
1,1,-0.7206674218177795,-0.4920099973678589,-43.03369903564453,0.22615477442741394
1,2,-0.6027513742446899,-0.6027513742446899,-43.03369903564453,0.47096720337867737
