mode,epoch,update_epoch,minibatch_id,trace_stage,trace_scope,critic_loss,actor_loss,critic_grad_norm,actor_grad_norm,critic_param_delta_norm,actor_param_delta_norm,critic_backbone_delta_norm,critic_head_delta_norm,actor_backbone_delta_norm,actor_head_delta_norm,critic_param_delta_norm_after_popart,critic_backbone_delta_norm_after_popart,critic_head_delta_norm_after_popart,critic_param_delta_norm_after_optimizer_step,value_pred_mean,value_pred_std,value_target_mean,value_target_std,return_mean,return_std,advantage_mean,advantage_std,pearson_value_vs_value_target,spearman_value_vs_value_target,pearson_value_vs_return,spearman_value_vs_return,pearson_value_vs_advantage,spearman_value_vs_advantage,pearson_value_vs_one_step_reward,spearman_value_vs_one_step_reward,popart_mean,popart_std
hierarchical_actor_joint_reward_aligned_credit,0,-1,-1,before_popart_update,preloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-16.644773483276367,12.28062915802002,-0.9471675157546997,1.2482386827468872,-31.138439178466797,9.208836555480957,-16.79501724243164,17.817853927612305,0.09290031343698502,0.07453945279121399,0.09290030598640442,0.07453945279121399,-0.8404644131660461,-0.7666847109794617,-0.29207491874694824,-0.2363276332616806,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,-1,-1,after_popart_update,preloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-17.645238876342773,14.454642295837402,-0.9471675157546997,1.2482386827468872,-31.138439178466797,9.208836555480957,-16.79501724243164,17.817853927612305,0.09290030598640442,0.07453945279121399,0.09290031343698502,0.07453945279121399,-0.8404644131660461,-0.7666847109794617,-0.292074978351593,-0.2363276332616806,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,-1,-1,after_target_build,preloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-17.645238876342773,14.454642295837402,-0.5364741086959839,1.0605005025863647,-31.138439178466797,9.208836555480957,-16.79501724243164,17.817853927612305,0.09290031343698502,0.07453945279121399,0.09290031343698502,0.07453945279121399,-0.8404644131660461,-0.7666847109794617,-0.292074978351593,-0.2363276332616806,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,0,0,before_actor,minibatch,1.7164748907089233,0.11472368240356445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-16.501468658447266,16.46085548400879,-0.7587941884994507,0.9739350080490112,-33.06895446777344,8.457146644592285,-19.292551040649414,19.80368995666504,-0.0316774845123291,-0.11693549156188965,-0.031677477061748505,-0.11693549156188965,-0.8919493556022644,-0.7745602130889893,-0.33065056800842285,-0.3640029728412628,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_actor_before_critic,minibatch,1.7164748907089233,0.11472368240356445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-16.501468658447266,16.46085548400879,-0.7587941884994507,0.9739350080490112,-33.06895446777344,8.457146644592285,-19.292551040649414,19.80368995666504,-0.0316774845123291,-0.11693549156188965,-0.031677477061748505,-0.11693549156188965,-0.8919493556022644,-0.7745602130889893,-0.33065056800842285,-0.3640029728412628,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,0,0,before_critic,minibatch,1.7164748907089233,0.11472368240356445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-16.501468658447266,16.46085548400879,-0.7587941884994507,0.9739350080490112,-33.06895446777344,8.457146644592285,-19.292551040649414,19.80368995666504,-0.0316774845123291,-0.11693549156188965,-0.031677477061748505,-0.11693549156188965,-0.8919493556022644,-0.7745602130889893,-0.33065056800842285,-0.3640029728412628,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_backward_before_step,minibatch,1.7164748907089233,0.11472368240356445,3.9112667740931304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-16.501468658447266,16.46085548400879,-0.7587941884994507,0.9739350080490112,-33.06895446777344,8.457146644592285,-19.292551040649414,19.80368995666504,-0.0316774845123291,-0.11693549156188965,-0.031677477061748505,-0.11693549156188965,-0.8919493556022644,-0.7745602130889893,-0.33065056800842285,-0.3640029728412628,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_optimizer_step,minibatch,1.7164748907089233,0.11472368240356445,3.9112667740931304,0.0,0.052152146328389104,0.0,0.05116027689636214,0.004894844243180995,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.052152146328389104,-18.054981231689453,15.314693450927734,-0.7587941884994507,0.9739350080490112,-33.06895446777344,8.457146644592285,-19.292551040649414,19.80368995666504,-0.01740969717502594,-0.042888566851615906,-0.01740969903767109,-0.042888566851615906,-0.8636417388916016,-0.7159091830253601,-0.3682916760444641,-0.4362170398235321,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_critic,minibatch,1.7164748907089233,0.11472368240356445,3.9112667740931304,0.0,0.052152146328389104,0.0,0.05116027689636214,0.004894844243180995,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.052152146328389104,-18.054981231689453,15.314693450927734,-0.7587941884994507,0.9739350080490112,-33.06895446777344,8.457146644592285,-19.292551040649414,19.80368995666504,-0.01740969717502594,-0.042888566851615906,-0.01740969903767109,-0.042888566851615906,-0.8636417388916016,-0.7159091830253601,-0.3682916760444641,-0.4362170398235321,-26.479977289835613,8.683481033755402
hierarchical_actor_joint_reward_aligned_credit,0,0,1,before_actor,minibatch,0.9282183647155762,0.1504410058259964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916590949563415,0.0,0.22916590949563415,0.0,-20.278730392456055,10.272130966186523,-0.43419966101646423,0.9874957203865051,-30.250341415405273,8.57490062713623,-14.2317533493042,13.444973945617676,0.2558556795120239,0.1946481168270111,0.25585564970970154,0.1946481168270111,-0.7652526497840881,-0.7467009425163269,-0.2366228997707367,-0.33321118354797363,-26.479977289835613,8.683481033755402
