block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_local_cost_now_mean,block_local_cost_now_std,block_local_cost_now_max,block_local_cost_now_min,block_local_cost_next_mean,block_local_cost_next_std,block_local_cost_next_max,block_local_cost_next_min,block_delta_cost_mean,block_delta_cost_std,block_delta_cost_max,block_delta_cost_min,block_td_reward_mean,block_td_reward_std,block_td_reward_max,block_td_reward_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.7450273036956787,0.2716091573238373,1.3429993391036987,0.2789812982082367,0.7386366128921509,0.2730492353439331,1.3429993391036987,0.2789812982082367,-0.0063906945288181305,0.2694835960865021,0.6848558187484741,-0.779012143611908,0.0063906945288181305,0.2694835960865021,0.779012143611908,-0.6848558187484741,0.3082442581653595,0.1592794805765152,0.955830991268158,-0.2855977416038513,0.30837005376815796,0.308400958776474,1.082488775253296,-0.4581742286682129,0.0001257753319805488,0.3418755531311035,0.9772782921791077,-0.9726783037185669,0.30000001192092896,0.0031114304438233376,0.2409960776567459,0
1,3,6,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5342763662338257,0.3572169244289398,2.025749444961548,0.07765382528305054,0.5276880860328674,0.3569103479385376,2.025749444961548,0.07765382528305054,-0.006588335148990154,0.4542056620121002,1.0080994367599487,-1.4273700714111328,0.006588335148990154,0.4542056620121002,1.4273700714111328,-1.0080994367599487,0.10607442259788513,0.15513700246810913,0.44330543279647827,-0.32375407218933105,0.11129005253314972,0.44809630513191223,1.4293675422668457,-0.8905578255653381,0.005215614568442106,0.4260101318359375,1.2992854118347168,-0.953222393989563,0.2800000011920929,0.011125550605356693,0.21968047320842743,0
2,6,9,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5795438289642334,0.37556159496307373,2.105593204498291,0.032996661961078644,0.5726715326309204,0.3763423264026642,2.105593204498291,0.032996661961078644,-0.006872321479022503,0.46542713046073914,1.2561262845993042,-1.4663944244384766,0.006872321479022503,0.46542713046073914,1.4663944244384766,-1.2561262845993042,-0.3256016671657562,0.23032420873641968,0.6794915199279785,-0.8798059821128845,-0.3094205856323242,0.5013838410377502,1.4160102605819702,-1.4599744081497192,0.016181068494915962,0.4614461362361908,1.7287180423736572,-1.0492385625839233,0.4699999988079071,0.010411549359560013,0.26883402466773987,0
3,9,12,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.7401589751243591,0.23671214282512665,1.3133851289749146,0.29773691296577454,0.7358770966529846,0.23584435880184174,1.3133851289749146,0.29773691296577454,-0.004281959496438503,0.2248685657978058,0.5499212741851807,-0.5758463144302368,0.004281959496438503,0.2248685657978058,0.5758463144302368,-0.5499212741851807,-0.021134447306394577,0.16265834867954254,0.4861142933368683,-0.41623401641845703,-0.02145366184413433,0.26102715730667114,0.7234646081924438,-0.6930256485939026,-0.0003192138683516532,0.2727930545806885,0.7728554010391235,-0.636673629283905,0.30000001192092896,-0.009803039021790028,0.2015494704246521,0
4,12,15,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.7122683525085449,0.29237619042396545,1.3969911336898804,0.296802818775177,0.7153301239013672,0.2919895052909851,1.3969911336898804,0.296802818775177,0.0030617760494351387,0.27284952998161316,0.8084389567375183,-0.8424621224403381,-0.0030617760494351387,0.27284952998161316,0.8424621224403381,-0.8084389567375183,0.2280440330505371,0.15056556463241577,0.5073970556259155,-0.26751187443733215,0.22401633858680725,0.3069952130317688,1.0107769966125488,-0.6974882483482361,-0.00402769586071372,0.32207781076431274,0.9742063283920288,-0.9097753763198853,0.25999999046325684,-0.023147981613874435,0.20253054797649384,0
5,15,18,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5343305468559265,0.40038907527923584,1.8910671472549438,0.0,0.538204550743103,0.39706072211265564,1.8910671472549438,0.036376841366291046,0.0038739920128136873,0.4790310561656952,1.0213570594787598,-1.052176833152771,-0.0038739920128136873,0.4790310561656952,1.052176833152771,-1.0213570594787598,-0.5221111178398132,0.1450171172618866,0.027521546930074692,-0.8665346503257751,-0.5152645111083984,0.5046238899230957,0.7982605695724487,-1.645051121711731,0.006846623495221138,0.4723007082939148,1.1954021453857422,-1.042467713356018,0.30000001192092896,0.001536648254841566,0.21786899864673615,0
6,18,21,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5112842321395874,0.35637763142585754,1.526968240737915,0.0,0.5159116983413696,0.35269397497177124,1.526968240737915,0.005032947286963463,0.004627435002475977,0.418376624584198,1.0765118598937988,-0.9455903172492981,-0.004627435002475977,0.418376624584198,0.9455903172492981,-1.0765118598937988,-0.11150268465280533,0.16269920766353607,0.27402424812316895,-0.6043887138366699,-0.1137470230460167,0.4542836844921112,0.9486438632011414,-1.1968564987182617,-0.0022443318739533424,0.4795636236667633,1.2602459192276,-1.0093976259231567,0.3199999928474426,-0.018237808719277382,0.21812529861927032,0
7,21,24,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.7719677686691284,0.17602719366550446,1.2569847106933594,0.3276785910129547,0.7736839056015015,0.17442873120307922,1.2569847106933594,0.3276785910129547,0.0017162024741992354,0.20504803955554962,0.605095624923706,-0.6289799809455872,-0.0017162024741992354,0.20504803955554962,0.6289799809455872,-0.605095624923706,0.6238337755203247,0.19678343832492828,1.00144624710083,0.08603263646364212,0.6133809089660645,0.2820338010787964,1.2200573682785034,-0.1421698033809662,-0.010452847927808762,0.3044535517692566,0.6269475221633911,-0.9203669428825378,0.3199999928474426,0.011936228722333908,0.20889601111412048,0
8,24,27,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.7679184675216675,0.32838401198387146,1.7547452449798584,0.26357248425483704,0.769321620464325,0.3296698033809662,1.7547452449798584,0.26357248425483704,0.0014030503807589412,0.3511867821216583,1.0094304084777832,-0.949082612991333,-0.0014030503807589412,0.3511867821216583,0.949082612991333,-1.0094304084777832,0.18117210268974304,0.13842016458511353,0.5782468914985657,-0.24220609664916992,0.1788669377565384,0.37652620673179626,1.1120768785476685,-1.1204729080200195,-0.002305171452462673,0.37846052646636963,1.3542829751968384,-1.1994130611419678,0.5,-0.048827867954969406,0.2975035011768341,0
9,27,30,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5622528195381165,0.4044730067253113,2.1348466873168945,0.006526108831167221,0.5569449067115784,0.3999601900577545,2.1348466873168945,0.006526108831167221,-0.005307929590344429,0.48687058687210083,1.5189769268035889,-1.3893115520477295,0.005307929590344429,0.48687058687210083,1.3893115520477295,-1.5189769268035889,0.0343506895005703,0.16837982833385468,0.6407393217086792,-0.4678044021129608,0.03825703263282776,0.46261271834373474,1.4526007175445557,-1.5004701614379883,0.0039063431322574615,0.42109549045562744,1.1834975481033325,-1.525366187095642,0.5,0.02125859074294567,0.35399317741394043,0
10,30,33,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5668705105781555,0.41782280802726746,2.0289669036865234,0.019545791670680046,0.5618763566017151,0.4135833978652954,2.0289669036865234,0.019545791670680046,-0.004994151648133993,0.5079072713851929,1.4590213298797607,-1.6238338947296143,0.004994151648133993,0.5079072713851929,1.6238338947296143,-1.4590213298797607,0.2199704349040985,0.16785332560539246,0.592875063419342,-0.4050430357456207,0.22410400211811066,0.5448399186134338,1.9420361518859863,-1.4092265367507935,0.00413356302306056,0.5406954288482666,1.5620027780532837,-1.2930669784545898,0.46000000834465027,-0.0011862802784889936,0.23523850739002228,0
11,33,36,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.7078827023506165,0.1777910739183426,1.327743411064148,0.39853769540786743,0.7079089283943176,0.1778343915939331,1.327743411064148,0.39853769540786743,2.6254654585500248e-05,0.21169529855251312,0.7263149619102478,-0.5331540703773499,-2.6254654585500248e-05,0.21169529855251312,0.5331540703773499,-0.7263149619102478,-0.05052506551146507,0.1760351061820984,0.6084929704666138,-0.46292993426322937,-0.050209078937768936,0.273357629776001,0.7620312571525574,-0.9103860855102539,0.0003159808984491974,0.28892508149147034,0.739674985408783,-0.751787543296814,0.17000000178813934,0.011482423171401024,0.3427889943122864,0
12,36,39,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.799196183681488,0.3290327489376068,1.5396004915237427,0.2910233736038208,0.8017513155937195,0.32794857025146484,1.5396004915237427,0.2910233736038208,0.002555092563852668,0.3114812970161438,0.8598512411117554,-0.8251836895942688,-0.002555092563852668,0.3114812970161438,0.8251836895942688,-0.8598512411117554,0.016158564016222954,0.182954341173172,0.627484142780304,-0.3984490931034088,0.012655982747673988,0.34928828477859497,1.111352562904358,-0.656035840511322,-0.003502581035718322,0.3710000216960907,1.0042083263397217,-0.7913963794708252,0.3499999940395355,0.014076433144509792,0.29705169796943665,0
13,39,42,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.527641773223877,0.29292726516723633,1.1590046882629395,0.013181307353079319,0.5272001028060913,0.29310232400894165,1.1590046882629395,0.013181307353079319,-0.00044164955033920705,0.34923675656318665,1.08761727809906,-0.9552679061889648,0.00044164955033920705,0.34923675656318665,0.9552679061889648,-1.08761727809906,0.8006317615509033,0.2009766399860382,1.249725103378296,0.15683071315288544,0.7842240333557129,0.40491339564323425,1.7877399921417236,-0.3055223822593689,-0.016407789662480354,0.3797856271266937,0.9626028537750244,-0.8597256541252136,0.33000001311302185,0.032084349542856216,0.20580369234085083,0
14,42,45,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.600205659866333,0.3371638059616089,1.4902011156082153,0.04437382519245148,0.6000329852104187,0.3372536897659302,1.4902011156082153,0.04437382519245148,-0.00017275928985327482,0.37743088603019714,1.24031400680542,-0.9981610774993896,0.00017275928985327482,0.37743088603019714,0.9981610774993896,-1.24031400680542,0.40462642908096313,0.1628635972738266,0.9828541278839111,-0.0751250684261322,0.39884430170059204,0.38404345512390137,1.5743129253387451,-0.9342978000640869,-0.005782118067145348,0.38220953941345215,1.1441317796707153,-1.2268002033233643,0.3499999940395355,0.011422842741012573,0.23687544465065002,0
15,45,48,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.8346943855285645,0.23327846825122833,1.4020590782165527,0.30604520440101624,0.8349795341491699,0.23292702436447144,1.4020590782165527,0.30604520440101624,0.00028520316118374467,0.17911460995674133,0.4834052324295044,-0.5088262557983398,-0.00028520316118374467,0.17911460995674133,0.5088262557983398,-0.4834052324295044,-0.8343879580497742,0.2068055272102356,-0.13371919095516205,-1.2667624950408936,-0.8165165781974792,0.31877759099006653,0.406238317489624,-1.5610697269439697,0.017871348187327385,0.33963480591773987,0.9877724647521973,-0.9678289294242859,0.4699999988079071,0.04368022084236145,0.4193882942199707,0
16,48,51,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.7333562970161438,0.3108413517475128,1.3761330842971802,0.3005289137363434,0.7391999959945679,0.3123363256454468,1.3761330842971802,0.3005289137363434,0.005843662191182375,0.2803032100200653,0.8523235321044922,-0.8141841292381287,-0.005843662191182375,0.2803032100200653,0.8141841292381287,-0.8523235321044922,0.6269829869270325,0.15822170674800873,1.0284156799316406,0.24541042745113373,0.6087836623191833,0.31281042098999023,1.4616374969482422,-0.40047603845596313,-0.018199335783720016,0.30719318985939026,0.8036741614341736,-0.7518677115440369,0.23999999463558197,-0.012004196643829346,0.1731322705745697,0
17,51,54,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5793148279190063,0.3405049443244934,1.45259428024292,0.058042895048856735,0.5776486992835999,0.3421962261199951,1.45259428024292,0.058042895048856735,-0.001666133408434689,0.4592101573944092,1.1252553462982178,-0.9964768886566162,0.001666133408434689,0.4592101573944092,0.9964768886566162,-1.1252553462982178,0.18836532533168793,0.1685170978307724,0.5876485705375671,-0.24916459619998932,0.18760576844215393,0.4649776518344879,1.078157901763916,-0.9155685305595398,-0.0007595515344291925,0.4416574239730835,0.837397038936615,-0.9077200889587402,0.23000000417232513,0.02062414586544037,0.1777169108390808,0
18,54,57,3,dispatch_decision_block,blockwise_delta_cost_td_advantage_surrogate_mean,0.5190753936767578,0.33426713943481445,1.449185848236084,0.0,0.517408013343811,0.3356923758983612,1.449185848236084,0.0,-0.0016674089711159468,0.47107598185539246,1.329493761062622,-1.2706812620162964,0.0016674089711159468,0.47107598185539246,1.2706812620162964,-1.329493761062622,-0.12978456914424896,0.14967262744903564,0.277736097574234,-0.4675646126270294,-0.1238110363483429,0.5112059712409973,1.1930474042892456,-1.4572257995605469,0.005973539315164089,0.5072535276412964,1.322069764137268,-1.107738733291626,0.4099999964237213,-0.006981228478252888,0.2647216022014618,0
