seed,epochs_completed,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,10,-393.9177584310141,-404.7455371234119,6,-10.827778692397828,2553.317678833008,0.49193987253880955
2026,9,-405.48320862687706,-409.78594392682567,5,-4.302735299948608,2682.8986083984373,0.4860824643872217
