epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0.04275286646263521,5376000,0,0.0,166340.109375,349943.71875,4573652.0,87483448.0,166340.109375,349943.71875,4573652.0,87483448.0,0.671561930555184,0.28720494113963435,0.30169959643057415,2.3590393332085076
1,0.027165491776772844,5376000,0,0.0,183079.65625,420118.4578124967,5299756.5,37154600.0,183079.65625,420118.4578124967,5299756.5,37154600.0,0.739558718296585,0.29038070354511825,0.2201528059584754,2.0152874838494905
2,0.03439506557532253,5376000,0,0.0,191508.109375,471165.2765624897,5530137.914999756,36111508.0,191508.109375,471165.2765624897,5530137.914999756,36111508.0,0.7731839012616589,0.2888948217779026,0.17229373008012772,1.9061401995700822
3,0.03149675182923414,5376000,0,0.0,178648.5625,461939.2359374757,4971760.5,33385190.0,178648.5625,461939.2359374757,4971760.5,33385190.0,0.7932468869878843,0.290197601188852,0.10192282886377403,1.825260048738075
4,0.027821161246310257,5376000,0,0.0,177254.875,487825.91562499705,4793820.724999872,30550316.0,177254.875,487825.91562499705,4793820.724999872,30550316.0,0.8007726265230767,0.2908107129679659,0.0791383471339941,1.800272058386504
5,0.02677224345288759,5375998,0,0.0,178335.140625,508707.03125,4789592.0,28868292.0,178335.140625,508707.03125,4789592.0,28868292.0,0.8037758131679416,0.2904222817632039,0.07205768139766795,1.7947301174844916
6,0.025850549058785116,5376000,0,0.0,179565.96875,529043.5624999856,4708833.5,26589856.0,179565.96875,529043.5624999856,4708833.5,26589856.0,0.8041003899035513,0.28940631922690163,0.0700672749163849,1.8017651448045473
7,0.02740987131575913,5376000,0,0.0,182390.828125,547209.6218749853,4803649.0,27382584.0,182390.828125,547209.6218749853,4803649.0,27382584.0,0.8031663274487301,0.28838387589636205,0.07027340605854988,1.8125053446923869
8,0.030373562376947705,5375998,0,0.0,183627.9375,572177.6875,4869905.5,28261272.0,183627.9375,572177.6875,4869905.5,28261272.0,0.8045362096443723,0.28763186877456753,0.06244011909833976,1.8138758193055333
9,0.02427816070348241,5376000,0,0.0,185846.125,585277.6843749988,4903392.999999866,28724246.0,185846.125,585277.6843749988,4903392.999999866,28724246.0,0.8054812296080823,0.286937887050454,0.05672122040497405,1.8178694443862211
10,0.024568182926178427,5376000,0,0.0,189205.765625,602163.2687499885,4984090.0,29275686.0,189205.765625,602163.2687499885,4984090.0,29275686.0,0.8038842051715384,0.28658985778499785,0.05807388824011598,1.8274714689237672
11,0.02772497424448719,5376000,0,0.0,190770.78125,611289.6593749993,5048584.0,29382616.0,190770.78125,611289.6593749993,5048584.0,29382616.0,0.8040773411609501,0.2863663897126759,0.05507672413119248,1.827690291245036
