epoch,offload_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_fallback_trigger_count,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment
0,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.23624999821186066,567.0,0,0.993874728679657,0.9999033212661743,0.006825629156082869,9.771493205334991e-05,0.0,0.0,0.15225982666015625
1,0.49958333373069763,0.4962500035762787,0.4962500035762787,0.23916666209697723,574.0,0,0.9887312650680542,0.9999574422836304,0.01302031334489584,4.5656950533157215e-05,0.00041666667675599456,0.0,0.02926022931933403
2,0.5120833516120911,0.49791666865348816,0.49791666865348816,0.23333333432674408,560.0,0,0.9978240728378296,0.9999146461486816,0.002660464495420456,8.617022103862837e-05,0.0,0.0,-0.08192434906959534
3,0.49666666984558105,0.4854166805744171,0.4854166805744171,0.22875000536441803,549.0,0,0.9990281462669373,0.9999875426292419,0.0011773661244660616,1.2730477465083823e-05,0.0,0.0,0.2037525326013565
4,0.502916693687439,0.4854166805744171,0.4854166805744171,0.2266666740179062,544.0,0,0.9987359642982483,0.9999791383743286,0.001374824671074748,2.1072268282296136e-05,0.0,0.0,-0.12982966005802155
