epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_advantage_alignment,route_advantage_alignment,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_route_feature_correlation,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.00232457322999835,0.29267042875289917,2.0661935806274414,-1.2860959768295288,-0.004160622600466013,0.33412832021713257,1.5988192558288574,-1.5260745286941528,0.2828928828239441,0.16635552048683167,-0.005735039710998535,0.003384438343346119,-0.03780186176300049,-0.025902802124619484,0.14000000059604645,0.2241666615009308,0.048093281812385494,0.16252117133637892,0.1392732899504616,0.1392732899504616,0.9999992251396179,0.10248462110757828,0.4870436489582062,0.6597751975059509,-0.019761549308896065,0.47076907753944397,0.19783562421798706,0.6271748542785645
1,0.0005641602911055088,0.23887605965137482,1.4184519052505493,-1.4988257884979248,-0.004184721503406763,0.2505638897418976,1.7393052577972412,-1.738349437713623,0.3110831677913666,0.24011844396591187,-0.006229109596461058,0.026284128427505493,-0.11253029853105545,-0.05293770506978035,0.35333332419395447,0.4504166543483734,0.04026915911511332,0.08983866030349552,0.10731971715297176,0.10731971715297176,0.9999997615814209,0.08604981750249863,0.495093435049057,0.6574500203132629,-0.12871477007865906,0.5777137875556946,0.19897432625293732,0.7300927042961121
2,0.000929926463868469,0.24892958998680115,1.5659476518630981,-1.7892755270004272,-0.004480755887925625,0.2540605068206787,2.0378355979919434,-1.7323603630065918,0.3374880850315094,0.20063798129558563,0.013344582170248032,0.010157234966754913,-0.08675897121429443,-0.07106216251850128,0.3270833194255829,0.4208333194255829,0.0394746715128723,0.09034887479881877,0.10392918360785479,0.10392918360785479,1.0,0.04378494247794151,0.4963429868221283,0.6557578444480896,-0.23315177857875824,0.5969496369361877,0.21624089777469635,0.7906954884529114
3,0.0038994664791971445,0.22368834912776947,1.1377941370010376,-1.8637804985046387,-0.008050942793488503,0.22839492559432983,1.1342133283615112,-1.313984990119934,0.34157484769821167,0.24269716441631317,-0.0017642946913838387,0.002518639201298356,-0.11354489624500275,-0.076775923371315,0.34291666746139526,0.4491666555404663,0.04621461967303036,0.09780784322392705,0.11731488496640603,0.11731488496640603,0.9999999403953552,0.13366913795471191,0.49661967158317566,0.6529808640480042,-0.3725443482398987,0.6279177665710449,0.39824825525283813,0.8202381730079651
4,0.005373861640691757,0.22834891080856323,1.157634973526001,-1.8245060443878174,-0.007911921478807926,0.2452867180109024,1.3510830402374268,-1.6897754669189453,0.3996310234069824,0.25445690751075745,-0.0022174527402967215,0.016654133796691895,-0.10568555444478989,-0.06508801877498627,0.32875001430511475,0.41458332538604736,0.04197600853528022,0.07999336579270586,0.09898796491846049,0.09898796491846049,0.9999999403953552,0.11427304893732071,0.49531152844429016,0.6525333523750305,-0.3871285319328308,0.7249045968055725,0.3643842041492462,0.9224776029586792
