epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_min_theta_updates_per_epoch,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,hierarchical_actor_separate_theta_route_backbones,1.0029438734054565,0.0888105258345604,2.0899930000305176,0.9895132184028625,0.19059833884239197,2.029853343963623,0.0008200996671803296,0.02945878729224205,0.03333333507180214,0.2523076832294464,0.004098762758076191,0.003580862663842378,0.03,0.015,0,10,10,0,0,1,11,0.40625,0.40625,0.52,0.02
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,hierarchical_actor_separate_theta_route_backbones,1.0073132514953613,0.23372893035411835,3.5039002895355225,1.013611912727356,0.31908413767814636,2.9299094676971436,0.01749587059020996,0.0339774526655674,0.23499999940395355,0.44167497754096985,0.0011442651752573015,0.0025010426156529177,0.03,0.015,1,8,8,0,0,11,19,0.4179166555404663,0.4179166555404663,0.52,0.02
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,hierarchical_actor_separate_theta_route_backbones,1.0026037693023682,0.21045424044132233,3.6082844734191895,1.011490821838379,0.32351502776145935,2.8638877868652344,0.017793182283639908,0.037205636501312256,0.20208333432674408,0.42941758036613464,0.0015962551406119019,0.0019548170079360717,0.03,0.015,1,9,8,0,0,11,20,0.4220833480358124,0.4220833480358124,0.52,0.02
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,hierarchical_actor_separate_theta_route_backbones,1.0079463720321655,0.2228565514087677,4.687459945678711,1.0122640132904053,0.35825419425964355,4.705512523651123,0.013706072233617306,0.04266538843512535,0.20250000059604645,0.4609929025173187,0.001265990188795303,0.0014722138744435228,0.03,0.015,0,8,8,0,0,13,21,0.4112499952316284,0.4112499952316284,0.52,0.02
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_confident_mask,hierarchical_actor_separate_theta_route_backbones,1.0027122497558594,0.17670340836048126,3.069304943084717,1.008124589920044,0.34736505150794983,3.713850498199463,0.012336176820099354,0.050357554107904434,0.17208333313465118,0.46659815311431885,0.002053520051413216,0.002671969159947414,0.03,0.015,0,9,9,0,0,10,19,0.40541666746139526,0.40541666746139526,0.52,0.02
