epoch,advantage_action_alignment,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_action_decision_agreement_ratio_under_td_aligned
0,0.10573726147413254,0.02411000244319439,0.5360416769981384,0.09723324328660965,0.11889336258172989,-0.02166012115776539,1.0249112844467163,0.3891666829586029
1,-0.04105749353766441,0.013911728747189045,0.7016667127609253,0.2762733995914459,0.17377960681915283,0.10249380767345428,0.970144510269165,0.41750001907348633
2,0.16686338186264038,-0.024676160886883736,0.6197916865348816,0.4625921845436096,0.2676934599876404,0.19489870965480804,0.8556597828865051,0.4620833396911621
3,0.1813671588897705,-0.043768398463726044,0.5087500214576721,0.6026968955993652,0.3505221903324127,0.2521747350692749,0.73549485206604,0.48520833253860474
4,0.17406803369522095,-0.043755512684583664,0.37687501311302185,0.6500910520553589,0.42374593019485474,0.22634512186050415,0.627437949180603,0.4791666865348816
5,0.14497040212154388,-0.029955057427287102,0.23895834386348724,0.6895990371704102,0.4979793429374695,0.19161981344223022,0.5189862251281738,0.4514583349227905
6,-0.12956498563289642,-0.007569864857941866,0.2043749988079071,0.6775549650192261,0.5189758539199829,0.15857909619808197,0.47861364483833313,0.4189583361148834
7,-0.03006615675985813,-0.022784434258937836,0.1912500113248825,0.7646629810333252,0.581757128238678,0.1829058825969696,0.4486863911151886,0.40687501430511475
8,0.04960580915212631,-0.016301242634654045,0.17854167520999908,0.7492365837097168,0.585525393486023,0.16371123492717743,0.4163466989994049,0.42895835638046265
9,-0.05687539279460907,-0.014632771722972393,0.16312500834465027,0.7440215349197388,0.5837571024894714,0.16026443243026733,0.40219995379447937,0.4464583396911621
10,0.15087907016277313,0.021228257566690445,0.28125,0.623428463935852,0.5087748169898987,0.11465361714363098,0.45487678050994873,0.4541666805744171
11,-0.0358966663479805,-0.01709063909947872,0.21520833671092987,0.7959239482879639,0.6368527412414551,0.1590711772441864,0.4097389876842499,0.48395833373069763
