epoch,offload_active_fraction,route_logprob_active_fraction,route_selected_score_mean,route_expected_score_mean,route_residual_credit_mean,route_residual_credit_std,route_ratio_mean,route_approx_kl,route_clip_fraction,advantage_action_alignment
0,0.51583331823349,0.51583331823349,0.0007996713393367827,-0.003124391194432974,0.0039240638725459576,0.9847439527511597,0.9989400506019592,0.001815312309190631,0.0,0.10573726147413254
1,0.48520833253860474,0.48520833253860474,-0.026607459411025047,-0.009974479675292969,-0.01663297787308693,0.9596214294433594,1.0025137662887573,0.00985570065677166,0.20352083444595337,-0.04105749353766441
2,0.43020835518836975,0.43020835518836975,-0.06438442319631577,-0.01591225527226925,-0.048472169786691666,0.9102446436882019,1.0241142511367798,-0.006956049706786871,0.3016948997974396,0.16686338186264038
3,0.3700000047683716,0.3700000047683716,-0.05174883455038071,-0.04092568904161453,-0.0108231445774436,0.8251444101333618,1.0573506355285645,-0.037071485072374344,0.32713964581489563,0.1813671588897705
4,0.3179166615009308,0.3179166615009308,-0.08714311569929123,-0.04157270863652229,-0.04557041451334953,0.7271846532821655,1.0790890455245972,-0.05280715227127075,0.3656618595123291,0.17406803369522095
5,0.26520833373069763,0.26520833373069763,-0.05969970300793648,-0.057950593531131744,-0.0017491054022684693,0.5490615963935852,1.077882170677185,-0.05482469126582146,0.2678711712360382,0.14497040212154388
6,0.25729167461395264,0.25729167461395264,-0.110912024974823,-0.11015059053897858,-0.0007614425267092884,0.4683261215686798,1.0645620822906494,-0.047848522663116455,0.20161943137645721,-0.12956498563289642
7,0.2722916603088379,0.2722916603088379,-0.11934574693441391,-0.11351721733808517,-0.00582853052765131,0.4312919080257416,1.031535267829895,-0.014292269945144653,0.16143840551376343,-0.03006615675985813
8,0.2618750035762787,0.2618750035762787,-0.1400127112865448,-0.13137604296207428,-0.008636655285954475,0.4029526710510254,1.0246657133102417,-0.009380913339555264,0.1591089814901352,0.04960580915212631
9,0.25874999165534973,0.25874999165534973,-0.14493033289909363,-0.1349254548549652,-0.010004878975450993,0.3777465522289276,1.0282208919525146,-0.01025442499667406,0.14251208305358887,-0.05687539279460907
10,0.3460416793823242,0.3460416793823242,-0.15532377362251282,-0.14324301481246948,-0.01208075787872076,0.509165346622467,1.0026873350143433,0.016140863299369812,0.18723660707473755,0.15087907016277313
11,0.27416667342185974,0.27416667342185974,-0.1292145848274231,-0.14601247012615204,0.01679788902401924,0.40226832032203674,1.0224465131759644,-0.0004985335981473327,0.16641338169574738,-0.0358966663479805
