seed,epochs_completed,stopped_early,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,12,False,-393.09730376396254,-434.49668039057906,6,-41.399376626616515,2978.2274536132813,0.4953862140889512
2026,12,False,-401.69672451414914,-450.7883545407622,5,-49.091630026613075,3444.8781799316407,0.487857305373283
2027,12,False,-396.30154304221884,-443.0561748602274,8,-46.754631818008534,3307.52516784668,0.5030983793182505
2028,12,False,-403.0182506473269,-426.9951669678131,3,-23.97691632048617,2788.348159790039,0.4937651880962323
2029,12,False,-400.9155713534123,-400.9155713534123,11,0.0,2607.7426666259767,0.4908102621736501
