block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.047222986817359924,0.016514187678694725,0.09045866876840591,0.019375648349523544,1.07797372341156,0.12933634221553802,1.6184781789779663,0.6955407857894897,0.04917140305042267,0.17439216375350952,0.7475684881210327,-0.3909042179584503,1.07797372341156,0.12933634221553802,1.6184781789779663,0.6955407857894897,-0.011717710644006729,1.0463299751281738,3.1740164756774902,-1.4123787879943848,0.27000001072883606,0.3799999952316284,0.4054054021835327,0.3650793731212616,0.9993833899497986,0.21489191055297852,1.584352731704712,0.07175680994987488,1.123123288154602,-0.0006165969534777105,0.21489191055297852,0
1,3,6,3,dispatch_decision_block,0.03304992616176605,0.01977423019707203,0.10303755104541779,0.005682418588548899,0.9429754614830017,0.1056472659111023,1.2522274255752563,0.6824445128440857,-0.13454997539520264,0.15737800300121307,0.2313758283853531,-0.5815554261207581,0.9429754614830017,0.1056472659111023,1.2522274255752563,0.6824445128440857,-0.022332753986120224,0.9199880361557007,2.6577563285827637,-1.3437120914459229,0.23000000417232513,0.2800000011920929,0.2432432472705841,0.30158731341362,0.9621767401695251,0.22311614453792572,2.050586700439453,0.061447687447071075,0.9545332193374634,-0.037823233753442764,0.22311614453792572,0
2,6,9,3,dispatch_decision_block,0.03590892627835274,0.020618073642253876,0.10692109167575836,0.00241461512632668,0.9362908005714417,0.15508311986923218,1.7687004804611206,0.5807490348815918,-0.14842240512371063,0.24431873857975006,1.0008220672607422,-0.7211645841598511,0.9362908005714417,0.15508311986923218,1.7687004804611206,0.5807490348815918,0.04310254007577896,1.0875314474105835,5.228924751281738,-1.2547224760055542,0.18000000715255737,0.47999998927116394,0.4864864945411682,0.4761904776096344,0.9722744226455688,0.30199578404426575,2.7230734825134277,0.13123641908168793,1.1504619121551514,-0.027725566178560257,0.30199578404426575,0
3,9,12,3,dispatch_decision_block,0.04699283465743065,0.014562966302037239,0.09347808361053467,0.019122669473290443,1.0049536228179932,0.13303877413272858,1.4977692365646362,0.7459864020347595,-0.05107644945383072,0.1614389419555664,0.4299395680427551,-0.45916885137557983,1.0049536228179932,0.13303877413272858,1.4977692365646362,0.7459864020347595,-0.058546919375658035,0.9407778382301331,2.7093546390533447,-1.610238790512085,0.25999999046325684,0.36000001430511475,0.2702702581882477,0.4126984179019928,0.9578347206115723,0.31509873270988464,2.4574296474456787,0.03780362010002136,0.9597281217575073,-0.042165301740169525,0.31509873270988464,0
4,12,15,3,dispatch_decision_block,0.04489120468497276,0.017033154144883156,0.0966750904917717,0.016895581036806107,1.1187329292297363,0.12085111439228058,1.3478680849075317,0.7331841588020325,0.10201683640480042,0.16260802745819092,0.46883711218833923,-0.5217876434326172,1.1187329292297363,0.12085111439228058,1.3478680849075317,0.7331841588020325,0.009941701777279377,1.0836875438690186,2.9112162590026855,-1.5518134832382202,0.28999999165534973,0.49000000953674316,0.5405405163764954,0.460317462682724,0.9831764698028564,0.27754488587379456,2.3307971954345703,0.1357881873846054,1.146208643913269,-0.016823559999465942,0.27754488587379456,0
5,15,18,3,dispatch_decision_block,0.0325436145067215,0.022420309484004974,0.10710620880126953,5.662378299575721e-08,0.9010794758796692,0.0866888165473938,1.103714942932129,0.6688402891159058,-0.19383317232131958,0.1387336701154709,0.20516319572925568,-0.5751289129257202,0.9010794758796692,0.0866888165473938,1.103714942932129,0.6688402891159058,-0.0017008924623951316,0.8987967371940613,3.2910635471343994,-1.148871898651123,0.18000000715255737,0.3400000035762787,0.4054054021835327,0.30158731341362,0.9720417261123657,0.20877091586589813,1.5746861696243286,0.08098513633012772,0.9384371638298035,-0.027958355844020844,0.20877091586589813,0
6,18,21,3,dispatch_decision_block,0.031146451830863953,0.02024117298424244,0.09800995141267776,5.662378299575721e-08,0.943665623664856,0.12122642248868942,1.2188804149627686,0.5799447298049927,-0.1367659568786621,0.1667862832546234,0.20327836275100708,-0.6717827320098877,0.943665623664856,0.12122642248868942,1.2188804149627686,0.5799447298049927,-0.03203980624675751,0.8620245456695557,2.022434949874878,-1.3511910438537598,0.20999999344348907,0.3499999940395355,0.3243243098258972,0.3650793731212616,0.970043420791626,0.21127033233642578,1.7392278909683228,0.05327867344021797,0.8981066942214966,-0.029956605285406113,0.21127033233642578,0
7,21,24,3,dispatch_decision_block,0.04938903823494911,0.012347628362476826,0.0842377096414566,0.019461849704384804,1.1651391983032227,0.14759030938148499,1.5158947706222534,0.8058232665061951,0.1585124135017395,0.1964808851480484,0.6157606840133667,-0.39469441771507263,1.1651391983032227,0.14759030938148499,1.5158947706222534,0.8058232665061951,-0.02206411398947239,1.1512315273284912,4.512699604034424,-1.7963968515396118,0.3799999952316284,0.3400000035762787,0.29729729890823364,0.3650793731212616,0.981171190738678,0.26481935381889343,1.9963914155960083,0.08169865608215332,1.2213984727859497,-0.01882881671190262,0.26481935381889343,0
8,24,27,3,dispatch_decision_block,0.04786194488406181,0.01740581914782524,0.09050900489091873,0.020391810685396194,1.0174418687820435,0.09927809238433838,1.2900420427322388,0.716916024684906,-0.028557993471622467,0.17008236050605774,0.4637118875980377,-0.49780428409576416,1.0174418687820435,0.09927809238433838,1.2900420427322388,0.716916024684906,0.03239455074071884,1.0743536949157715,3.5967209339141846,-1.266074299812317,0.25999999046325684,0.4000000059604645,0.45945945382118225,0.3650793731212616,0.9838624000549316,0.22460104525089264,1.5861159563064575,0.13830502331256866,1.1616489887237549,-0.016137566417455673,0.22460104525089264,0
9,27,30,3,dispatch_decision_block,0.03405961021780968,0.021265359595417976,0.10420519858598709,0.0004817501758225262,0.9528210163116455,0.10857231169939041,1.2828432321548462,0.6827212572097778,-0.12001750618219376,0.17362092435359955,0.39210206270217896,-0.4976968765258789,0.9528210163116455,0.10857231169939041,1.2828432321548462,0.6827212572097778,0.003565669059753418,0.939937949180603,2.881840229034424,-1.4256269931793213,0.20999999344348907,0.44999998807907104,0.45945945382118225,0.4444444477558136,1.0144529342651367,0.3272291123867035,2.620511054992676,0.10430784523487091,0.9957430362701416,0.014452873729169369,0.3272291123867035,0
10,30,33,3,dispatch_decision_block,0.03431642800569534,0.021676527336239815,0.09953623265028,0.001394710037857294,1.0430793762207031,0.1185404434800148,1.3318661451339722,0.6924067735671997,0.0034376918338239193,0.1776685267686844,0.3984745144844055,-0.7341957688331604,1.0430793762207031,0.1185404434800148,1.3318661451339722,0.6924067735671997,-0.003030910389497876,1.035050868988037,4.277894020080566,-1.171505331993103,0.2800000011920929,0.3499999940395355,0.37837839126586914,0.3333333432674408,0.9726331830024719,0.24703337252140045,1.7647132873535156,0.07499046623706818,1.0912131071090698,-0.027366818860173225,0.24703337252140045,0
11,33,36,3,dispatch_decision_block,0.04499587044119835,0.010625994764268398,0.0811978206038475,0.024257365614175797,0.9730810523033142,0.12344237416982651,1.4828816652297974,0.6938977241516113,-0.09231676161289215,0.1988338679075241,0.627130925655365,-0.6640870571136475,0.9730810523033142,0.12344237416982651,1.4828816652297974,0.6938977241516113,0.032556284219026566,1.057782530784607,3.789306402206421,-1.1605136394500732,0.23000000417232513,0.46000000834465027,0.4864864945411682,0.4444444477558136,1.0081089735031128,0.30540451407432556,2.4343135356903076,0.1392015814781189,1.1604678630828857,0.00810888409614563,0.30540451407432556,0
12,36,39,3,dispatch_decision_block,0.05025694891810417,0.01947917230427265,0.11540096998214722,0.02090022712945938,0.9578254222869873,0.13347351551055908,1.5090614557266235,0.6772937774658203,-0.11578754335641861,0.2024592012166977,0.5937408208847046,-0.5311756730079651,0.9578254222869873,0.13347351551055908,1.5090614557266235,0.6772937774658203,0.044307395815849304,1.0915271043777466,4.847037315368652,-1.1453717947006226,0.1899999976158142,0.36000001430511475,0.5135135054588318,0.2698412835597992,1.0262196063995361,0.32170727849006653,2.982516050338745,0.14447538554668427,1.196038007736206,0.026219625025987625,0.32170727849006653,0
13,39,42,3,dispatch_decision_block,0.032755810767412186,0.017032306641340256,0.07338032871484756,0.0010189516469836235,1.295027494430542,0.14240145683288574,1.6910659074783325,0.8276749849319458,0.31610479950904846,0.19481705129146576,0.8242844343185425,-0.3329762816429138,1.295027494430542,0.14240145683288574,1.6910659074783325,0.8276749849319458,0.008904285728931427,1.2925788164138794,4.537871837615967,-1.6653897762298584,0.46000000834465027,0.38999998569488525,0.5135135054588318,0.3174603283405304,0.9935500621795654,0.2688761353492737,1.8254406452178955,0.14402490854263306,1.3701099157333374,-0.006449941545724869,0.2688761353492737,0
