epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.0571616603567688,5376000,0,0.0,211341.234375,413143.8125,6002324.5,93926056.0,211341.234375,413143.8125,6002324.5,93926056.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.04757517784531433,5375996,0,0.0,250364.9375,504420.625,7240572.0,42771996.0,250364.9375,504420.625,7240572.0,42771996.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0.045601159261238026,5376000,0,0.0,235916.921875,511975.08437499654,6795629.534999999,35205040.0,235916.921875,511975.08437499654,6795629.534999999,35205040.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0.039090742794085774,5375996,0,0.0,229717.0,543718.9375,6561072.5,34714428.0,229717.0,543718.9375,6561072.5,34714428.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0.032629300820172735,5376000,0,0.0,238424.328125,587813.5062499786,6798083.5,35165516.0,238424.328125,587813.5062499786,6798083.5,35165516.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.03112540230735818,5376000,0,0.0,246307.859375,612290.3281249972,7072434.274999994,33072962.0,246307.859375,612290.3281249972,7072434.274999994,33072962.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0.03006365265212206,5376000,0,0.0,252116.3125,647777.2093749575,7255595.0,34562760.0,252116.3125,647777.2093749575,7255595.0,34562760.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0.03242714404947315,5376000,0,0.0,257179.28125,675578.5593749927,7276226.5,34627452.0,257179.28125,675578.5593749927,7276226.5,34627452.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0.03356682371020895,5376000,0,0.0,261139.265625,695149.6093749653,7396436.5,33854508.0,261139.265625,695149.6093749653,7396436.5,33854508.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,0.03248808256931332,5376000,0,0.0,265417.625,725749.0531249777,7355584.0,32748680.0,265417.625,725749.0531249777,7355584.0,32748680.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0.02896483261724141,5375996,0,0.0,273006.0,754917.75,7563938.0,32426610.0,273006.0,754917.75,7563938.0,32426610.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0.02391949361350869,5376000,0,0.0,280847.1875,782573.5499999961,7754317.0,33441036.0,280847.1875,782573.5499999961,7754317.0,33441036.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
