epoch,offload_active_fraction,route_logprob_active_fraction,route_selected_score_mean,route_expected_score_mean,route_residual_credit_mean,route_residual_credit_std,route_ratio_mean,route_approx_kl,route_clip_fraction,advantage_action_alignment
0,0.5133333206176758,0.5133333206176758,0.009894909337162971,-0.010939943604171276,0.020834852010011673,0.9852232336997986,0.9950926899909973,0.006250998005270958,0.006087662186473608,0.16915985941886902
1,0.48625001311302185,0.48625001311302185,-0.0509958416223526,-0.017041536048054695,-0.03395431116223335,0.9564933776855469,1.0016350746154785,0.009836380369961262,0.17737789452075958,0.006613587029278278
2,0.43312501907348633,0.43312501907348633,-0.058684926480054855,-0.02714366838335991,-0.031541261821985245,0.9099560379981995,1.0286221504211426,-0.013936221599578857,0.24098125100135803,0.1865154355764389
3,0.359375,0.359375,-0.08462979644536972,-0.03618502989411354,-0.04844475910067558,0.8361127376556396,1.0624139308929443,-0.04133301600813866,0.33507245779037476,0.29552334547042847
4,0.26770833134651184,0.26770833134651184,-0.11672109365463257,-0.09412923455238342,-0.0225918497890234,0.7230377197265625,1.1027024984359741,-0.07937673479318619,0.3626459240913391,-0.14687304198741913
5,0.2522916793823242,0.2522916793823242,-0.17176638543605804,-0.11330344527959824,-0.05846294388175011,0.5912705063819885,1.080810546875,-0.054949142038822174,0.29727497696876526,0.031011616811156273
6,0.27687501907348633,0.27687501907348633,-0.15199050307273865,-0.11009616404771805,-0.04189436137676239,0.518587589263916,1.0582195520401,-0.03941512480378151,0.22422873973846436,0.1589236557483673
7,0.26750001311302185,0.26750001311302185,-0.12694644927978516,-0.10206764936447144,-0.024878794327378273,0.46395206451416016,1.0497324466705322,-0.031333085149526596,0.19470404088497162,-0.08576630055904388
8,0.26500001549720764,0.26500001549720764,-0.20833078026771545,-0.1850682944059372,-0.023262472823262215,0.40030404925346375,1.0180325508117676,0.0009998931782320142,0.1588050276041031,-0.03334277495741844
9,0.2554166615009308,0.2554166615009308,-0.17862890660762787,-0.16248416900634766,-0.01614472270011902,0.4029383361339569,1.0274478197097778,-0.005384193267673254,0.17210440337657928,0.06700684130191803
10,0.25333333015441895,0.25333333015441895,-0.21874167025089264,-0.21481557190418243,-0.003926108591258526,0.38220182061195374,1.0181163549423218,0.00942681822925806,0.16694079339504242,-0.10314420610666275
11,0.3243750035762787,0.3243750035762787,-0.16441455483436584,-0.15912418067455292,-0.005290372762829065,0.4665990471839905,0.9774449467658997,0.06034459173679352,0.2825947403907776,-0.133912593126297
