epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,0.0008099325384725543,0.002339793390340426,0.00026904347588938167,-0.00018778534352102062,0.0,0.001155518351451439,0.22388446130220824,0.43240706686103375,0.38285346958254207,0.28504332485793216,0.03,0.015,0,10,6,0,4,0,1.5,0.0225,0,0,0.0,11,0,0.0,0.014252165247770872,0.014252165247770872,0.005911648273468018,0.050551965832710266,11,0,1.0,0.0,17,11,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,0.0015759080954868456,0.001889268612666499,-0.0008676051490029375,-0.0011015371696668722,0.0,0.0007860378040384282,0.29658270041203566,0.487407821440159,0.5511386785958633,0.4640736291774796,0.03,0.015,5,7,4,0,2,0,1.5,0.0225,0,0,0.0,21,0,0.0,0.019920606520913896,0.019920606520913896,0.009241960011422634,0.049870893359184265,21,0,1.0,0.0,17,21,0.5020833611488342,0.5020833611488342,0.5,0.0
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,0.0017879645834000257,0.0016084803194081317,-0.0011872019611018914,-0.0009426505451604802,0.0,0.0007833891686459538,0.3095735348853466,0.5525246943894506,0.5730009033406217,0.4924638524294534,0.03,0.015,2,8,5,0,1,0,1.5,0.0225,0,0,0.0,21,0,0.0,0.019062372412355172,0.019062372412355172,0.00829571858048439,0.0532207153737545,21,0,1.0,0.0,16,21,0.49666666984558105,0.49666666984558105,0.5,0.0
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,0.0006688326928483815,0.0023271876028350866,-3.7558709771153244e-05,-0.001428916410481583,0.0,0.0006889838687664665,0.3296575182783951,0.6132413092905059,0.6001449673506704,0.532477636914761,0.03,0.015,0,8,6,0,2,0,1.5,0.0225,0,0,0.0,18,0,0.0,0.02259750607320004,0.02259750607320004,0.014855102635920048,0.04283742979168892,18,0,1.0,0.0,17,18,0.4829166531562805,0.4829166531562805,0.5,0.0
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,hierarchical_actor_separate_theta_route_backbones,0.0023306392059192363,0.0025160922121037453,-0.0018359148848771036,-0.001796602617319235,0.0,0.0007214120226254797,0.27093142737713066,0.544263578242056,0.4842665437934523,0.49135066115780435,0.03,0.015,3,9,4,0,3,0,1.5,0.0225,0,0,0.0,17,0,0.0,0.019715023062684956,0.019715023062684956,0.011860978789627552,0.05182196572422981,17,0,1.0,0.0,17,17,0.4791666567325592,0.4791666567325592,0.5,0.0
