block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.22228440642356873,0.10693920403718948,0.5526520013809204,-0.09927602112293243,1.0,0.0,1.0,1.0,0.25999999046325684,-0.010775130242109299,0.08301069587469101,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.20673418045043945,0.12395786494016647,0.15389536321163177,-0.5476174354553223,1.0,0.0,1.0,1.0,0.28999999165534973,0.002317551989108324,0.1147858053445816,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.2861585319042206,0.1105942353606224,0.2418283373117447,-0.5156114101409912,1.0,0.0,1.0,1.0,0.15000000596046448,-0.002817308297380805,0.08646760135889053,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.05750657990574837,0.11559905856847763,0.2882438004016876,-0.3245738446712494,1.0,0.0,1.0,1.0,0.36000001430511475,-0.015369141474366188,0.11515120416879654,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.15323568880558014,0.10334574431180954,0.3565099835395813,-0.10900340974330902,1.0,0.0,1.0,1.0,0.33000001311302185,-0.007708830758929253,0.1011292040348053,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.08778177201747894,0.10993330925703049,0.3390108048915863,-0.20126476883888245,1.0,0.0,1.0,1.0,0.1599999964237213,0.006628592032939196,0.0792781412601471,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.029857680201530457,0.14174486696720123,0.4489591121673584,-0.3346313536167145,1.0,0.0,1.0,1.0,0.15000000596046448,-0.00022790610091760755,0.08350801467895508,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.10900858789682388,0.11202286183834076,0.39160478115081787,-0.2046307772397995,1.0,0.0,1.0,1.0,0.14000000059604645,-0.017637694254517555,0.08518467098474503,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.2847619354724884,0.16813524067401886,0.7391003370285034,-0.09994766116142273,1.0,0.0,1.0,1.0,0.20000000298023224,-0.008499372750520706,0.07773155719041824,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.022578086704015732,0.10913290083408356,0.31903183460235596,-0.29446941614151,1.0,0.0,1.0,1.0,0.30000001192092896,-0.004294348414987326,0.11559263616800308,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.32115980982780457,0.15618035197257996,0.5944250226020813,-0.30546990036964417,1.0,0.0,1.0,1.0,0.3499999940395355,-0.008405857719480991,0.1087503582239151,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.16576609015464783,0.11848034709692001,0.13369664549827576,-0.5775587558746338,1.0,0.0,1.0,1.0,0.25,0.005601048935204744,0.08952902257442474,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.2372187227010727,0.1236724704504013,0.11257987469434738,-0.46421340107917786,1.0,0.0,1.0,1.0,0.23000000417232513,-0.01329988706856966,0.09635670483112335,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.3292800188064575,0.10711940377950668,-0.007104590535163879,-0.5921664237976074,1.0,0.0,1.0,1.0,0.18000000715255737,-0.013790862634778023,0.08896596729755402,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.21376031637191772,0.12934209406375885,0.49366939067840576,-0.32442018389701843,1.0,0.0,1.0,1.0,0.15000000596046448,-0.01061889436095953,0.07457023859024048,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.06300712376832962,0.11314612627029419,0.3646007776260376,-0.2955995202064514,1.0,0.0,1.0,1.0,0.23999999463558197,0.00403599813580513,0.10582700371742249,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,0.11890346556901932,0.11777721345424652,0.4280192255973816,-0.1730329543352127,1.0,0.0,1.0,1.0,0.23000000417232513,-0.0032323484774678946,0.09274323284626007,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.36220207810401917,0.10928292572498322,-0.01939321681857109,-0.6024867296218872,1.0,0.0,1.0,1.0,0.10999999940395355,-0.004307091236114502,0.070318304002285,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.3195352852344513,0.13784906268119812,0.007083535194396973,-0.6620626449584961,1.0,0.0,1.0,1.0,0.07999999821186066,0.007900574244558811,0.08241407573223114,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_alignment_gate,-0.244514599442482,0.10551148653030396,0.06609250605106354,-0.5332696437835693,1.0,0.0,1.0,1.0,0.25,-0.020111409947276115,0.09146734327077866,0
