epoch,policy_surrogate_mode,actor_structure_mode,theta_backbone_grad_norm,route_backbone_grad_norm,theta_route_feature_correlation,theta_head_grad_norm,route_head_grad_norm,theta_route_head_correlation,route_mask_mean,route_mask_active_fraction,offload_rate_mean
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06965874302928199,0.06044781237646355,-0.0448392778635025,0.07683863815483642,0.08097520888254615,0.15601375699043274,0.5024999976158142,0.5024999976158142,0.49927452206611633
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.09226414820675188,0.09117404842913981,0.0375891737639904,0.06624247968149721,0.08657640093098937,0.0677698627114296,0.4972916841506958,0.4972916841506958,0.5004986524581909
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0972391540071125,0.11320340185609823,0.031164569780230522,0.06263650253746393,0.09002558379568115,-0.0038544582203030586,0.4283333420753479,0.4283333420753479,0.47826123237609863
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.10191924114452668,0.12033051478563912,0.03358521685004234,0.05541733246077814,0.08937019836746306,-0.010345964692533016,0.39645835757255554,0.39645835757255554,0.4539112448692322
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.08907060998179818,0.1454313500435696,0.04633796587586403,0.04871637076504163,0.09455529129374189,0.004651255439966917,0.32229167222976685,0.32229167222976685,0.40289306640625
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07682455396915228,0.16020269212106428,0.04747791588306427,0.04497501631485335,0.0889239761489089,0.022668292745947838,0.2693749964237213,0.2693749964237213,0.34317612648010254
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07117882541783602,0.15561740621744186,0.03883587568998337,0.04162111405762119,0.08242329762610268,0.026860488578677177,0.25312501192092896,0.25312501192092896,0.31472209095954895
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0678547252510082,0.13218386830008702,0.0330277681350708,0.03768893334135922,0.06505539714448634,0.049235183745622635,0.2641666829586029,0.2641666829586029,0.32558560371398926
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06701485454490784,0.12239174194326262,0.05569665879011154,0.035401980864491624,0.06099697345479591,0.04341233894228935,0.25958335399627686,0.25958335399627686,0.31514033675193787
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06723622092965038,0.12820172064980656,0.0531073734164238,0.03234838021660497,0.06061156616433656,0.01943371258676052,0.25854167342185974,0.25854167342185974,0.31837475299835205
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06541273287310573,0.10291354628247915,0.04412323236465454,0.0319394097306984,0.04770557214687896,0.05936849117279053,0.2574999928474426,0.2574999928474426,0.31006020307540894
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06199844199017361,0.10109686167039526,0.03202880546450615,0.02911412717309345,0.04540336629215289,0.021073587238788605,0.2529166638851166,0.2529166638851166,0.3025839030742645
