epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0.049247208915501585,5375999,1728506,0.3215227532594407,181813.59375,379123.60312495084,5023167.549999921,87483448.0,2138.20751953125,3999.999755859375,5074.0934179687465,15877741.0,1.0,1.0,0.0,0.0
1,0.04089376960939576,5376000,1732382,0.3222436755952381,216705.515625,502986.5765625,6099365.5,43632844.0,2226.656005859375,4044.3979125976557,5540.448276367187,14665.2294921875,1.0,1.0,0.0,0.0
2,0.0433278903717342,5376000,933861,0.17370926339285714,220785.4375,553916.3468749977,6208751.599999975,41271616.0,1855.5458984375,3999.999755859375,4307.742802734372,11409.8515625,1.0,1.0,0.0,0.0
3,0.037826973630008955,5376000,503730,0.09369977678571428,217742.71875,584504.1562499468,6038204.914999778,37652068.0,1679.384521484375,3671.401904296875,3999.999755859375,9738.9111328125,1.0,1.0,0.0,0.0
4,0.032414792439474926,5376000,468425,0.08713262648809524,227172.625,624682.4781249906,6369251.839999992,33460202.0,1683.6904296875,3636.740478515625,3999.999755859375,10350.2685546875,1.0,1.0,0.0,0.0
5,0.029814120004474365,5375996,437242,0.0813322777769924,234177.390625,673332.5,6661904.0,33029312.0,1697.1822509765625,3637.3062133789062,3999.999755859375,11197.2958984375,1.0,1.0,0.0,0.0
6,0.028836150796615792,5375969,470907,0.08759481313973351,243197.640625,710080.375,6842820.4400000125,32182476.0,1735.629638671875,3756.5568359374993,3999.999755859375,12108.953125,1.0,1.0,0.0,0.0
7,0.03179811191716161,5375981,549574,0.10222766784332013,251830.15625,763228.4375,7133039.0,32465552.0,1780.6658935546875,3905.62744140625,3999.999755859375,12196.76953125,1.0,1.0,0.0,0.0
8,0.03627715515640997,5376000,541448,0.1007157738095238,257067.46875,795141.040624981,7245972.0,32849882.0,1782.945556640625,3855.440551757812,3999.999755859375,12082.55078125,1.0,1.0,0.0,0.0
9,0.03148330155134988,5376000,493668,0.091828125,261428.984375,822258.7093749994,7315164.5,33109336.0,1763.515380859375,3762.0769653320303,3999.999755859375,11093.68359375,1.0,1.0,0.0,0.0
10,0.03285054945844919,5375998,479225,0.08914158822231705,267023.40625,842277.6875,7453274.5,33543500.0,1766.59912109375,3740.8438354492173,3999.999755859375,11052.1123046875,1.0,1.0,0.0,0.0
11,0.03392197043984436,5376000,453995,0.08444847470238095,271402.28125,834641.074999982,7492053.5,33556588.0,1765.404052734375,3672.6639160156246,3999.999755859375,10604.765625,1.0,1.0,0.0,0.0
