epoch,advantage_mean,advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_adv_to_route_delta_alignment,route_adv_to_theta_delta_alignment,theta_alignment_margin_over_cross,route_alignment_margin_over_cross,cross_branch_alignment_mean,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold
0,-24.45332908630371,4.10780143737793,0.0,1.0,-0.01967777870595455,0.04229535162448883,-0.018609927967190742,-0.031698279082775116,0.014434603974223137,0.022178582847118378,-0.015203720889985561,0.014134680852293968,0.0296383248642087,0.00804390199482441,-0.0005345200188457966,0.0010074629681184888,-0.00022529749548994005,-0.001783144660294056,-0.0010229907929897308,0.5262500047683716,0.002487562131136656,0.0,0.0,0.0,-0.018609927967190742,0.0,0.410780143737793
1,-18.97383689880371,7.437589168548584,0.044999998062849045,0.9549999833106995,-0.018171850591897964,0.06673227250576019,-0.015833299607038498,-0.1644553691148758,0.029046792536973953,-0.015799041837453842,0.04008408263325691,-0.03143511712551117,-0.011037290096282959,0.015636075288057327,0.004324482753872871,0.018006540834903717,-0.0043153888545930386,0.011774187907576561,-0.004438611213117838,0.5535416603088379,0.14327608048915863,-0.050358355045318604,-0.07694920897483826,0.0,-0.013371149078011513,10.959920883178711,0.7437589168548584
2,-15.899916648864746,10.719785690307617,0.07000000029802322,0.9300000071525574,0.029780298471450806,0.07023400813341141,0.03276025503873825,0.15619498491287231,0.041539303958415985,-0.011257232166826725,-0.03670624643564224,-0.02009076625108719,0.07824555039405823,0.008833534084260464,-0.028398506343364716,0.0516522116959095,0.02640897035598755,0.04735121503472328,0.030812477692961693,0.47208333015441895,0.27383267879486084,0.06967052817344666,0.01001896895468235,-0.00504225492477417,0.03339578956365585,17.945941925048828,1.0719785690307617
3,-13.321025848388672,13.41327953338623,0.08500000089406967,0.9149999618530273,0.02697872184216976,0.07960459589958191,0.03054048679769039,0.051640696823596954,0.0646175667643547,-0.012629592791199684,-0.019768303260207176,0.0026593811344355345,0.08438587002456188,-0.015288973925635219,-0.00855446106288582,0.04372315853834152,0.03555558994412422,0.026053467765450478,0.03675967827439308,0.3774999976158142,0.3042564392089844,0.023188680410385132,0.02566707693040371,0.006620725151151419,0.031390897929668427,33.688011169433594,1.341327953338623
4,-9.322265625,15.000561714172363,0.17000000178813934,0.8299999833106995,0.05382660776376724,0.060068290680646896,0.0571991428732872,0.05759374052286148,0.04459051787853241,0.008140063844621181,-0.020149316638708115,-0.017376212403178215,0.06473983451724052,0.025516276247799397,-0.018762764520943165,0.05336717888712883,0.07643800228834152,0.05068586766719818,0.0748603343963623,0.26895833015441895,0.3380737006664276,0.06445268541574478,0.05488158017396927,0.03980950266122818,0.05803456902503967,33.10447311401367,1.5000561714172365
5,-7.989212512969971,15.295282363891602,0.1550000011920929,0.8449999690055847,0.038036659359931946,0.04541650414466858,0.03983326256275177,0.09666230529546738,-0.020962586626410484,0.03038223832845688,-0.008584522642195225,0.006853797938674688,-0.01237806398421526,0.02352844038978219,-0.0008653623517602682,0.03222934156656265,0.08910024166107178,0.03626270592212677,0.08100612461566925,0.15520833432674408,0.307037889957428,0.046625882387161255,0.056397777050733566,0.048431396484375,0.037190861999988556,33.357391357421875,1.5295282363891602
6,-6.0676727294921875,19.066173553466797,0.1899999976158142,0.8100000023841858,0.012911160476505756,0.041285689920186996,0.013856122270226479,-0.08959334343671799,-0.10189715027809143,-0.028722448274493217,0.01954895444214344,-0.058487627655267715,-0.12144610472023487,0.029765179380774498,-0.019469336606562138,0.011096070520579815,0.06186620891094208,0.025043053552508354,0.06751207262277603,0.12395833432674408,0.23374485969543457,-0.007281899452209473,0.01245307270437479,0.038286030292510986,0.014962693676352501,37.855350494384766,1.9066173553466799
7,-1.403747320175171,19.920181274414062,0.2549999952316284,0.7450000047683716,0.021997226402163506,0.03583944961428642,0.022898409515619278,0.1080021858215332,-0.03623436763882637,-0.03623027727007866,-0.02435450255870819,0.048949334770441055,-0.01187986508011818,-0.08517961204051971,0.012297416105866432,0.020471906289458275,0.05249210074543953,0.022220702841877937,0.05076999217271805,0.11395833641290665,0.20189274847507477,0.02851942740380764,0.03605455532670021,0.016795828938484192,0.02121472917497158,35.400272369384766,1.9920181274414064
8,-1.1465474367141724,23.065807342529297,0.4050000011920929,0.5949999690055847,0.014361153356730938,0.037653129547834396,0.015163639560341835,0.07759616523981094,-0.012768670916557312,0.07791270315647125,-0.0038164714351296425,-0.01757229119539261,-0.00895219948142767,0.09548499435186386,-0.010694381315261126,0.02144634537398815,0.02312331460416317,0.020555466413497925,0.01960676722228527,0.11708333343267441,0.1556982398033142,0.021269317716360092,0.014792169444262981,0.02492511086165905,0.009855617769062519,34.58985900878906,2.30658073425293
9,-0.8621705174446106,21.003856658935547,0.4099999964237213,0.5899999737739563,0.011798251420259476,0.03705951198935509,0.012559871189296246,0.1960623562335968,0.0012488632928580046,0.005770134273916483,-0.008901937864720821,0.051956795156002045,0.010150801157578826,-0.04618666088208556,0.02152742864564061,0.018306761980056763,0.025427695363759995,0.01753830909729004,0.022311227396130562,0.12270833551883698,0.18694600462913513,0.031405095010995865,0.022686924785375595,0.011902499943971634,0.004282916896045208,23.424556732177734,2.1003856658935547
10,-1.6544901132583618,20.731840133666992,0.2800000011920929,0.7199999690055847,0.013450590893626213,0.04031118005514145,0.014364154078066349,-0.028023600578308105,-0.016588428989052773,-0.034200269728899,-0.014179889112710953,-0.04442104324698448,-0.0024085398763418198,0.01022077351808548,-0.029300466179847717,0.018418753519654274,0.028923572972416878,0.020967775955796242,0.035813529044389725,0.12479166686534882,0.15614886581897736,0.010810742154717445,0.011577473022043705,0.012838887982070446,0.015725083649158478,31.110719680786133,2.073184013366699
11,-0.47296980023384094,22.3033390045166,0.3199999928474426,0.6800000071525574,0.00500106206163764,0.03950972110033035,0.005796149838715792,-0.022968031466007233,0.002027509966865182,0.0004304369504097849,0.02015065774321556,0.010294808074831963,-0.01812314777635038,-0.009864371124422178,0.015222732909023762,0.013513816520571709,0.014315948821604252,0.012090499512851238,0.017681466415524483,0.11375000327825546,0.1317957192659378,0.01478490512818098,-0.0012434757081791759,0.0029349655378609896,0.007933036424219608,51.84303283691406,2.2303339004516602
