policy_ratio_mode,bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
mean_logprob_ratio,high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mean_logprob_ratio,mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
mean_logprob_ratio,near_zero,0,0.0,0.0,0.0,0.0,0.0,0
mean_logprob_ratio,negative,100,-22.253490447998047,0.878029465675354,-0.1412337273359298,-0.1219705119729042,0.3799999952316284,0
mean_logprob_ratio,high_positive,1,3.162326574325561,1.2423733472824097,0.2170235365629196,0.2423733472824096,1.0,1
mean_logprob_ratio,mid_positive,1,1.9208247661590576,1.336946964263916,0.2903886437416076,0.336946964263916,1.0,1
mean_logprob_ratio,near_zero,1,-0.0984667316079139,1.2383195161819458,0.2137552201747894,0.2383195161819458,1.0,1
mean_logprob_ratio,negative,97,-19.932079315185547,0.8075437545776367,-0.2604559063911438,-0.1924563199281692,0.8453608155250549,1
mean_logprob_ratio,high_positive,3,14.802581787109377,1.2606759071350098,0.2313760071992874,0.2606758177280426,1.0,2
mean_logprob_ratio,mid_positive,6,7.966792583465576,1.2811626195907593,0.2472633719444275,0.2811625599861145,1.0,2
mean_logprob_ratio,near_zero,2,-0.1682086884975433,1.190876007080078,0.1734111160039901,0.1908760070800781,0.5,2
mean_logprob_ratio,negative,89,-19.853517532348636,0.8155109286308289,-0.2399318069219589,-0.1844891160726547,0.7191011309623718,2
mean_logprob_ratio,high_positive,5,30.654109954833984,1.251320242881775,0.2236747443675995,0.2513202428817749,1.0,3
mean_logprob_ratio,mid_positive,12,9.896502494812012,1.2713299989700315,0.2383756190538406,0.2713301181793213,1.0,3
mean_logprob_ratio,near_zero,8,-0.8448728919029236,1.1974124908447266,0.1783646047115326,0.1974125206470489,0.5,3
mean_logprob_ratio,negative,75,-22.741437911987305,0.887755811214447,-0.1538072079420089,-0.1122441068291664,0.4666666686534881,3
mean_logprob_ratio,high_positive,5,28.188573837280277,1.306133508682251,0.2667060792446136,0.306133508682251,1.0,4
mean_logprob_ratio,mid_positive,13,9.811762809753418,1.244891881942749,0.2186931073665619,0.2448917925357818,0.9230769276618958,4
mean_logprob_ratio,near_zero,2,-1.250405192375183,1.1549928188323977,0.1440677642822265,0.1549927592277526,0.0,4
mean_logprob_ratio,negative,80,-16.93162727355957,0.7846512794494629,-0.2728598415851593,-0.2153487503528595,0.625,4
current_joint_sum_ratio,high_positive,0,0.0,0.0,0.0,0.0,0.0,0
current_joint_sum_ratio,mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
current_joint_sum_ratio,near_zero,0,0.0,0.0,0.0,0.0,0.0,0
current_joint_sum_ratio,negative,100,-22.253490447998047,33.73329162597656,-1.3656947612762451,32.73329162597656,0.9800000190734864,0
current_joint_sum_ratio,high_positive,1,2.897834062576294,18.59576416015625,2.92293381690979,17.59576416015625,1.0,1
current_joint_sum_ratio,mid_positive,1,2.089492082595825,90222128.0,18.317785263061523,90222128.0,1.0,1
current_joint_sum_ratio,near_zero,1,0.2446314841508865,7309.93603515625,8.896989822387695,7308.93603515625,1.0,1
current_joint_sum_ratio,negative,97,-19.87207794189453,353897.03125,-2.434964418411255,353896.03125,1.0,1
current_joint_sum_ratio,high_positive,3,14.758602142333984,3319887.25,11.61450481414795,3319886.25,1.0,2
current_joint_sum_ratio,mid_positive,6,7.6965651512146,1820364.5,7.646019458770752,1820363.5,1.0,2
current_joint_sum_ratio,near_zero,2,-0.0743269175291061,120.68959045410156,3.070161819458008,119.68959045410156,1.0,2
current_joint_sum_ratio,negative,89,-19.490589141845703,365598.53125,-5.235866069793701,365597.5625,0.9887640476226808,2
current_joint_sum_ratio,high_positive,5,30.34848022460937,283847.5,7.331155300140381,283846.5,1.0,3
current_joint_sum_ratio,mid_positive,12,7.464834213256836,1596693.5,4.326949596405029,1596692.625,0.9166666865348816,3
current_joint_sum_ratio,near_zero,7,-0.5749481916427612,994773.5625,4.783370018005371,994772.5625,1.0,3
current_joint_sum_ratio,negative,76,-22.146085739135746,2308504.75,-0.3420174717903137,2308504.25,1.0,3
current_joint_sum_ratio,high_positive,4,35.03810119628906,91576.0703125,8.106100082397461,91575.0703125,1.0,4
current_joint_sum_ratio,mid_positive,11,14.732800483703612,56521256.0,6.860988140106201,56521256.0,1.0,4
current_joint_sum_ratio,near_zero,4,-0.1948843300342559,1654425.375,7.817939281463623,1654424.375,1.0,4
current_joint_sum_ratio,negative,81,-16.43450164794922,101755.21875,-2.834057569503784,101754.21875,1.0,4
