seed,epochs_completed,stopped_early,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,12,True,-393.09730376396254,-434.49668039057906,6,-41.399376626616515,2978.2274536132813,0.4953862140889512
2026,11,True,-401.69672451414914,-435.76652788014525,5,-34.06980336599611,3064.4500091552736,0.48721213757225856
2027,14,True,-396.30154304221884,-407.72605366520594,8,-11.4245106229871,2670.768505859375,0.505381224542116
2028,9,True,-403.0182506473269,-438.80362441574033,3,-35.78537376841342,3202.810900878906,0.49487797379142556
2029,8,True,-402.38657507862865,-444.04811237018845,2,-41.661537291559796,3427.509802246094,0.4892800023984645
