block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,0.04782109335064888,0.016583401709794998,0.09050367027521133,-0.028946762904524803,0.12378739565610886,0.9786979556083679,0.11586257070302963,0
1,3,6,3,dispatch_decision_block,0.03366798907518387,0.019945256412029266,0.10503822565078735,-0.018490396440029144,0.14546555280685425,0.9921084642410278,0.14495891332626343,0
2,6,9,3,dispatch_decision_block,0.03660427778959274,0.020874684676527977,0.1090344563126564,-0.006727599073201418,0.12401942908763885,1.0010440349578857,0.12806718051433563,0
3,9,12,3,dispatch_decision_block,0.04721590876579285,0.015607881359755993,0.10466673970222473,-0.025736169889569283,0.15011446177959442,0.9852337837219238,0.14110001921653748,0
4,12,15,3,dispatch_decision_block,0.04501453787088394,0.017107686027884483,0.09733086824417114,-0.03466854244470596,0.1434958130121231,0.9760395288467407,0.1436656415462494,0
5,15,18,3,dispatch_decision_block,0.03271276131272316,0.022620374336838722,0.10764503479003906,0.00449124351143837,0.14304432272911072,1.0149977207183838,0.14998622238636017,0
6,18,21,3,dispatch_decision_block,0.031388502568006516,0.020413139835000038,0.09705528616905212,0.0005927660968154669,0.14034004509449005,1.0109484195709229,0.1536174714565277,0
7,21,24,3,dispatch_decision_block,0.04995422810316086,0.0124885318800807,0.08992408961057663,-0.05908231437206268,0.1830829381942749,0.9577922821044922,0.16581428050994873,0
8,24,27,3,dispatch_decision_block,0.04848972335457802,0.017696890980005264,0.09502094238996506,-0.04033847898244858,0.13395997881889343,0.9688623547554016,0.1249074786901474,0
9,27,30,3,dispatch_decision_block,0.03366353362798691,0.021263601258397102,0.10661318898200989,-0.02075967565178871,0.1409696489572525,0.988871157169342,0.13266901671886444,0
10,30,33,3,dispatch_decision_block,0.0339919812977314,0.021747425198554993,0.10151617974042892,-0.021264782175421715,0.14790628850460052,0.9898725748062134,0.1504838764667511,0
11,33,36,3,dispatch_decision_block,0.044066138565540314,0.010254583321511745,0.07920101284980774,-0.027742834761738777,0.2105788141489029,0.9933316111564636,0.19635508954524994,0
12,36,39,3,dispatch_decision_block,0.050126947462558746,0.019716130569577217,0.11679955571889877,-0.022837553173303604,0.136147603392601,0.986365556716919,0.13188506662845612,0
13,39,42,3,dispatch_decision_block,0.03257514908909798,0.017165647819638252,0.07421579211950302,-0.024516664445400238,0.1633005291223526,0.9881704449653625,0.14974617958068848,0
14,42,45,3,dispatch_decision_block,0.036456771194934845,0.019075842574238777,0.09147823601961136,-0.01432083174586296,0.12471681088209152,0.9933163523674011,0.12052897363901138,0
15,45,48,3,dispatch_decision_block,0.05227191001176834,0.01531024556607008,0.0942147821187973,-0.0032178021501749754,0.13592150807380676,1.0063972473144531,0.14610715210437775,0
16,48,51,3,dispatch_decision_block,0.046770934015512466,0.020106855779886246,0.09844094514846802,-0.03211645036935806,0.1459112912416458,0.9786006212234497,0.1404140591621399,0
17,51,54,3,dispatch_decision_block,0.036664243787527084,0.021603766828775406,0.1012500524520874,-0.01783144287765026,0.12275437265634537,0.989712655544281,0.12098725140094757,0
