block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
3,9,12,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.0016406405484303832,0.22643163800239563,0.6352391839027405,-0.6675369143486023,0.7599999904632568,-0.06287180632352829,0.31234011054039,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.008572339080274105,0.28250592947006226,0.9016707539558411,-0.8916739225387573,0.6899999976158142,-0.004057406913489103,0.2568678855895996,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.009157368913292885,0.5296409130096436,1.4230554103851318,-1.2786693572998047,0.7599999904632568,-0.03339959681034088,0.37858036160469055,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.00640293350443244,0.5072270035743713,1.5195660591125488,-1.2517000436782837,0.7799999713897705,-0.04012882336974144,0.33356842398643494,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.0004244422889314592,0.19146622717380524,0.4308048486709595,-0.5063771605491638,0.7699999809265137,-0.0049492972902953625,0.34697332978248596,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.012627691961824894,0.36451712250709534,0.8299916386604309,-1.147676706314087,0.7099999785423279,-0.051335107535123825,0.3472100794315338,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.002529966877773404,0.5679270625114441,1.4111969470977783,-1.7590221166610718,0.7699999809265137,-0.0366649255156517,0.29741957783699036,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.006955013144761324,0.557753324508667,1.3738117218017578,-1.5068663358688354,0.8399999737739563,0.0004305946931708604,0.4394632875919342,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.0009430980426259339,0.22754639387130737,0.474506139755249,-0.5102733373641968,0.6399999856948853,-0.030756201595067978,0.24537713825702667,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.007683029863983393,0.24375559389591217,0.7696936726570129,-0.629779577255249,0.7300000190734863,-0.036610160022974014,0.3345220685005188,1
