epoch,offload_active_fraction,route_logprob_active_fraction,route_residual_credit_mean,route_residual_credit_std,route_expected_score_mean,route_selected_score_mean,route_ratio_mean,route_approx_kl,route_clip_fraction,advantage_action_alignment
0,0.4975000023841858,0.4975000023841858,0.046486545354127884,0.9859390258789062,-0.0008422679384239018,0.04564427584409714,0.9976951479911804,0.0031566049437969923,0.0012562813935801387,-0.03365304693579674
1,0.49145835638046265,0.49145835638046265,-0.03670492768287659,0.9657341837882996,-0.005664544180035591,-0.042369477450847626,0.9994732141494751,0.011126993224024773,0.15896566212177277,-0.01629563234746456
2,0.42770835757255554,0.42770835757255554,-0.03461979329586029,0.9301865696907043,-0.021833550184965134,-0.05645335093140602,1.0335924625396729,-0.017452383413910866,0.28397467732429504,-0.008662499487400055
3,0.37437501549720764,0.37437501549720764,-0.04120331630110741,0.8439238667488098,-0.048415977507829666,-0.08961929380893707,1.0643885135650635,-0.04513897746801376,0.33388984203338623,0.06716613471508026
4,0.3135416805744171,0.3135416805744171,-0.051569148898124695,0.7506934404373169,-0.08797658979892731,-0.1395457535982132,1.087480068206787,-0.06181124225258827,0.3727574646472931,0.08472483605146408
5,0.26895833015441895,0.26895833015441895,-0.04389691725373268,0.604345440864563,-0.17371739447116852,-0.2176143229007721,1.0910732746124268,-0.06725457310676575,0.2927962839603424,0.0367315337061882
6,0.2643750011920929,0.2643750011920929,-0.018413446843624115,0.5257852673530579,-0.16203302145004272,-0.18044647574424744,1.0623466968536377,-0.04489696025848389,0.21276596188545227,-0.01589174196124077
7,0.25854167342185974,0.25854167342185974,-0.012600176967680454,0.4304382801055908,-0.17273160815238953,-0.185331791639328,1.0595993995666504,-0.03772243857383728,0.18936342000961304,-0.008832559920847416
8,0.2581250071525574,0.2581250071525574,-0.023609653115272522,0.3895808756351471,-0.2217455953359604,-0.2453552633523941,1.0295941829681396,-0.007474273908883333,0.15173526108264923,-0.10396619141101837
9,0.2564583420753479,0.2564583420753479,-0.007754642050713301,0.37645620107650757,-0.17663811147212982,-0.1843927651643753,1.0326199531555176,-0.01406790316104889,0.1551584154367447,0.04004449397325516
10,0.26645833253860474,0.26645833253860474,-0.008862464688718319,0.34597963094711304,-0.21163561940193176,-0.22049807012081146,1.0206823348999023,0.0036154568661004305,0.1352619230747223,-0.06260183453559875
11,0.3658333420753479,0.3658333420753479,-0.037798624485731125,0.4967573583126068,-0.18088078498840332,-0.21867941319942474,1.013222336769104,0.011869413778185844,0.24202734231948853,0.05657155066728592
