epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.05582902334635602,5375999,0,0.0,174790.484375,395903.40625,4993073.0,83243000.0,174790.484375,395903.40625,4993073.0,83243000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.04556146240552436,5376000,0,0.0,216824.6875,527963.7999999919,6271511.0,34096980.0,216824.6875,527963.7999999919,6271511.0,34096980.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0.04809235935436134,5376000,0,0.0,214039.703125,548249.2906249964,6153155.5,35073436.0,214039.703125,548249.2906249964,6153155.5,35073436.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0.03871014563965912,5376000,0,0.0,210287.71875,564709.7562499904,5907461.0,33291182.0,210287.71875,564709.7562499904,5907461.0,33291182.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0.03325370110495233,5376000,0,0.0,218612.296875,593602.8499999892,6155214.0,33552932.0,218612.296875,593602.8499999892,6155214.0,33552932.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.03138159801615981,5375996,0,0.0,227938.359375,641929.3125,6304473.0,34423144.0,227938.359375,641929.3125,6304473.0,34423144.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0.03258721809641233,5376000,0,0.0,235268.1875,672620.3718749848,6531185.5,34440208.0,235268.1875,672620.3718749848,6531185.5,34440208.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0.029905352059762264,5376000,0,0.0,241547.703125,703428.5499999851,6705403.0,33724716.0,241547.703125,703428.5499999851,6705403.0,33724716.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0.032505338209332,5375999,0,0.0,248626.515625,736168.2687498977,6902957.5,32791438.0,248626.515625,736168.2687498977,6902957.5,32791438.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,0.030415751080213636,5375998,0,0.0,253564.859375,762707.8125,7098972.0,32684350.0,253564.859375,762707.8125,7098972.0,32684350.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0.03090217099434041,5375998,0,0.0,259319.953125,792920.625,7202894.5,31441800.0,259319.953125,792920.625,7202894.5,31441800.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0.028749923677395733,5376000,0,0.0,264505.71875,822194.6687499507,7367598.0,31118272.0,264505.71875,822194.6687499507,7367598.0,31118272.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
