epoch,offload_active_fraction,route_logprob_active_fraction,route_selected_score_mean,route_expected_score_mean,route_residual_credit_mean,route_residual_credit_std,route_ratio_mean,route_approx_kl,route_clip_fraction,advantage_action_alignment
0,0.4970833361148834,0.4970833361148834,0.0,0.0,0.0,0.0,1.0012975931167603,0.008231425657868385,0.10058675706386566,0.032844383269548416
1,0.5099999904632568,0.5099999904632568,0.0,0.0,0.0,0.0,0.9982578158378601,0.016842002049088478,0.28022876381874084,-0.00974487978965044
2,0.3737500011920929,0.3737500011920929,0.0,0.0,0.0,0.0,0.9988820552825928,0.01748407818377018,0.27870678901672363,0.3298555314540863
3,0.4025000035762787,0.4025000035762787,0.0,0.0,0.0,0.0,0.9965561628341675,0.018925238400697708,0.2370600402355194,0.3433169424533844
4,0.3504166603088379,0.3504166603088379,0.0,0.0,0.0,0.0,0.9814304113388062,0.03797437250614166,0.29964327812194824,-0.010800964199006557
