step,bs_id,q,candidate_user_count,candidate_users,user_pressures,sorted_candidates,quantile_threshold,oma_users,noma_users,noma_clusters,cluster_sizes,oma_cluster_count,noma_cluster_count,users_in_noma_clusters,max_cluster_size_seen,top_pressure_1,top_pressure_2,top_pressure_3,top_pressure_4
2,BS2,0.65,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 283663.77386200335, ""S6"": 292925.9031825843, ""S7"": 325178.0598000464, ""S8"": 626544.4577849774}","[{""pressure"": 626544.4577849774, ""user_id"": ""S8""}, {""pressure"": 325178.0598000464, ""user_id"": ""S7""}, {""pressure"": 292925.9031825843, ""user_id"": ""S6""}, {""pressure"": 283663.77386200335, ""user_id"": ""S5""}]",323565.4519691733,"[""S7"", ""S8""]","[""S6"", ""S5""]","[[""S6"", ""S5""]]","[1, 1, 2]",2,1,2,2,626544.4577849774,325178.0598000464,292925.9031825843,283663.77386200335
2,BS1,0.7,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 547526.9887900732, ""S2"": 312340.8516266156, ""S3"": 216351.88997661235, ""S4"": 314088.23493869003}","[{""pressure"": 547526.9887900732, ""user_id"": ""S1""}, {""pressure"": 314088.23493869003, ""user_id"": ""S4""}, {""pressure"": 312340.8516266156, ""user_id"": ""S2""}, {""pressure"": 216351.88997661235, ""user_id"": ""S3""}]",337432.1103238283,"[""S1""]","[""S4"", ""S2"", ""S3""]","[[""S4"", ""S2""], [""S3""]]","[1, 2, 1]",1,2,3,2,547526.9887900732,314088.23493869003,312340.8516266156,216351.88997661235
2,BS2,0.7,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 283663.77386200335, ""S6"": 292925.9031825843, ""S7"": 325178.0598000464, ""S8"": 626544.4577849774}","[{""pressure"": 626544.4577849774, ""user_id"": ""S8""}, {""pressure"": 325178.0598000464, ""user_id"": ""S7""}, {""pressure"": 292925.9031825843, ""user_id"": ""S6""}, {""pressure"": 283663.77386200335, ""user_id"": ""S5""}]",355314.6995985394,"[""S8""]","[""S7"", ""S6"", ""S5""]","[[""S7"", ""S6""], [""S5""]]","[1, 2, 1]",1,2,3,2,626544.4577849774,325178.0598000464,292925.9031825843,283663.77386200335
2,BS1,0.75,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 547526.9887900732, ""S2"": 312340.8516266156, ""S3"": 216351.88997661235, ""S4"": 314088.23493869003}","[{""pressure"": 547526.9887900732, ""user_id"": ""S1""}, {""pressure"": 314088.23493869003, ""user_id"": ""S4""}, {""pressure"": 312340.8516266156, ""user_id"": ""S2""}, {""pressure"": 216351.88997661235, ""user_id"": ""S3""}]",372447.92340153584,"[""S1""]","[""S4"", ""S2"", ""S3""]","[[""S4"", ""S2""], [""S3""]]","[1, 2, 1]",1,2,3,2,547526.9887900732,314088.23493869003,312340.8516266156,216351.88997661235
2,BS2,0.75,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 283663.77386200335, ""S6"": 292925.9031825843, ""S7"": 325178.0598000464, ""S8"": 626544.4577849774}","[{""pressure"": 626544.4577849774, ""user_id"": ""S8""}, {""pressure"": 325178.0598000464, ""user_id"": ""S7""}, {""pressure"": 292925.9031825843, ""user_id"": ""S6""}, {""pressure"": 283663.77386200335, ""user_id"": ""S5""}]",400519.65929627913,"[""S8""]","[""S7"", ""S6"", ""S5""]","[[""S7"", ""S6""], [""S5""]]","[1, 2, 1]",1,2,3,2,626544.4577849774,325178.0598000464,292925.9031825843,283663.77386200335
2,BS1,0.8,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 547526.9887900732, ""S2"": 312340.8516266156, ""S3"": 216351.88997661235, ""S4"": 314088.23493869003}","[{""pressure"": 547526.9887900732, ""user_id"": ""S1""}, {""pressure"": 314088.23493869003, ""user_id"": ""S4""}, {""pressure"": 312340.8516266156, ""user_id"": ""S2""}, {""pressure"": 216351.88997661235, ""user_id"": ""S3""}]",407463.7364792434,"[""S1""]","[""S4"", ""S2"", ""S3""]","[[""S4"", ""S2""], [""S3""]]","[1, 2, 1]",1,2,3,2,547526.9887900732,314088.23493869003,312340.8516266156,216351.88997661235
2,BS2,0.8,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 283663.77386200335, ""S6"": 292925.9031825843, ""S7"": 325178.0598000464, ""S8"": 626544.4577849774}","[{""pressure"": 626544.4577849774, ""user_id"": ""S8""}, {""pressure"": 325178.0598000464, ""user_id"": ""S7""}, {""pressure"": 292925.9031825843, ""user_id"": ""S6""}, {""pressure"": 283663.77386200335, ""user_id"": ""S5""}]",445724.6189940189,"[""S8""]","[""S7"", ""S6"", ""S5""]","[[""S7"", ""S6""], [""S5""]]","[1, 2, 1]",1,2,3,2,626544.4577849774,325178.0598000464,292925.9031825843,283663.77386200335
3,BS1,0.65,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 180422.5623098027, ""S2"": 137618.24681999045, ""S3"": 511889.4179586719, ""S4"": 318776.1999736454}","[{""pressure"": 511889.4179586719, ""user_id"": ""S3""}, {""pressure"": 318776.1999736454, ""user_id"": ""S4""}, {""pressure"": 180422.5623098027, ""user_id"": ""S1""}, {""pressure"": 137618.24681999045, ""user_id"": ""S2""}]",311858.5180904533,"[""S3"", ""S4""]","[""S1"", ""S2""]","[[""S1"", ""S2""]]","[1, 1, 2]",2,1,2,2,511889.4179586719,318776.1999736454,180422.5623098027,137618.24681999045
3,BS2,0.65,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 302439.5708768781, ""S6"": 341027.83864053787, ""S7"": 540604.7390077172, ""S8"": 713047.2149435659}","[{""pressure"": 713047.2149435659, ""user_id"": ""S8""}, {""pressure"": 540604.7390077172, ""user_id"": ""S7""}, {""pressure"": 341027.83864053787, ""user_id"": ""S6""}, {""pressure"": 302439.5708768781, ""user_id"": ""S5""}]",530625.8939893583,"[""S7"", ""S8""]","[""S6"", ""S5""]","[[""S6"", ""S5""]]","[1, 1, 2]",2,1,2,2,713047.2149435659,540604.7390077172,341027.83864053787,302439.5708768781
3,BS1,0.7,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 180422.5623098027, ""S2"": 137618.24681999045, ""S3"": 511889.4179586719, ""S4"": 318776.1999736454}","[{""pressure"": 511889.4179586719, ""user_id"": ""S3""}, {""pressure"": 318776.1999736454, ""user_id"": ""S4""}, {""pressure"": 180422.5623098027, ""user_id"": ""S1""}, {""pressure"": 137618.24681999045, ""user_id"": ""S2""}]",338087.521772148,"[""S3""]","[""S4"", ""S1"", ""S2""]","[[""S4"", ""S1""], [""S2""]]","[1, 2, 1]",1,2,3,2,511889.4179586719,318776.1999736454,180422.5623098027,137618.24681999045
3,BS2,0.7,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 302439.5708768781, ""S6"": 341027.83864053787, ""S7"": 540604.7390077172, ""S8"": 713047.2149435659}","[{""pressure"": 713047.2149435659, ""user_id"": ""S8""}, {""pressure"": 540604.7390077172, ""user_id"": ""S7""}, {""pressure"": 341027.83864053787, ""user_id"": ""S6""}, {""pressure"": 302439.5708768781, ""user_id"": ""S5""}]",557848.986601302,"[""S8""]","[""S7"", ""S6"", ""S5""]","[[""S7"", ""S6""], [""S5""]]","[1, 2, 1]",1,2,3,2,713047.2149435659,540604.7390077172,341027.83864053787,302439.5708768781
3,BS1,0.75,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 180422.5623098027, ""S2"": 137618.24681999045, ""S3"": 511889.4179586719, ""S4"": 318776.1999736454}","[{""pressure"": 511889.4179586719, ""user_id"": ""S3""}, {""pressure"": 318776.1999736454, ""user_id"": ""S4""}, {""pressure"": 180422.5623098027, ""user_id"": ""S1""}, {""pressure"": 137618.24681999045, ""user_id"": ""S2""}]",367054.504469902,"[""S3""]","[""S4"", ""S1"", ""S2""]","[[""S4"", ""S1""], [""S2""]]","[1, 2, 1]",1,2,3,2,511889.4179586719,318776.1999736454,180422.5623098027,137618.24681999045
3,BS2,0.75,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 302439.5708768781, ""S6"": 341027.83864053787, ""S7"": 540604.7390077172, ""S8"": 713047.2149435659}","[{""pressure"": 713047.2149435659, ""user_id"": ""S8""}, {""pressure"": 540604.7390077172, ""user_id"": ""S7""}, {""pressure"": 341027.83864053787, ""user_id"": ""S6""}, {""pressure"": 302439.5708768781, ""user_id"": ""S5""}]",583715.3579916793,"[""S8""]","[""S7"", ""S6"", ""S5""]","[[""S7"", ""S6""], [""S5""]]","[1, 2, 1]",1,2,3,2,713047.2149435659,540604.7390077172,341027.83864053787,302439.5708768781
3,BS1,0.8,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 180422.5623098027, ""S2"": 137618.24681999045, ""S3"": 511889.4179586719, ""S4"": 318776.1999736454}","[{""pressure"": 511889.4179586719, ""user_id"": ""S3""}, {""pressure"": 318776.1999736454, ""user_id"": ""S4""}, {""pressure"": 180422.5623098027, ""user_id"": ""S1""}, {""pressure"": 137618.24681999045, ""user_id"": ""S2""}]",396021.4871676561,"[""S3""]","[""S4"", ""S1"", ""S2""]","[[""S4"", ""S1""], [""S2""]]","[1, 2, 1]",1,2,3,2,511889.4179586719,318776.1999736454,180422.5623098027,137618.24681999045
3,BS2,0.8,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 302439.5708768781, ""S6"": 341027.83864053787, ""S7"": 540604.7390077172, ""S8"": 713047.2149435659}","[{""pressure"": 713047.2149435659, ""user_id"": ""S8""}, {""pressure"": 540604.7390077172, ""user_id"": ""S7""}, {""pressure"": 341027.83864053787, ""user_id"": ""S6""}, {""pressure"": 302439.5708768781, ""user_id"": ""S5""}]",609581.7293820567,"[""S8""]","[""S7"", ""S6"", ""S5""]","[[""S7"", ""S6""], [""S5""]]","[1, 2, 1]",1,2,3,2,713047.2149435659,540604.7390077172,341027.83864053787,302439.5708768781
4,BS1,0.65,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 396118.02808983304, ""S2"": 225531.5642712794, ""S3"": 385153.25923628843, ""S4"": 308108.09175510186}","[{""pressure"": 396118.02808983304, ""user_id"": ""S1""}, {""pressure"": 385153.25923628843, ""user_id"": ""S3""}, {""pressure"": 308108.09175510186, ""user_id"": ""S4""}, {""pressure"": 225531.5642712794, ""user_id"": ""S2""}]",381301.0008622291,"[""S1"", ""S3""]","[""S4"", ""S2""]","[[""S4"", ""S2""]]","[1, 1, 2]",2,1,2,2,396118.02808983304,385153.25923628843,308108.09175510186,225531.5642712794
4,BS2,0.65,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 306924.5582001575, ""S6"": 472098.17592837417, ""S7"": 679888.2066040135, ""S8"": 363039.58135917154}","[{""pressure"": 679888.2066040135, ""user_id"": ""S7""}, {""pressure"": 472098.17592837417, ""user_id"": ""S6""}, {""pressure"": 363039.58135917154, ""user_id"": ""S8""}, {""pressure"": 306924.5582001575, ""user_id"": ""S5""}]",466645.2461999141,"[""S6"", ""S7""]","[""S8"", ""S5""]","[[""S8"", ""S5""]]","[1, 1, 2]",2,1,2,2,679888.2066040135,472098.17592837417,363039.58135917154,306924.5582001575
4,BS1,0.7,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 396118.02808983304, ""S2"": 225531.5642712794, ""S3"": 385153.25923628843, ""S4"": 308108.09175510186}","[{""pressure"": 396118.02808983304, ""user_id"": ""S1""}, {""pressure"": 385153.25923628843, ""user_id"": ""S3""}, {""pressure"": 308108.09175510186, ""user_id"": ""S4""}, {""pressure"": 225531.5642712794, ""user_id"": ""S2""}]",386249.73612164287,"[""S1""]","[""S3"", ""S4"", ""S2""]","[[""S3"", ""S4""], [""S2""]]","[1, 2, 1]",1,2,3,2,396118.02808983304,385153.25923628843,308108.09175510186,225531.5642712794
4,BS2,0.7,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 306924.5582001575, ""S6"": 472098.17592837417, ""S7"": 679888.2066040135, ""S8"": 363039.58135917154}","[{""pressure"": 679888.2066040135, ""user_id"": ""S7""}, {""pressure"": 472098.17592837417, ""user_id"": ""S6""}, {""pressure"": 363039.58135917154, ""user_id"": ""S8""}, {""pressure"": 306924.5582001575, ""user_id"": ""S5""}]",492877.17899593804,"[""S7""]","[""S6"", ""S8"", ""S5""]","[[""S6"", ""S8""], [""S5""]]","[1, 2, 1]",1,2,3,2,679888.2066040135,472098.17592837417,363039.58135917154,306924.5582001575
4,BS1,0.75,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 396118.02808983304, ""S2"": 225531.5642712794, ""S3"": 385153.25923628843, ""S4"": 308108.09175510186}","[{""pressure"": 396118.02808983304, ""user_id"": ""S1""}, {""pressure"": 385153.25923628843, ""user_id"": ""S3""}, {""pressure"": 308108.09175510186, ""user_id"": ""S4""}, {""pressure"": 225531.5642712794, ""user_id"": ""S2""}]",387894.45144967455,"[""S1""]","[""S3"", ""S4"", ""S2""]","[[""S3"", ""S4""], [""S2""]]","[1, 2, 1]",1,2,3,2,396118.02808983304,385153.25923628843,308108.09175510186,225531.5642712794
4,BS2,0.75,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 306924.5582001575, ""S6"": 472098.17592837417, ""S7"": 679888.2066040135, ""S8"": 363039.58135917154}","[{""pressure"": 679888.2066040135, ""user_id"": ""S7""}, {""pressure"": 472098.17592837417, ""user_id"": ""S6""}, {""pressure"": 363039.58135917154, ""user_id"": ""S8""}, {""pressure"": 306924.5582001575, ""user_id"": ""S5""}]",524045.683597284,"[""S7""]","[""S6"", ""S8"", ""S5""]","[[""S6"", ""S8""], [""S5""]]","[1, 2, 1]",1,2,3,2,679888.2066040135,472098.17592837417,363039.58135917154,306924.5582001575
4,BS1,0.8,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 396118.02808983304, ""S2"": 225531.5642712794, ""S3"": 385153.25923628843, ""S4"": 308108.09175510186}","[{""pressure"": 396118.02808983304, ""user_id"": ""S1""}, {""pressure"": 385153.25923628843, ""user_id"": ""S3""}, {""pressure"": 308108.09175510186, ""user_id"": ""S4""}, {""pressure"": 225531.5642712794, ""user_id"": ""S2""}]",389539.1667777063,"[""S1""]","[""S3"", ""S4"", ""S2""]","[[""S3"", ""S4""], [""S2""]]","[1, 2, 1]",1,2,3,2,396118.02808983304,385153.25923628843,308108.09175510186,225531.5642712794
