step,bs_id,candidate_user_count,threshold_changed,oma_changed,noma_changed,cluster_changed,top_two_tie,threshold_map,oma_map,noma_map,cluster_map
0,BS1,4,False,False,False,False,True,"{""0.65"": 0.0, ""0.70"": 0.0, ""0.75"": 0.0, ""0.80"": 0.0}","{""0.65"": [""S1"", ""S2"", ""S3"", ""S4""], ""0.70"": [""S1"", ""S2"", ""S3"", ""S4""], ""0.75"": [""S1"", ""S2"", ""S3"", ""S4""], ""0.80"": [""S1"", ""S2"", ""S3"", ""S4""]}","{""0.65"": [], ""0.70"": [], ""0.75"": [], ""0.80"": []}","{""0.65"": [], ""0.70"": [], ""0.75"": [], ""0.80"": []}"
0,BS2,4,False,False,False,False,True,"{""0.65"": 0.0, ""0.70"": 0.0, ""0.75"": 0.0, ""0.80"": 0.0}","{""0.65"": [""S5"", ""S6"", ""S7"", ""S8""], ""0.70"": [""S5"", ""S6"", ""S7"", ""S8""], ""0.75"": [""S5"", ""S6"", ""S7"", ""S8""], ""0.80"": [""S5"", ""S6"", ""S7"", ""S8""]}","{""0.65"": [], ""0.70"": [], ""0.75"": [], ""0.80"": []}","{""0.65"": [], ""0.70"": [], ""0.75"": [], ""0.80"": []}"
1,BS1,4,True,True,True,True,False,"{""0.65"": 474610.4848666597, ""0.70"": 481400.4624169634, ""0.75"": 487810.51684112253, ""0.80"": 494220.5712652816}","{""0.65"": [""S1"", ""S2""], ""0.70"": [""S2""], ""0.75"": [""S2""], ""0.80"": [""S2""]}","{""0.65"": [""S4"", ""S3""], ""0.70"": [""S1"", ""S4"", ""S3""], ""0.75"": [""S1"", ""S4"", ""S3""], ""0.80"": [""S1"", ""S4"", ""S3""]}","{""0.65"": [[""S4"", ""S3""]], ""0.70"": [[""S1"", ""S4""], [""S3""]], ""0.75"": [[""S1"", ""S4""], [""S3""]], ""0.80"": [[""S1"", ""S4""], [""S3""]]}"
1,BS2,4,True,True,True,True,False,"{""0.65"": 768442.9948719883, ""0.70"": 795407.4448466254, ""0.75"": 803211.6413989895, ""0.80"": 811015.8379513535}","{""0.65"": [""S5"", ""S6""], ""0.70"": [""S6""], ""0.75"": [""S6""], ""0.80"": [""S6""]}","{""0.65"": [""S8"", ""S7""], ""0.70"": [""S5"", ""S8"", ""S7""], ""0.75"": [""S5"", ""S8"", ""S7""], ""0.80"": [""S5"", ""S8"", ""S7""]}","{""0.65"": [[""S8"", ""S7""]], ""0.70"": [[""S5"", ""S8""], [""S7""]], ""0.75"": [[""S5"", ""S8""], [""S7""]], ""0.80"": [[""S5"", ""S8""], [""S7""]]}"
2,BS1,4,True,True,True,True,False,"{""0.65"": 314000.8657730863, ""0.70"": 337432.1103238283, ""0.75"": 372447.92340153584, ""0.80"": 407463.7364792434}","{""0.65"": [""S1"", ""S4""], ""0.70"": [""S1""], ""0.75"": [""S1""], ""0.80"": [""S1""]}","{""0.65"": [""S2"", ""S3""], ""0.70"": [""S4"", ""S2"", ""S3""], ""0.75"": [""S4"", ""S2"", ""S3""], ""0.80"": [""S4"", ""S2"", ""S3""]}","{""0.65"": [[""S2"", ""S3""]], ""0.70"": [[""S4"", ""S2""], [""S3""]], ""0.75"": [[""S4"", ""S2""], [""S3""]], ""0.80"": [[""S4"", ""S2""], [""S3""]]}"
2,BS2,4,True,True,True,True,False,"{""0.65"": 323565.4519691733, ""0.70"": 355314.6995985394, ""0.75"": 400519.65929627913, ""0.80"": 445724.6189940189}","{""0.65"": [""S7"", ""S8""], ""0.70"": [""S8""], ""0.75"": [""S8""], ""0.80"": [""S8""]}","{""0.65"": [""S6"", ""S5""], ""0.70"": [""S7"", ""S6"", ""S5""], ""0.75"": [""S7"", ""S6"", ""S5""], ""0.80"": [""S7"", ""S6"", ""S5""]}","{""0.65"": [[""S6"", ""S5""]], ""0.70"": [[""S7"", ""S6""], [""S5""]], ""0.75"": [[""S7"", ""S6""], [""S5""]], ""0.80"": [[""S7"", ""S6""], [""S5""]]}"
3,BS1,4,True,True,True,True,False,"{""0.65"": 311858.5180904533, ""0.70"": 338087.521772148, ""0.75"": 367054.504469902, ""0.80"": 396021.4871676561}","{""0.65"": [""S3"", ""S4""], ""0.70"": [""S3""], ""0.75"": [""S3""], ""0.80"": [""S3""]}","{""0.65"": [""S1"", ""S2""], ""0.70"": [""S4"", ""S1"", ""S2""], ""0.75"": [""S4"", ""S1"", ""S2""], ""0.80"": [""S4"", ""S1"", ""S2""]}","{""0.65"": [[""S1"", ""S2""]], ""0.70"": [[""S4"", ""S1""], [""S2""]], ""0.75"": [[""S4"", ""S1""], [""S2""]], ""0.80"": [[""S4"", ""S1""], [""S2""]]}"
3,BS2,4,True,True,True,True,False,"{""0.65"": 530625.8939893583, ""0.70"": 557848.986601302, ""0.75"": 583715.3579916793, ""0.80"": 609581.7293820567}","{""0.65"": [""S7"", ""S8""], ""0.70"": [""S8""], ""0.75"": [""S8""], ""0.80"": [""S8""]}","{""0.65"": [""S6"", ""S5""], ""0.70"": [""S7"", ""S6"", ""S5""], ""0.75"": [""S7"", ""S6"", ""S5""], ""0.80"": [""S7"", ""S6"", ""S5""]}","{""0.65"": [[""S6"", ""S5""]], ""0.70"": [[""S7"", ""S6""], [""S5""]], ""0.75"": [[""S7"", ""S6""], [""S5""]], ""0.80"": [[""S7"", ""S6""], [""S5""]]}"
4,BS1,4,True,True,True,True,False,"{""0.65"": 381301.0008622291, ""0.70"": 386249.73612164287, ""0.75"": 387894.45144967455, ""0.80"": 389539.1667777063}","{""0.65"": [""S1"", ""S3""], ""0.70"": [""S1""], ""0.75"": [""S1""], ""0.80"": [""S1""]}","{""0.65"": [""S4"", ""S2""], ""0.70"": [""S3"", ""S4"", ""S2""], ""0.75"": [""S3"", ""S4"", ""S2""], ""0.80"": [""S3"", ""S4"", ""S2""]}","{""0.65"": [[""S4"", ""S2""]], ""0.70"": [[""S3"", ""S4""], [""S2""]], ""0.75"": [[""S3"", ""S4""], [""S2""]], ""0.80"": [[""S3"", ""S4""], [""S2""]]}"
4,BS2,4,True,True,True,True,False,"{""0.65"": 466645.2461999141, ""0.70"": 492877.17899593804, ""0.75"": 524045.683597284, ""0.80"": 555214.18819863}","{""0.65"": [""S6"", ""S7""], ""0.70"": [""S7""], ""0.75"": [""S7""], ""0.80"": [""S7""]}","{""0.65"": [""S8"", ""S5""], ""0.70"": [""S6"", ""S8"", ""S5""], ""0.75"": [""S6"", ""S8"", ""S5""], ""0.80"": [""S6"", ""S8"", ""S5""]}","{""0.65"": [[""S8"", ""S5""]], ""0.70"": [[""S6"", ""S8""], [""S5""]], ""0.75"": [[""S6"", ""S8""], [""S5""]], ""0.80"": [[""S6"", ""S8""], [""S5""]]}"
