block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04732997715473175,0.016488678753376007,0.08847889304161072,0.01919720135629177,0.6100000143051147,0.30000001192092896,0.0,0.30000001192092896,1.001213550567627,0.18385028839111328,1.5387252569198608,0.0959201529622078,1.0617269277572632,0.0012136321747675538,0.18385028839111328,0
1,3,6,3,dispatch_decision_block,0.03311746194958687,0.01981029473245144,0.10301857441663742,0.005217146128416061,0.25999999046325684,0.3199999928474426,0.0,0.3199999928474426,0.9767259359359741,0.2534213364124298,2.2570958137512207,0.08343642204999924,1.0594067573547363,-0.023274149745702744,0.2534213364124298,0
2,6,9,3,dispatch_decision_block,0.03604390099644661,0.020740604028105736,0.10582234710454941,0.0024820088874548674,0.33000001311302185,0.3499999940395355,0.0,0.3499999940395355,1.0226693153381348,0.26294654607772827,2.484016180038452,0.07615980505943298,1.0777586698532104,0.022669244557619095,0.26294654607772827,0
3,9,12,3,dispatch_decision_block,0.047101039439439774,0.015442363917827606,0.1052103340625763,0.01709936000406742,0.6299999952316284,0.4000000059604645,0.0,0.4000000059604645,0.9762098789215088,0.2535053491592407,1.9326518774032593,0.10001854598522186,1.0456295013427734,-0.023790104314684868,0.2535053491592407,0
4,12,15,3,dispatch_decision_block,0.04497215151786804,0.016966186463832855,0.09363672137260437,0.016877492889761925,0.4399999976158142,0.36000001430511475,0.0,0.36000001430511475,0.987019419670105,0.2491462528705597,1.9507217407226562,0.09021543711423874,1.0723246335983276,-0.012980563566088676,0.2491462528705597,0
5,15,18,3,dispatch_decision_block,0.03271540626883507,0.02262520045042038,0.10732696950435638,5.662378299575721e-08,0.2800000011920929,0.4000000059604645,0.0,0.4000000059604645,1.021022915840149,0.26892444491386414,1.8630144596099854,0.07669617980718613,1.0920767784118652,0.021022921428084373,0.26892444491386414,0
6,18,21,3,dispatch_decision_block,0.03146720305085182,0.02027403749525547,0.09691941738128662,5.662378299575721e-08,0.3199999928474426,0.4000000059604645,0.0,0.4000000059604645,1.0324574708938599,0.2632800042629242,2.1376726627349854,0.07047013938426971,1.0630261898040771,0.032457541674375534,0.2632800042629242,0
7,21,24,3,dispatch_decision_block,0.04999563843011856,0.013195488601922989,0.0973614975810051,0.020090293139219284,0.7400000095367432,0.4099999964237213,0.0,0.4099999964237213,1.003607988357544,0.2619331181049347,1.8358690738677979,0.08797920495271683,1.0819836854934692,0.0036079823039472103,0.2619331181049347,0
8,24,27,3,dispatch_decision_block,0.048451829701662064,0.017625175416469574,0.09106103330850601,0.02085929550230503,0.6200000047683716,0.3100000023841858,0.0,0.3100000023841858,0.9928311109542847,0.20361776649951935,1.6827642917633057,0.08074207603931427,1.0488662719726562,-0.007168845739215612,0.20361776649951935,0
9,27,30,3,dispatch_decision_block,0.03398110717535019,0.021105889230966568,0.10393313318490982,0.0005297941388562322,0.30000001192092896,0.4099999964237213,0.0,0.4099999964237213,0.9396170973777771,0.21973466873168945,1.541313648223877,0.07709335535764694,1.0651819705963135,-0.060383014380931854,0.21973466873168945,0
10,30,33,3,dispatch_decision_block,0.03424397483468056,0.021554009988904,0.1001361757516861,0.0015431217616423965,0.28999999165534973,0.3199999928474426,0.0,0.3199999928474426,0.9738047122955322,0.19065430760383606,1.6178209781646729,0.07260194420814514,1.0480326414108276,-0.026195399463176727,0.19065430760383606,0
11,33,36,3,dispatch_decision_block,0.044829100370407104,0.010954500176012516,0.08201158791780472,0.026280956342816353,0.6000000238418579,0.38999998569488525,0.0,0.38999998569488525,0.9879365563392639,0.24374781548976898,1.836857557296753,0.09814028441905975,1.0681852102279663,-0.012063383124768734,0.24374781548976898,0
12,36,39,3,dispatch_decision_block,0.050058551132678986,0.019607791677117348,0.11541114747524261,0.020679451525211334,0.6100000143051147,0.38999998569488525,0.0,0.38999998569488525,0.9853715300559998,0.25616806745529175,2.2346882820129395,0.10865738987922668,1.069151520729065,-0.014628532342612743,0.25616806745529175,0
13,39,42,3,dispatch_decision_block,0.03256065025925636,0.017139125615358353,0.07394459843635559,0.0009788002353161573,0.3199999928474426,0.17000000178813934,0.0,0.17000000178813934,0.9646294116973877,0.16253726184368134,1.8623998165130615,0.0585084930062294,1.0372411012649536,-0.03537055104970932,0.16253726184368134,0
14,42,45,3,dispatch_decision_block,0.03666270896792412,0.019041523337364197,0.08927632868289948,0.0032202608417719603,0.36000001430511475,0.4000000059604645,0.0,0.4000000059604645,0.9526740908622742,0.2350543886423111,1.6696748733520508,0.08521629124879837,1.0581386089324951,-0.04732583835721016,0.2350543886423111,0
