epoch,critic_arch_mode,actor_input_mode,actor_raw_input_mode,critic_input_mode,policy_ratio_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,action_dim,action_block_count,action_block_slices,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,policy_entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,advantage_mean,advantage_std,normalized_advantage_mean,normalized_advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold,ratio_mean,ratio_std,ratio_min,ratio_max,clip_fraction,positive_adv_clip_fraction,negative_adv_clip_fraction,approx_kl,entropy_loss,policy_loss,ratio_by_adv_sign,logprob_delta_sum_mean,logprob_delta_sum_std,logprob_delta_mean_mean,logprob_delta_mean_std,block_logprob_delta_mean,block_logprob_delta_std,block_weight_entropy,block_weight_max_mean,top_k_block_weight_share,active_block_count_mean,block_ratio_proxy_mean,block_ratio_proxy_std,block_clip_fraction_mean,block_clip_fraction_std,block_positive_adv_clip_fraction_mean,block_negative_adv_clip_fraction_mean,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,sum_to_mean_scale_ratio,sum_to_blockmean_scale_ratio,mean_to_blockmean_scale_ratio,running_return_mean,running_return_std,popart_mean,popart_std,actor_grad_norm,action_distribution_std,action_prob_std,policy_std_mean,policy_logit_std,policy_confidence_mean,selected_action_histogram,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,actor_input_mean,actor_input_std,actor_input_dim_std_mean,actor_input_dim_std_min,actor_input_clip_fraction,actor_input_derived_dim,actor_input_total_dim,actor_derived_feature_mean,actor_derived_feature_std,actor_raw_dim,actor_raw_pruned_dim_count,actor_raw_dim_std_mean,actor_raw_dim_std_min,actor_raw_zero_var_dim_count,actor_raw_static_zero_var_dim_count,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_policy_update_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean,probe_policy_pairwise_kl_mean,probe_policy_pairwise_l1_mean,policy_logit_delta_mean,policy_logit_delta_std,selected_action_change_rate,top1_action_change_rate,top1_prob_delta_mean
0,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_weighted_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-157.27785484550998,1140.016785437871,189.6417937639292,9612983211.543306,4.213053590972995,0.06795247727375794,142.50209817973388,1.185261211024558,13.59049545475159,0.49907097193694844,100,-0.0796975092496723,2.4232630372047423,30.22935914993286,30.22935914993286,-21.841066360473633,6.262200832366943,5.9604645663569045e-09,1.0,-22.253490447998047,6.308380126953125,-1.19209286886246e-09,1.0,0.0,1.0,-0.045193467289209366,0.17627525329589844,-0.011131737381219864,0.9308040142059326,0.0,0.0,0.0,-0.011131737381219864,0.0,0.6308380126953126,0.991254448890686,0.2600919306278229,0.31583842635154724,5.011620998382568,0.3720833361148834,0.0,0.3720833361148834,0.045193467289209366,-0.030264398083090782,-0.09979786723852158,"{""negative"": {""count"": 2400, ""max"": 5.011620998382568, ""mean"": 0.991254448890686, ""min"": 0.31583842635154724, ""std"": 0.2600919306278229}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}",-0.9495641589164734,3.700829029083252,-0.013188390992581844,0.051400404423475266,-0.03956517204642296,0.1542012095451355,3.0512115955352783,0.08365897834300995,0.2941635847091675,11.289999961853027,0.9729373455047607,0.15493373572826385,0.3720833361148834,0.07499884068965912,0.0,0.3720833361148834,0.991254448890686,0.2600919306278229,5.011620998382568,0.08679455518722534,1.0652450323104858,-0.008745530620217323,0.2600919306278229,71.99999216922784,24.000000847303177,0.3333333093224935,-21.841066360473633,6.262200920592779,-21.841066360473633,6.262200920592779,0.6573818046581452,0.10364821553230286,0.10364821553230286,0.368403822183609,0.10364821553230286,0.22448961436748505,"{""0p5_to_1"": 649, ""1_to_2"": 19, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2935, ""neg_1_to_neg_0p5"": 688, ""neg_2_to_neg_1"": 36, ""zero_to_0p5"": 2873}",-9.585676193237305,1.224863886833191,1.9570419788360596,0.19559639692306519,0.14576095342636108,0.4704046845436096,0.19559639692306519,0.9999999403953552,4.6842522621154785,-3.6842522621154785,0.4079832434654236,1.5140142440795898,-1.1060309410095215,-0.0010037710890173912,0.6982322335243225,0.30681365728378296,0.08720246702432632,0.22089457511901855,3.4712445735931396,0.6555382284237472,2.1268004196121515,0.21653100848197937,0.3633980453014374,0.14768023788928986,0.0,0.0,200,400,0.04594167321920395,0.28588351607322693,200,0,0.15303875505924225,0.0,42,42,1.082231665350264e-05,0.9015593528747559,0.8128217458724976,0.0,2.6737967345979996e-05,174,374,0.021845201030373573,0.25329434871673584,checkpoints\dense_policy_ratio_block_experiment_20260317_200619\policy_ratio_blockwise_weighted_surrogate_mean_20260317_200803_998804\prediction_target_payload_epoch_00.csv,checkpoints\dense_policy_ratio_block_experiment_20260317_200619\policy_ratio_blockwise_weighted_surrogate_mean_20260317_200803_998804\probe_policy_update_payload_epoch_00.csv,-7.269694805145264,2.1200475692749023,-10.085675239562988,0.6372737884521484,10.722949028015137,2.7468507289886475,2.271136522293091,0.007778824772685766,0.09663967043161392,0.011714358814060688,0.17757292091846466,0.0859375,0.001953125,-0.004548245575278997
1,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_weighted_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-149.72565289637507,1081.6934724237635,181.43856758952862,9121206837.144852,4.147793116750719,0.0668998889798503,135.21168405297044,1.1339910474345538,13.379977795970062,0.5018149275913868,100,-0.03989986181259155,1.0829310815781354,30.280448389053344,30.280448389053344,-26.215913772583008,7.365119934082031,-0.30476588010787964,1.026155948638916,-19.251474380493164,7.511303424835205,-1.8656254496818292e-07,1.0,0.029999999329447746,0.9700000286102295,-0.27818259596824646,0.4987941384315491,-0.073238804936409,0.8874452114105225,0.6373032927513123,0.7669566869735718,0.5844519138336182,-0.09600609540939331,3.0391108989715576,0.7511303424835205,0.9345841407775879,0.6421259045600891,0.001040792791172862,8.860865592956543,0.8020833134651184,0.875,0.7998281717300415,0.27818259596824646,-0.030313927680253983,-0.13906970620155334,"{""negative"": {""count"": 2328, ""max"": 8.860865592956543, ""mean"": 0.9101367592811584, ""min"": 0.001040792791172862, ""std"": 0.6268610954284668}, ""positive"": {""count"": 72, ""max"": 3.637427568435669, ""mean"": 1.725050926208496, ""min"": 1.0281689167022705, ""std"": 0.6280810832977295}}",-5.966165542602539,10.952178955078125,-0.08286340534687042,0.15211360156536102,-0.24859024584293365,0.45634081959724426,3.035568952560425,0.08817160874605179,0.3029130697250366,11.170000076293945,0.869280993938446,0.42433229088783264,0.8020833134651184,0.06370369344949722,0.875,0.7998281717300415,0.9345841407775879,0.6421259045600891,8.860865592956543,0.13280019164085388,1.085344910621643,-0.0654158666729927,0.6421259045600891,71.99999693815502,23.999999996648498,0.33333332626900325,-24.02849006652832,7.17738798630753,-24.02849006652832,7.17738798630753,0.6610212567869466,0.21749679744243622,0.21749679744243622,0.36866462230682373,0.21749679744243622,0.4726373851299286,"{""0p5_to_1"": 762, ""1_to_2"": 59, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2774, ""neg_1_to_neg_0p5"": 742, ""neg_2_to_neg_1"": 56, ""zero_to_0p5"": 2807}",-23.678319931030273,6.506596565246582,0.04878770932555199,0.9065409898757935,0.7465755343437195,0.8642589449882507,0.8834339380264282,1.0529961585998535,0.3918550908565521,0.661141037940979,0.39206764101982117,0.19256266951560974,0.19950497150421143,-0.0016708369366824627,0.7611092329025269,0.2794834077358246,0.0797504112124443,0.41418853402137756,3.322260618209839,1.0249333291039293,2.9845606783541454,-0.007778913713991642,0.9837658405303955,0.8570899963378906,0.0,0.0008750000270083547,200,400,0.04472219944000244,0.28235742449760437,200,0,0.15795476734638214,0.0,42,42,-0.008433192037045956,0.9124389290809631,0.8143427968025208,0.0,0.00024064170429483056,174,374,0.020742259919643402,0.24825900793075562,checkpoints\dense_policy_ratio_block_experiment_20260317_200619\policy_ratio_blockwise_weighted_surrogate_mean_20260317_200803_998804\prediction_target_payload_epoch_01.csv,checkpoints\dense_policy_ratio_block_experiment_20260317_200619\policy_ratio_blockwise_weighted_surrogate_mean_20260317_200803_998804\probe_policy_update_payload_epoch_01.csv,-17.956745147705078,14.017577171325684,-26.257816314697266,22.260499954223633,48.5183162689209,4.660231113433838,12.187566757202148,0.002756038447842002,0.056940291076898575,0.001971560763195157,0.10203924775123596,0.057291666666666664,0.005859375,1.658670043980237e-05
2,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_weighted_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-163.6159602095367,1185.471787055977,189.77826963233525,9619292674.966469,4.416220519124586,0.07122936321168691,148.18397338199713,1.1861141852020949,14.245872642337382,0.5038871386784033,100,-0.06653316114097833,0.48831853168085215,30.33019814491272,30.33019814491272,-36.66031265258789,11.809077262878418,-0.7809264659881592,1.0950939655303955,-16.485143661499023,12.332659721374512,1.4305114426349519e-08,1.0,0.10999999940395355,0.8899999856948853,-0.22402796149253845,0.44453030824661255,-0.057192619889974594,0.8962147235870361,0.8973949551582336,0.8501081466674805,0.36880165338516235,-0.171588733792305,12.99502182006836,1.2332659721374513,0.9509681463241577,0.6179520487785339,0.05561739206314087,9.299837112426758,0.7716666460037231,0.8939393758773804,0.7565543055534363,0.22402796149253845,-0.03036620281636715,-0.1338282823562622,"{""negative"": {""count"": 2136, ""max"": 7.785655975341797, ""mean"": 0.8495511412620544, ""min"": 0.05561739206314087, ""std"": 0.4585358500480652}, ""positive"": {""count"": 264, ""max"": 9.299837112426758, ""mean"": 1.77152419090271, ""min"": 0.800209105014801, ""std"": 1.0068821907043457}}",-4.79580020904541,9.751306533813477,-0.06660833954811096,0.1354348212480545,-0.1998250037431717,0.4063044488430023,3.0524792671203613,0.08293154090642929,0.2908943295478821,11.34000015258789,0.8932052850723267,0.3935540020465851,0.7716667056083679,0.05320296436548233,0.8939393758773804,0.7565543055534363,0.9509681463241577,0.6179520487785339,9.299837112426758,0.12730622291564941,1.0402426719665527,-0.0490318238735199,0.6179520487785339,71.99999652340037,23.99999827501946,0.3333333014068673,-28.239097595214844,10.783620157481607,-28.239097595214844,10.783620157481607,0.6776862040981808,0.2303229570388794,0.2303229570388794,0.36893412470817566,0.2303229570388794,0.49675777554512024,"{""0p5_to_1"": 814, ""1_to_2"": 55, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2721, ""neg_1_to_neg_0p5"": 798, ""neg_2_to_neg_1"": 63, ""zero_to_0p5"": 2749}",-37.09217834472656,10.808918952941895,-0.8209748864173889,1.0023460388183594,0.6530697345733643,0.8144024014472961,0.9153059720993042,1.1992307901382446,0.41765326261520386,0.7815775275230408,0.4724882245063782,0.16223056614398956,0.3102576732635498,-0.00031894579296931624,0.7567116022109985,0.32419008016586304,0.10084033012390137,0.44822198152542114,2.5933070182800293,1.480467498110452,1.4842942504746965,0.023927245289087296,0.9449322819709778,0.8412044644355774,0.0,0.00032500000088475645,200,400,0.046362217515707016,0.28623831272125244,200,0,0.1600744128227234,0.0,42,42,0.014531918801367283,0.9150317907333374,0.8176075220108032,0.0,0.00024064170429483056,174,374,0.021732404828071594,0.25058713555336,checkpoints\dense_policy_ratio_block_experiment_20260317_200619\policy_ratio_blockwise_weighted_surrogate_mean_20260317_200803_998804\prediction_target_payload_epoch_02.csv,checkpoints\dense_policy_ratio_block_experiment_20260317_200619\policy_ratio_blockwise_weighted_surrogate_mean_20260317_200803_998804\probe_policy_update_payload_epoch_02.csv,-30.269580841064453,18.505943298339844,-43.68147277832031,33.409645080566406,77.09111785888672,17.30667495727539,17.535991668701172,0.002067613648250699,0.04957551881670952,0.003375234315171838,0.08956645429134369,0.047526041666666664,0.0078125,-0.0014504274586215615
