epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_advantage_alignment,route_advantage_alignment,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_head_grad_norm,route_head_grad_norm,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.00232457322999835,0.29267042875289917,2.0661935806274414,-1.2860959768295288,-0.004160622600466013,0.33412832021713257,1.5988192558288574,-1.5260745286941528,0.2828929126262665,0.16635550558567047,-0.00573504064232111,0.0033844467252492905,-0.037801869213581085,-0.02590278908610344,0.14000000059604645,0.2241666615009308,0.04809328113988311,0.16252117887579776,0.10248477756977081,0.4870436489582062,0.6597751975059509,-0.019761549308896065,0.47076907753944397,0.19783562421798706,0.6271748542785645
1,0.0005641602328978479,0.2388761192560196,1.4184517860412598,-1.4988256692886353,-0.0041847252286970615,0.25056400895118713,1.7393053770065308,-1.7383499145507812,0.3110831081867218,0.24011853337287903,-0.006229114718735218,0.026284122839570045,-0.11253029853105545,-0.052937716245651245,0.35333332419395447,0.4504166543483734,0.04026915980127112,0.08983865015331347,0.08604981750249863,0.4950934946537018,0.6574500203132629,-0.12871474027633667,0.5777138471603394,0.19897429645061493,0.7300927042961121
2,0.0009298962540924549,0.24893014132976532,1.565965175628662,-1.7892613410949707,-0.004480753559619188,0.25406166911125183,2.037792205810547,-1.7323548793792725,0.33748817443847656,0.2006392627954483,0.013344486244022846,0.010157120414078236,-0.08675901591777802,-0.07106203585863113,0.3270833194255829,0.4208333194255829,0.03947459464075514,0.09034869539463841,0.04378513619303703,0.4963429868221283,0.6557578444480896,-0.23315191268920898,0.5969496965408325,0.21624094247817993,0.7906956672668457
3,0.0038993796333670616,0.22368499636650085,1.1376577615737915,-1.8637243509292603,-0.008050859905779362,0.22839179635047913,1.1343648433685303,-1.314162015914917,0.34157949686050415,0.2426959127187729,-0.001764401444233954,0.0025198739022016525,-0.11354521661996841,-0.07677646726369858,0.34291666746139526,0.4491666555404663,0.04621476639815594,0.09780742718741119,0.13367201387882233,0.49661967158317566,0.6529808640480042,-0.37254542112350464,0.6279178857803345,0.3982429504394531,0.8202353119850159
4,0.005374171771109104,0.22834885120391846,1.157547950744629,-1.8245270252227783,-0.00791184138506651,0.2452951818704605,1.3509025573730469,-1.6899657249450684,0.39960572123527527,0.25440239906311035,-0.0022223382256925106,0.01667473092675209,-0.10568802803754807,-0.06506888568401337,0.3283333480358124,0.41458332538604736,0.04205704258025737,0.07999447899761199,0.1145075261592865,0.49531158804893494,0.6525332927703857,-0.3871191740036011,0.7248979806900024,0.3643782138824463,0.9224615097045898
